feature,n,mean,std,q00,q01,q05,q25,q50,q75,q95,q99,q100
r_W,17493,-7.362133915848975e-06,0.003078070997861689,-0.04195473213636512,-0.009371350023717256,-0.004675173013669722,-0.0006448700810310018,0.0,0.0006762849671642453,0.004621947290890349,0.008611176448479828,0.06678436785375766
r_E,17493,-1.6699654174055593e-06,0.0007446088154275514,-0.010448714692955862,-0.002211699671800759,-0.0010657964933256624,-0.0001884374770029282,0.0,0.00019685869827472497,0.0010428933082885998,0.0020885503047610565,0.0093387041702455
r_C,17493,3.388204876639568e-06,0.0006007533692593241,-0.0083620336851502,-0.0017134900281542016,-0.0008939721023817706,-0.00017080877998660083,0.0,0.0001770956321038754,0.00089612408780739,0.0017556535109428714,0.007947344660142389
r_I,17493,2.0104869184301213e-05,0.0013236994346106114,-0.019357763666740108,-0.004218236749591798,-0.001990988959835373,-0.0002718665695630049,0.0,0.0003789728812869772,0.0020352991509257953,0.0039148804962210034,0.01138596717191885
r_EC,17493,1.7563480276436456e-06,0.0006362781643450687,-0.006840237138455452,-0.001913469181730704,-0.0009306086732769636,-0.00017324357049805278,0.0,0.00018414761870722706,0.0009576246642231661,0.0018705103249662864,0.006242765720845437
sigma_W,17480,0.22048350865052396,0.1634598824695477,0.0,0.0,0.0,0.08803942304811531,0.22690581346036776,0.3285840874227112,0.4840698041845664,0.6495816117242614,0.9747798873157723
gamma,17493,-0.0055766077221660075,0.4982650689365826,-1.0,-1.0,-0.8947368421052159,-0.2631578947368303,0.0,0.2371134020618747,0.8842809364548598,1.0,1.0
gamma_bar,17491,-0.005580325575425064,0.28990360483166794,-1.0,-0.752048418850747,-0.5230843958712763,-0.14102564102564533,0.0,0.12783622492921987,0.5061828814678853,0.7380437450290991,0.9508124725515782
accel,17479,-0.0034608207099055765,0.14164860589899317,-1.0,-0.5120279335762015,-0.18968232546722777,-0.022197679195796738,0.0,0.03205699397853323,0.16265854946554875,0.35743097119067496,2.484238601925061
D_EC,16769,2.614309361746673,2.2663541330426513,0.0013996579284052066,0.016178720223928703,0.05756037577844805,0.6084818873808084,2.3244345094114855,3.815152772308774,6.697948908632494,9.926170499599438,21.047203287530394
D_WE,16769,2.4152238566616053,2.263182066709419,0.001205626385592228,0.008035420060210264,0.04263979170636203,0.23222470361674666,2.0257945273750324,3.5960032296999604,6.546320234080855,9.785559201386643,18.813001549721292
D_WC,16769,2.649963671343354,2.2232862811140874,0.0017158462397299475,0.009506724326122495,0.03244322720921544,0.6001851337708397,2.427147931314915,3.948475016008737,6.58923500051768,9.68824887541138,15.54624089287305
epsilon,16769,1.1219738222616713,0.8886428046003026,0.0077785808702585755,0.02030897978747828,0.0339874043934971,0.2498434121413354,1.053170483295179,1.7041070644440686,2.638976064401946,3.6185730195610994,6.013901328645663
alpha2,17493,-0.0016505619024654032,1.0718783216138366,-15.244299085654259,-3.084978626626647,-1.6194337068364002,-0.27877199830071975,0.0,0.28782403298358616,1.604200494445343,2.961395827274971,21.81370479648427
alpha_D,17460,5.494097656859268e-09,1.2543971740671846e-07,-2.299240836684567e-06,-3.630213114217037e-07,-1.427840422414082e-07,-2.1686261317903767e-08,0.0,2.4915920140503857e-08,1.7556154624960265e-07,4.097284906820557e-07,1.8526585129958678e-06
RV6_EC,17488,0.00045458411615646255,0.0004485206156339747,0.0,0.0,0.0,0.0,0.0003740929718849069,0.0006684317919195513,0.0013094541924494189,0.001991740721330178,0.003450761341123001
w1,17493,0.004061288261410171,0.20617433032470048,-0.45,-0.45,-0.45,0.0,0.0,0.0,0.45,0.45,0.45
w2,17493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w3,17493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w_total,17493,1.0967466425285864e-05,0.0002506431249883648,-0.004598481673369134,-0.0007251759120813631,-0.00028507752833746846,-4.30890382455799e-05,0.0,4.9534795643157665e-05,0.00035081213341894683,0.0008183823045712537,0.0037053170259917353
