slot,canonical_ny,K1_reason,K2_gamma_reason,K2_accel_reason,K2_w1_reason,K3_OLS_reason,K3_w2_reason,K4_RV6_reason,K4_alpha_reason,K4_wt_reason
2023-01-03 23:00:00+00:00,2023-01-03 23:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0725 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 00:00:00+00:00,2023-01-04 00:00:00,INVALID: insufficient history (<720 slots),STALE_ZERO,,INACTIVE: accel=-0.0306 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 01:00:00+00:00,2023-01-04 01:00:00,INVALID: insufficient history (<720 slots),STALE_ZERO,,INACTIVE: accel=-0.0140 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 02:00:00+00:00,2023-01-04 02:00:00,DISABLED: Brent/DAX stale > 2h,STALE_ZERO,,INACTIVE: |gamma_bar|=0.0000 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 03:00:00+00:00,2023-01-04 03:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0094 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 04:00:00+00:00,2023-01-04 04:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0045 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 05:00:00+00:00,2023-01-04 05:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0109 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 06:00:00+00:00,2023-01-04 06:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0934 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 07:00:00+00:00,2023-01-04 07:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0691 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 08:00:00+00:00,2023-01-04 08:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.2993 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
