triangle,dev_events,conf_events,dev_net_ev_bps,conf_net_ev_bps,dev_pf_net,conf_pf_net,dev_wr,conf_wr,dev_median,conf_median,dev_edge_cost_ratio,conf_edge_cost_ratio,dev_p5,conf_p5,dev_worst,conf_worst,ev_retention,pf_retention,frequency_retention,cost_ratio_retention
EUR_GBP_USD,435,146,15.7393,17.755,5.4152,5.5231,78.1609,77.3973,15.6574,17.4804,2.8828,3.2039,-22.9217,-27.0917,-61.7235,-44.7728,1.1281,1.0199,0.7628,1.1114
GBP_NZD_USD,210,81,22.8374,11.8681,8.0184,5.8179,84.2857,74.0741,21.9075,12.8759,3.5557,2.3346,-17.2152,-13.4727,-183.2856,-38.7037,0.5197,0.7256,0.8936,0.6566
