event_id,triangle,entry_timestamp,exit_timestamp,direction,entry_z,exit_z,exit_reason,hold_minutes,legs,gross_bps,cost_bps,net_bps,z6_state,session_state,hard_exit_flag
EURGBPUSD-2025-0001,EUR_GBP_USD,2025-01-03 13:45:00,2025-01-03 16:25:00,LONG,-3.2969,0.5034,TP_HIT,160.0,"EURGBP,EURUSD,GBPUSD",27.40815,8.056,19.3522,OK,LONDON,0
EURGBPUSD-2025-0002,EUR_GBP_USD,2025-01-06 08:10:00,2025-01-06 08:20:00,SHORT,4.4488,6.3494,SL_HIT,10.0,"EURGBP,EURUSD,GBPUSD",-32.056095,8.056,-40.1121,TRIGGERED,LONDON,0
EURGBPUSD-2025-0003,EUR_GBP_USD,2025-01-06 08:25:00,2025-01-06 11:15:00,SHORT,6.0599,-0.9567,TP_HIT,170.0,"EURGBP,EURUSD,GBPUSD",103.341491,8.056,95.2855,OK,LONDON,0
EURGBPUSD-2025-0004,EUR_GBP_USD,2025-01-07 12:00:00,2025-01-07 17:00:00,LONG,-3.0035,-0.2681,TIMEOUT,300.0,"EURGBP,EURUSD,GBPUSD",36.717527,8.056,28.6615,OK,LONDON,1
EURGBPUSD-2025-0005,EUR_GBP_USD,2025-01-08 08:30:00,2025-01-08 12:05:00,LONG,-3.114,0.4052,TP_HIT,215.0,"EURGBP,EURUSD,GBPUSD",59.732027,8.056,51.676,OK,LONDON,0
EURGBPUSD-2025-0006,EUR_GBP_USD,2025-01-10 10:30:00,2025-01-10 10:35:00,LONG,-9.3905,-6.9624,SL_HIT,5.0,"EURGBP,EURUSD,GBPUSD",8.406178,8.056,0.3502,TRIGGERED,LONDON,0
EURGBPUSD-2025-0007,EUR_GBP_USD,2025-01-10 10:40:00,2025-01-10 15:30:00,LONG,-4.9838,1.0129,TP_HIT,290.0,"EURGBP,EURUSD,GBPUSD",69.038175,8.056,60.9822,OK,LONDON,0
EURGBPUSD-2025-0008,EUR_GBP_USD,2025-01-15 10:30:00,2025-01-15 12:45:00,SHORT,4.5608,-0.837,TP_HIT,135.0,"EURGBP,EURUSD,GBPUSD",45.965768,8.056,37.9098,OK,LONDON,0
EURGBPUSD-2025-0009,EUR_GBP_USD,2025-01-15 15:30:00,2025-01-15 17:00:00,LONG,-3.7647,-1.242,TIMEOUT,90.0,"EURGBP,EURUSD,GBPUSD",24.232199,8.056,16.1762,OK,LONDON,1
EURGBPUSD-2025-0010,EUR_GBP_USD,2025-01-16 09:40:00,2025-01-16 12:05:00,LONG,-3.305,1.6395,TP_HIT,145.0,"EURGBP,EURUSD,GBPUSD",42.781849,8.056,34.7259,OK,LONDON,0
