triangle,lane,cost_bps,net_ev_bps,pf_net,edge_cost_ratio
EUR_GBP_USD,1.00x,8.056,17.755,5.5231,3.2039
EUR_GBP_USD,1.25x,10.07,15.741,4.573,2.5632
EUR_GBP_USD,1.50x,12.084,13.727,3.7971,2.136
EUR_GBP_USD,2.00x,16.112,9.699,2.607,1.602
GBP_NZD_USD,1.00x,8.8929,11.8681,5.8179,2.3346
GBP_NZD_USD,1.25x,11.1161,9.6449,4.1496,1.8677
GBP_NZD_USD,1.50x,13.3393,7.4217,2.9898,1.5564
GBP_NZD_USD,2.00x,17.7858,2.9753,1.559,1.1673
