leg,file,exists,sha256,total_rows,n_2025_rows,first_2025,last_2025,duplicate_timestamps
GBPAUD,GBPAUD_M5.csv,True,6ca2b4824e80c4846b69f58a4e3d32fded722cf4d1b8435174f6fe696ebc697a,277100,74473,2025-01-02 00:00:00,2025-12-31 23:55:00,0
GBPNZD,GBPNZD_M5.csv,True,1175f80e17bda87cc1eba4a49468fa41fea8f2b681719930cab008d9e6f07667,277117,74472,2025-01-02 00:00:00,2025-12-31 23:55:00,0
AUDNZD,AUDNZD_PRO_M5.csv,True,5a9bd85233ff8f179bd1a55b6e09639b46a4e7a91c6c573e0a5da310e7bd4dad,279540,74466,2025-01-01T19:00:00,2025-12-31T18:55:00,0
EURGBP,EURGBP_M5_fetched.csv,True,2fa8d676651787a93113432c02de709054944756504b95fff28d1f22258d85b6,345439,74478,2025-01-01 19:00:00,2025-12-31 18:55:00,0
EURJPY,EURJPY_M5_fetched.csv,True,11a9c34761e2be2cafbd2eebddd4c7cdc2311b75ef1f1e9938f348f2c2aee832,345334,74478,2025-01-01 19:00:00,2025-12-31 18:55:00,0
GBPJPY,GBPJPY_M5_fetched.csv,True,5c604838005561563b1597e577cded2b4194fab90dee6ce07d9f0d30408d5e70,345277,74405,2025-01-01 19:00:00,2025-12-31 18:55:00,0
GBPCHF,GBPCHF_M5_fetched.csv,True,120b91095d1f5c95fcfe7ee17e61f2682013f2fb468070f94dfa843c6f5c86d2,345293,74387,2025-01-01 19:00:00,2025-12-31 18:55:00,0
CHFJPY,CHFJPY_M5_fetched.csv,True,70a7a1aa9bf031f75f98a3723f7f42d3f637c6fb32903f2a768b7b760f508736,345204,74448,2025-01-01 19:00:00,2025-12-31 18:55:00,0
EURUSD,EURUSD_M5.csv,True,b3447c008ec88e5110fa13a7aa7121ceb04fc887ae2a19f977734138aeb0c2ed,273909,74486,2025-01-02 00:00:00,2025-12-31 23:55:00,0
GBPUSD,GBPUSD_M5_fetched.csv,True,1375a24c6c0578fc18f60c4d1279e86154f05e230aeca5ef720f449eab3c4d32,345507,74385,2025-01-01 19:00:00,2025-12-31 18:55:00,0
NZDUSD,NZDUSD_M5_fetched.csv,True,da42d8a557cb006bd0a4b88a337a034f670507b74b9a6fecd977f5d00c8435ed,282328,74387,2025-01-01 19:00:00,2025-12-31 18:55:00,0
