triangle,lane,N,events_per_week,gross_ev_bps,net_ev_bps,pf_gross,pf_net,win_rate_pct,median_net_bps,max_dd_bps,worst_bps,p5_bps,avg_hold_min,median_hold_min,p90_hold_min,z6_stop_rate_pct,hard_exit_rate_pct,edge_cost_ratio,break_even_multiple,longest_losing_streak,cost_bps
EUR_GBP_USD,z3_primary,146,2.8154,25.811,17.755,11.7806,5.5231,77.3973,17.4804,50.9992,-44.7728,-27.0917,178.01,180.0,297.5,6.8493,38.3562,3.2039,3.2039,3,8.056
GBP_NZD_USD,z3_primary,81,1.562,20.761,11.8681,18.8815,5.8179,74.0741,12.8759,113.733,-38.7037,-13.4727,209.32,195.0,360.0,4.9383,41.9753,2.3346,2.3346,5,8.8929
