triangle,replicates,seed,mean_net_bps,ci_2.5,ci_97.5,p_value_two_sided,n_events
EUR_GBP_USD,2000,20260820,17.75497366226873,14.252547084484135,21.465891220178797,0.0,146
GBP_NZD_USD,2000,20260820,11.868148261529543,6.156912350905494,17.224603222356052,0.0,81
