strategy_id,gross_trading_bps,funding_bps,costs_bps,net_bps,funding_share_of_gross,funding_share_of_net
ALPHA1_S001,-853.0488,67.4392,4240.0,-5025.6103,0.0791,0.0134
ALPHA1_S002,2366.5969,58.9052,2200.0,225.5023,0.0249,0.2612
ALPHA1_S003,897.0249,14.7058,870.0,41.7305,0.0164,0.3524
ALPHA1_S004,183.2113,68.723,1655.0,-1403.066,0.3751,0.049
ALPHA1_S005,-310.9006,43.2656,225.0,-492.6349,0.1392,0.0878
ALPHA1_S006,-518.5469,24.4034,150.0,-644.1435,0.0471,0.0379
ALPHA1_S007,624.7519,41.9312,1025.0,-358.3168,0.0671,0.117
ALPHA1_S008,-697.6974,26.6696,950.0,-1621.028,0.0382,0.0165
ALPHA1_S009,-1731.723,40.8651,1160.0,-2850.8576,0.0236,0.0143
ALPHA1_S010,151.0774,24.6011,3225.0,-3049.3212,0.1628,0.0081
ALPHA1_S011,376.259,3.8812,395.0,-14.8597,0.0103,0.2612
ALPHA1_S012,600.6539,8.9354,950.0,-340.4108,0.0149,0.0262
ALPHA1_S013,1699.4584,-51.9335,2155.0,-507.4767,-0.0306,-0.1023
