strategy_id,family_id,asset,source_state_id,signal_timestamp,decision_timestamp,entry_timestamp,entry_price,direction,execution_object,exit_timestamp,exit_price,exit_reason,invalidation_reason,holding_hours,gross_bps,entry_cost_bps,exit_cost_bps,funding_bps,net_bps,gross_R,net_R,MAE,MFE,control_id
ALPHA1_S001,FAM_A,BTC,,2026-02-03T05:00:00+00:00,2026-02-03T05:00:00+00:00,2026-02-03T06:00:00+00:00,78194.0,LONG,perp,2026-02-03T06:00:00+00:00,78550.0,STATE_EXIT,,1,45.5278,2.5,2.5,0.0,40.5278,0.4553,0.4053,0.0,0.0046,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-03T07:00:00+00:00,2026-02-03T07:00:00+00:00,2026-02-03T08:00:00+00:00,78743.0,LONG,perp,2026-02-03T08:00:00+00:00,78707.0,STATE_EXIT,,1,-4.5718,2.5,2.5,0.0,-9.5718,-0.0457,-0.0957,-0.0005,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-03T10:00:00+00:00,2026-02-03T10:00:00+00:00,2026-02-03T11:00:00+00:00,78072.0,LONG,perp,2026-02-03T12:00:00+00:00,78299.0,STATE_EXIT,,2,29.0757,2.5,2.5,0.0071,24.0828,0.2908,0.2408,-0.0005,0.003,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-03T17:00:00+00:00,2026-02-03T17:00:00+00:00,2026-02-03T18:00:00+00:00,74868.0,LONG,perp,2026-02-03T18:00:00+00:00,73120.0,STATE_EXIT,,1,-233.4776,2.5,2.5,0.0,-238.4776,-2.3348,-2.3848,-0.0233,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-04T15:00:00+00:00,2026-02-04T15:00:00+00:00,2026-02-04T16:00:00+00:00,74092.0,LONG,perp,2026-02-04T16:00:00+00:00,73617.0,STATE_EXIT,,1,-64.1095,2.5,2.5,0.0,-69.1095,-0.6411,-0.6911,-0.0064,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-05T00:00:00+00:00,2026-02-05T00:00:00+00:00,2026-02-05T01:00:00+00:00,72827.0,LONG,perp,2026-02-05T02:00:00+00:00,71452.0,STATE_EXIT,,2,-188.8036,2.5,2.5,-0.125,-193.9286,-1.888,-1.9393,-0.0189,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-05T20:00:00+00:00,2026-02-05T20:00:00+00:00,2026-02-05T21:00:00+00:00,63726.0,LONG,perp,2026-02-05T21:00:00+00:00,63216.0,STATE_EXIT,,1,-80.0301,2.5,2.5,0.0,-85.0301,-0.8003,-0.8503,-0.008,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-06T01:00:00+00:00,2026-02-06T01:00:00+00:00,2026-02-06T02:00:00+00:00,65668.0,LONG,perp,2026-02-06T02:00:00+00:00,64967.0,STATE_EXIT,,1,-106.7491,2.5,2.5,0.0,-111.7491,-1.0675,-1.1175,-0.0107,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-06T06:00:00+00:00,2026-02-06T06:00:00+00:00,2026-02-06T07:00:00+00:00,64935.0,LONG,perp,2026-02-06T08:00:00+00:00,64860.0,STATE_EXIT,,2,-11.55,2.5,2.5,0.1258,-16.4242,-0.1155,-0.1642,-0.0022,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-06T09:00:00+00:00,2026-02-06T09:00:00+00:00,2026-02-06T10:00:00+00:00,65761.0,LONG,perp,2026-02-06T12:00:00+00:00,66525.0,STATE_EXIT,,3,116.1783,2.5,2.5,0.1132,111.2915,1.1618,1.1129,0.0,0.0126,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-06T13:00:00+00:00,2026-02-06T13:00:00+00:00,2026-02-06T14:00:00+00:00,67274.0,LONG,perp,2026-02-06T14:00:00+00:00,68146.0,INVALIDATION,INVALIDATION,1,129.6192,2.5,2.5,0.0,124.6192,1.2962,1.2462,0.0,0.0126,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-07T11:00:00+00:00,2026-02-07T11:00:00+00:00,2026-02-07T12:00:00+00:00,67926.0,LONG,perp,2026-02-07T13:00:00+00:00,69055.0,STATE_EXIT,,2,166.2103,2.5,2.5,0.1788,161.3891,1.6621,1.6139,0.0,0.0166,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-07T16:00:00+00:00,2026-02-07T16:00:00+00:00,2026-02-07T17:00:00+00:00,68911.0,LONG,perp,2026-02-07T17:00:00+00:00,69157.0,STATE_EXIT,,1,35.6982,2.5,2.5,0.0,30.6982,0.357,0.307,0.0,0.0036,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-07T21:00:00+00:00,2026-02-07T21:00:00+00:00,2026-02-07T22:00:00+00:00,69455.0,LONG,perp,2026-02-08T02:00:00+00:00,69334.0,STATE_EXIT,,5,-17.4214,2.5,2.5,0.5477,-21.8737,-0.1742,-0.2187,-0.0052,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-08T03:00:00+00:00,2026-02-08T03:00:00+00:00,2026-02-08T04:00:00+00:00,69054.0,LONG,perp,2026-02-08T07:00:00+00:00,69670.0,STATE_EXIT,,4,89.2055,2.5,2.5,0.2558,84.4613,0.8921,0.8446,0.0,0.009,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-08T11:00:00+00:00,2026-02-08T11:00:00+00:00,2026-02-08T12:00:00+00:00,70956.0,LONG,perp,2026-02-08T13:00:00+00:00,71486.0,STATE_EXIT,,2,74.6942,2.5,2.5,-0.001,69.6931,0.7469,0.6969,0.0,0.0075,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-08T14:00:00+00:00,2026-02-08T14:00:00+00:00,2026-02-08T15:00:00+00:00,71219.0,LONG,perp,2026-02-08T15:00:00+00:00,71149.0,STATE_EXIT,,1,-9.8288,2.5,2.5,0.0,-14.8288,-0.0983,-0.1483,-0.001,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-08T16:00:00+00:00,2026-02-08T16:00:00+00:00,2026-02-08T17:00:00+00:00,70374.0,LONG,perp,2026-02-08T17:00:00+00:00,70760.0,STATE_EXIT,,1,54.8498,2.5,2.5,0.0,49.8498,0.5485,0.4985,0.0,0.0055,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-08T22:00:00+00:00,2026-02-08T22:00:00+00:00,2026-02-08T23:00:00+00:00,71024.0,LONG,perp,2026-02-08T23:00:00+00:00,70290.0,STATE_EXIT,,1,-103.3453,2.5,2.5,0.0,-108.3453,-1.0335,-1.0835,-0.0102,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-09T00:00:00+00:00,2026-02-09T00:00:00+00:00,2026-02-09T01:00:00+00:00,70453.0,LONG,perp,2026-02-09T01:00:00+00:00,70332.0,STATE_EXIT,,1,-17.1746,2.5,2.5,0.0,-22.1746,-0.1717,-0.2217,-0.0017,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-09T04:00:00+00:00,2026-02-09T04:00:00+00:00,2026-02-09T05:00:00+00:00,70961.0,LONG,perp,2026-02-09T05:00:00+00:00,71013.0,STATE_EXIT,,1,7.328,2.5,2.5,0.0,2.328,0.0733,0.0233,0.0,0.0008,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-09T11:00:00+00:00,2026-02-09T11:00:00+00:00,2026-02-09T12:00:00+00:00,68880.0,LONG,perp,2026-02-09T12:00:00+00:00,69109.0,STATE_EXIT,,1,33.2462,2.5,2.5,0.0,28.2462,0.3325,0.2825,0.0,0.0033,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-09T13:00:00+00:00,2026-02-09T13:00:00+00:00,2026-02-09T14:00:00+00:00,68550.0,LONG,perp,2026-02-09T14:00:00+00:00,69239.0,STATE_EXIT,,1,100.5106,2.5,2.5,0.0,95.5106,1.0051,0.9551,0.0,0.0101,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-09T17:00:00+00:00,2026-02-09T17:00:00+00:00,2026-02-09T18:00:00+00:00,70572.0,LONG,perp,2026-02-09T18:00:00+00:00,70386.0,STATE_EXIT,,1,-26.3561,2.5,2.5,0.0,-31.3561,-0.2636,-0.3136,-0.0026,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-09T22:00:00+00:00,2026-02-09T22:00:00+00:00,2026-02-09T23:00:00+00:00,70325.0,LONG,perp,2026-02-10T00:00:00+00:00,69794.0,STATE_EXIT,,2,-75.5066,2.5,2.5,0.0848,-80.4217,-0.7551,-0.8042,-0.0075,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-10T07:00:00+00:00,2026-02-10T07:00:00+00:00,2026-02-10T08:00:00+00:00,68882.0,LONG,perp,2026-02-10T09:00:00+00:00,69122.0,STATE_EXIT,,2,34.8422,2.5,2.5,0.0207,29.8629,0.3484,0.2986,0.0,0.0035,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-10T14:00:00+00:00,2026-02-10T14:00:00+00:00,2026-02-10T15:00:00+00:00,68419.0,LONG,perp,2026-02-10T15:00:00+00:00,69259.0,STATE_EXIT,,1,122.7729,2.5,2.5,0.0,117.7729,1.2277,1.1777,0.0,0.0124,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-10T20:00:00+00:00,2026-02-10T20:00:00+00:00,2026-02-10T21:00:00+00:00,68711.0,LONG,perp,2026-02-10T21:00:00+00:00,68621.0,STATE_EXIT,,1,-13.0983,2.5,2.5,0.0,-18.0983,-0.131,-0.181,-0.0013,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-10T23:00:00+00:00,2026-02-10T23:00:00+00:00,2026-02-11T00:00:00+00:00,68802.0,LONG,perp,2026-02-11T01:00:00+00:00,68953.0,STATE_EXIT,,2,21.947,2.5,2.5,-0.0477,16.8993,0.2195,0.169,0.0,0.0052,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-11T03:00:00+00:00,2026-02-11T03:00:00+00:00,2026-02-11T04:00:00+00:00,68145.0,LONG,perp,2026-02-11T04:00:00+00:00,67551.0,STATE_EXIT,,1,-87.1671,2.5,2.5,0.0,-92.1671,-0.8717,-0.9217,-0.0087,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-11T05:00:00+00:00,2026-02-11T05:00:00+00:00,2026-02-11T06:00:00+00:00,67364.0,LONG,perp,2026-02-11T07:00:00+00:00,67001.0,STATE_EXIT,,2,-53.8863,2.5,2.5,-0.0131,-58.8994,-0.5389,-0.589,-0.0088,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-11T15:00:00+00:00,2026-02-11T15:00:00+00:00,2026-02-11T16:00:00+00:00,66482.0,LONG,perp,2026-02-11T18:00:00+00:00,67244.0,STATE_EXIT,,3,114.6175,2.5,2.5,-0.0957,109.5218,1.1462,1.0952,-0.0073,0.0115,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-11T20:00:00+00:00,2026-02-11T20:00:00+00:00,2026-02-11T21:00:00+00:00,67509.0,LONG,perp,2026-02-11T21:00:00+00:00,67775.0,STATE_EXIT,,1,39.4022,2.5,2.5,0.0,34.4022,0.394,0.344,0.0,0.0039,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-11T22:00:00+00:00,2026-02-11T22:00:00+00:00,2026-02-11T23:00:00+00:00,67397.0,LONG,perp,2026-02-11T23:00:00+00:00,67058.0,STATE_EXIT,,1,-50.299,2.5,2.5,0.0,-55.299,-0.503,-0.553,-0.005,0.0,ALPHA1_C006
