strategy_id,family_id,asset,source_state_id,signal_timestamp,decision_timestamp,entry_timestamp,entry_price,direction,execution_object,exit_timestamp,exit_price,exit_reason,invalidation_reason,holding_hours,gross_bps,entry_cost_bps,exit_cost_bps,funding_bps,net_bps,gross_R,net_R,MAE,MFE,control_id
ALPHA1_C001,FAM_A,BTC,,2026-01-25T06:00:00+00:00,2026-01-25T06:00:00+00:00,2026-01-25T07:00:00+00:00,88802.0,LONG,perp,2026-01-25T14:00:00+00:00,88672.0,TIME_EXIT,,8,-14.6393,2.5,2.5,-0.3245,-19.9638,-0.1464,-0.1996,-0.006,0.001,ALPHA1_C001
ALPHA1_C001,FAM_A,BTC,,2026-01-25T14:00:00+00:00,2026-01-25T14:00:00+00:00,2026-01-25T15:00:00+00:00,88672.0,LONG,perp,2026-01-25T22:00:00+00:00,86499.0,TIME_EXIT,,8,-245.0604,2.5,2.5,-0.6592,-250.7197,-2.4506,-2.5072,-0.0251,0.0,ALPHA1_C001
ALPHA1_C001,FAM_A,BTC,,2026-01-25T22:00:00+00:00,2026-01-25T22:00:00+00:00,2026-01-25T23:00:00+00:00,86499.0,LONG,perp,2026-01-26T06:00:00+00:00,87902.0,TIME_EXIT,,8,162.1984,2.5,2.5,-0.6334,156.565,1.622,1.5656,0.0,0.0162,ALPHA1_C001
ALPHA1_C001,FAM_A,BTC,,2026-01-26T06:00:00+00:00,2026-01-26T06:00:00+00:00,2026-01-26T07:00:00+00:00,87902.0,LONG,perp,2026-01-26T14:00:00+00:00,88157.0,TIME_EXIT,,8,29.0096,2.5,2.5,-0.6345,23.375,0.2901,0.2338,-0.003,0.0029,ALPHA1_C001
ALPHA1_C001,FAM_A,BTC,,2026-01-26T14:00:00+00:00,2026-01-26T14:00:00+00:00,2026-01-26T15:00:00+00:00,88157.0,LONG,perp,2026-01-26T22:00:00+00:00,88092.0,TIME_EXIT,,8,-7.3732,2.5,2.5,-0.2324,-12.6056,-0.0737,-0.1261,-0.0068,0.0024,ALPHA1_C001
ALPHA1_C001,FAM_A,BTC,,2026-01-26T22:00:00+00:00,2026-01-26T22:00:00+00:00,2026-01-26T23:00:00+00:00,88092.0,LONG,perp,2026-01-27T06:00:00+00:00,88289.0,TIME_EXIT,,8,22.363,2.5,2.5,-0.7045,16.6584,0.2236,0.1666,0.0,0.0079,ALPHA1_C001
ALPHA1_C001,FAM_A,BTC,,2026-01-27T06:00:00+00:00,2026-01-27T06:00:00+00:00,2026-01-27T07:00:00+00:00,88289.0,LONG,perp,2026-01-27T14:00:00+00:00,87703.0,TIME_EXIT,,8,-66.3729,2.5,2.5,-0.7515,-72.1245,-0.6637,-0.7212,-0.0066,0.0,ALPHA1_C001
ALPHA1_C001,FAM_A,BTC,,2026-01-27T14:00:00+00:00,2026-01-27T14:00:00+00:00,2026-01-27T15:00:00+00:00,87703.0,LONG,perp,2026-01-27T22:00:00+00:00,89217.0,TIME_EXIT,,8,172.6281,2.5,2.5,-0.7914,166.8366,1.7263,1.6684,-0.0022,0.019,ALPHA1_C001
ALPHA1_C001,FAM_A,BTC,,2026-01-27T22:00:00+00:00,2026-01-27T22:00:00+00:00,2026-01-27T23:00:00+00:00,89217.0,LONG,perp,2026-01-28T06:00:00+00:00,89293.0,TIME_EXIT,,8,8.5186,2.5,2.5,-0.8738,2.6448,0.0852,0.0264,-0.0031,0.0024,ALPHA1_C001
ALPHA1_C001,FAM_A,BTC,,2026-01-28T06:00:00+00:00,2026-01-28T06:00:00+00:00,2026-01-28T07:00:00+00:00,89293.0,LONG,perp,2026-01-28T14:00:00+00:00,89583.0,TIME_EXIT,,8,32.4773,2.5,2.5,-0.875,26.6023,0.3248,0.266,-0.0044,0.0106,ALPHA1_C001
