strategy_id,control_id,mapping_type,F8_applicable,comparison_metric,trigger_result
ALPHA1_S001,ALPHA1_C006,FAMILY_SHARED_CONTROL,YES,net_PF,True
ALPHA1_S002,ALPHA1_C001,FAMILY_SHARED_CONTROL,YES,net_PF,False
ALPHA1_S003,ALPHA1_C001,FAMILY_SHARED_CONTROL,YES,net_PF,False
ALPHA1_S004,ALPHA1_C002,DIRECT_CONTROL_MAPPING,YES,net_PF,True
ALPHA1_S005,ALPHA1_C002,FAMILY_SHARED_CONTROL,YES,net_PF,True
ALPHA1_S006,ALPHA1_C002,FAMILY_SHARED_CONTROL,YES,net_PF,True
ALPHA1_S007,ALPHA1_C003,DIRECT_CONTROL_MAPPING,YES,net_PF,True
ALPHA1_S008,ALPHA1_C003,FAMILY_SHARED_CONTROL,YES,net_PF,True
ALPHA1_S009,ALPHA1_C004,DIRECT_CONTROL_MAPPING,YES,net_PF,True
ALPHA1_S010,ALPHA1_C004,FAMILY_SHARED_CONTROL,YES,net_PF,True
ALPHA1_S011,ALPHA1_C005,DIRECT_CONTROL_MAPPING,YES,net_PF,True
ALPHA1_S012,ALPHA1_C005,FAMILY_SHARED_CONTROL,YES,net_PF,True
ALPHA1_S013,ALPHA1_C006,FAMILY_SHARED_CONTROL,YES,net_PF,True
