strategy_id,base_net_EV,base_net_PF,stress_net_EV,stress_net_PF,pf_decay_pct,cost_fragile
ALPHA1_S001,-5.9264,0.8023,-10.9264,0.6668,16.89,NO
ALPHA1_S002,1.2813,1.0163,-11.2187,0.8675,14.64,NO
ALPHA1_S003,0.2398,1.0093,-4.7602,0.8303,17.74,NO
ALPHA1_S004,-4.2389,0.8777,-9.2389,0.7526,14.25,NO
ALPHA1_S005,-10.9474,0.7702,-15.9474,0.6857,10.97,NO
ALPHA1_S006,-21.4715,0.5908,-26.4715,0.5221,11.63,NO
ALPHA1_S007,-1.7479,0.9558,-6.7479,0.8395,12.17,NO
ALPHA1_S008,-21.3293,0.622,-33.8293,0.4754,23.57,NO
ALPHA1_S009,-12.2882,0.7133,-17.2882,0.6208,12.97,NO
ALPHA1_S010,-11.8191,0.7292,-24.3191,0.5295,27.39,NO
ALPHA1_S011,-0.1881,0.9922,-5.1881,0.8063,18.74,NO
ALPHA1_S012,-4.4791,0.88,-16.9791,0.6252,28.95,NO
ALPHA1_S013,-1.1774,0.9633,-6.1774,0.8237,14.49,NO
