date,direction,result,pnl_pips,p90_hour,tier,ar_pips,p90_body_pips,entry,sl,tp,entry_time,exit_time
2023-07-03,LONG,SL,-1.9,3,T1,11.7,8.0,1.0887300000000002,1.0885700000000003,1.09033,2023-07-03,2023-07-03 10:05:00
2023-07-04,LONG,SL,-1.5,5,T1,17.3,5.8,1.0897299999999999,1.0896139999999999,1.09089,2023-07-04,2023-07-04 08:30:00
2023-07-05,LONG,SL,-1.3,3,T3,41.5,5.2,1.0859999999999999,1.0858959999999998,1.08704,2023-07-05,2023-07-05 20:40:00
2023-07-17,SHORT,SL,-1.5,3,T1,13.8,6.0,1.1244399999999999,1.1245599999999998,1.12324,2023-07-17,2023-07-17 11:35:00
2023-07-18,LONG,TP,11.3,3,T3,39.1,5.8,1.1242999999999999,1.1241839999999999,1.12546,2023-07-18,2023-07-18 09:45:00
2023-07-20,LONG,SL,-1.3,4,T1,14.2,4.9,1.1199200000000002,1.1198220000000003,1.1209,2023-07-20,2023-07-20 10:40:00
2023-07-26,SHORT,TP,8.1,3,T3,39.1,4.2,1.1070600000000002,1.1071440000000001,1.10622,2023-07-26,2023-07-26 09:55:00
2023-07-31,SHORT,SL,-1.2,3,T1,12.4,4.7,1.10238,1.102474,1.10144,2023-07-31,2023-07-31 10:25:00
2023-08-04,LONG,SL,-1.4,3,T2,26.0,5.3,1.0941300000000003,1.0940240000000003,1.09519,2023-08-04,2023-08-04 11:40:00
2023-08-07,LONG,SL,-1.5,3,T1,12.1,6.1,1.09746,1.0973380000000001,1.09868,2023-08-07,2023-08-07 09:35:00
2023-08-08,SHORT,TP,10.9,3,T3,38.4,5.6,1.1010100000000003,1.1011220000000004,1.09989,2023-08-08,2023-08-08 09:55:00
2023-08-09,SHORT,TP,14.9,3,T3,44.0,7.6,1.0993599999999997,1.0995119999999996,1.09784,2023-08-09,2023-08-09 17:30:00
2023-08-10,SHORT,SL,-2.5,5,T3,38.4,11.2,1.10277,1.102994,1.10053,2023-08-10,2023-08-10 15:30:00
2023-08-14,LONG,SL,-1.8,4,T1,8.9,7.6,1.0914300000000003,1.0912780000000004,1.09295,2023-08-14,2023-08-14 15:40:00
2023-08-15,SHORT,SL,-1.4,4,T3,44.8,5.7,1.09351,1.093624,1.09237,2023-08-15,2023-08-15 12:40:00
2023-08-18,LONG,SL,-1.4,4,T3,32.1,5.3,1.0868000000000002,1.0866940000000003,1.08786,2023-08-18,2023-08-18 10:05:00
2023-08-21,SHORT,SL,-1.3,5,T1,13.7,5.1,1.0893,1.089402,1.08828,2023-08-21,2023-08-21 12:20:00
2023-08-24,LONG,SL,-1.6,9,T3,30.1,6.5,1.0829099999999998,1.0827799999999999,1.08421,2023-08-24,2023-08-24 15:40:00
