strategy_id,control_id,strategy_net_PF,control_net_PF,strategy_gross_EV,control_gross_EV,strategy_mean_R,control_mean_R,strategy_WR,control_WR,paired_mean_diff,bootstrap_CI_low,bootstrap_CI_high,control_interpretation
ALPHA1_S001,ALPHA1_C006,0.8023,0.7614,-1.006,-7.9802,-0.0593,-0.1324,0.4587,0.4584,-0.076,-0.226,0.076,STRATEGY_BEATS_CONTROL_ON_PF
ALPHA1_S002,ALPHA1_C001,1.0163,0.7986,13.4466,-7.9036,0.0128,-0.1313,0.5284,0.4459,-0.036,-0.408,0.346,STRATEGY_BEATS_CONTROL_ON_PF
ALPHA1_S003,ALPHA1_C001,1.0093,0.7986,5.1553,-7.9036,0.0024,-0.1313,0.5345,0.4459,-0.087,-0.315,0.142,STRATEGY_BEATS_CONTROL_ON_PF
ALPHA1_S004,ALPHA1_C002,0.8777,0.7986,0.5535,-7.9036,-0.0424,-0.1313,0.4773,0.4459,-0.018,-0.235,0.193,STRATEGY_BEATS_CONTROL_ON_PF
ALPHA1_S005,ALPHA1_C002,0.7702,0.7986,-6.9089,-7.9036,-0.1095,-0.1313,0.4,0.4459,0.082,-0.321,0.488,CONTROL_BEATS_STRATEGY
ALPHA1_S006,ALPHA1_C002,0.5908,0.7986,-17.2849,-7.9036,-0.2147,-0.1313,0.4333,0.4459,-0.211,-0.656,0.204,CONTROL_BEATS_STRATEGY
ALPHA1_S007,ALPHA1_C003,0.9558,0.7519,3.0476,-16.6516,-0.0175,-0.2177,0.5024,0.428,-0.149,-0.49,0.195,STRATEGY_BEATS_CONTROL_ON_PF
ALPHA1_S008,ALPHA1_C003,0.622,0.7519,-9.1802,-16.6516,-0.2133,-0.2177,0.3816,0.428,-0.167,-0.795,0.461,CONTROL_BEATS_STRATEGY
ALPHA1_S009,ALPHA1_C004,0.7133,0.7433,-7.4643,-31.9354,-0.1229,-0.3779,0.4698,0.461,-0.191,-0.775,0.385,CONTROL_BEATS_STRATEGY_ON_PF
ALPHA1_S010,ALPHA1_C004,0.7292,0.7433,0.5856,-31.9354,-0.1182,-0.3779,0.407,0.461,-0.232,-0.806,0.337,CONTROL_BEATS_STRATEGY_ON_PF
ALPHA1_S011,ALPHA1_C005,0.9922,1.2311,4.7628,13.525,-0.0019,0.0891,0.4937,0.5082,0.294,0.008,0.6,CONTROL_CLEARLY_BEATS_STRATEGY
ALPHA1_S012,ALPHA1_C005,0.88,1.2311,7.9033,13.525,-0.0448,0.0891,0.4079,0.5082,0.364,0.145,0.597,CONTROL_CLEARLY_BEATS_STRATEGY
ALPHA1_S013,ALPHA1_C006,0.9633,0.7614,3.9431,-7.9802,-0.0118,-0.1324,0.4432,0.4584,-0.108,-0.268,0.051,STRATEGY_BEATS_CONTROL_ON_PF
