strategy_id,f6_triggered,f7_triggered,month_concentration,state_concentration,asset_concentration,payoff_ratio,mean_R,median_R,worst_R,concentration_diagnosis
ALPHA1_S002,YES,YES,0.3011,0.0,0.5341,0.9071,0.0128,0.0573,-7.4617,EDGE_CONCENTRATED_IN_FEW_LARGE_WINNERS_AND_FEW_MONTHS
ALPHA1_S003,YES,YES,0.3793,0.0,0.5172,0.8791,0.0024,0.057,-2.9379,EDGE_CONCENTRATED_IN_FEW_MONTHS_MEDIAN_WIN_IS_SMALL
ALPHA1_S005,YES,YES,0.3778,0.0,0.5778,1.1553,-0.1095,-0.1135,-3.8773,NO_GROSS_EDGE_CONCENTRATION_IRRELEVANT
ALPHA1_S007,YES,YES,0.4537,0.0,0.5854,0.9465,-0.0175,0.0058,-5.3619,EDGE_CONCENTRATED_IN_SINGLE_MONTHS_FEW_EVENTS
ALPHA1_S011,YES,YES,0.2911,0.0,0.557,1.0176,-0.0019,-0.034,-2.2665,EDGE_PRESENT_BUT_CONCENTRATED_TIMING_UNUSUAL
ALPHA1_S012,YES,YES,0.3026,0.0,0.5789,1.2774,-0.0448,-0.109,-6.3775,EDGE_CONCENTRATED_BUT_SKEWED_NEGATIVE_MEDIAN
ALPHA1_S013,YES,YES,0.2599,0.0,1.0,1.2105,-0.0118,-0.0892,-4.4404,CONTROL_BASELINE_CONCENTRATED
