historical_date,cmc_id,rank,symbol,name,slug,price_usd,market_cap_usd,volume_24h_usd,circulating_supply,total_supply,max_supply,date_added_cmc,last_updated,tags,platform_chain,contract_address,pct_change_1h,pct_change_24h,pct_change_7d,historical_date_key,is_stablecoin,total_mcap,total_vol,market_cap_share,volume_share,volume_rank,rank_band,internal_asset_id
2020-06-01 23:59:59,1,1,BTC,Bitcoin,bitcoin,10167.2681012,186993405740.44864,35198901068.3888,18391706.0,18391706.0,21000000.0,2013-04-28T00:00:00.000Z,2020-06-01T23:59:00.000Z,mineable,,,4.29716,7.43318,14.1453,2020-06-01,False,289143360492.6867,115797862490.34709,0.646715198377098,0.30396848708086455,2.0,1-10,CMC:1
2020-06-01 23:59:59,1027,2,ETH,Ethereum,ethereum,246.99176033,27459257209.333447,13951727936.4523,111174790.499,111174790.499,,2015-08-07T00:00:00.000Z,2020-06-01T23:59:00.000Z,mineable,,,1.55729,6.47118,20.308,2020-06-01,False,289143360492.6867,115797862490.34709,0.09496762146827152,0.12048346693459316,3.0,1-10,CMC:1027
2020-06-01 23:59:59,52,3,XRP,XRP,xrp,0.21024919,9274691762.971666,1702904267.05695,44112853111.0,99990976125.0,100000000000.0,2013-08-04T00:00:00.000Z,2020-06-01T23:59:00.000Z,,,,1.71574,3.45228,7.24443,2020-06-01,False,289143360492.6867,115797862490.34709,0.032076447293024564,0.014705835068405552,9.0,1-10,CMC:52
2020-06-01 23:59:59,825,4,USDT,Tether,tether,1.0011213,8807934628.446953,39619617695.3932,8798069379.47,9079177441.54,,2015-02-25T00:00:00.000Z,2020-06-01T23:59:00.000Z,,ETH,0xdac17f958d2ee523a2206206994597c13d831ec7,0.594993,0.199077,-0.0818086,2020-06-01,True,289143360492.6867,115797862490.34709,0.030462171475902633,0.34214463758945374,1.0,1-10,CMC:825
2020-06-01 23:59:59,1831,5,BCH,Bitcoin Cash,bitcoin-cash,255.35218289,4704471365.822327,3467571665.44314,18423462.5,18423462.5,21000000.0,2017-07-23T00:00:00.000Z,2020-06-01T23:59:00.000Z,mineable,,,3.38444,6.19701,10.9318,2020-06-01,False,289143360492.6867,115797862490.34709,0.016270376597291143,0.02994504035626907,4.0,1-10,CMC:1831
2026-08-23 23:59:59,39379,496,GWEI,ETHGas,eth-gas,0.02341878,40982867.82419242,103033339.57,1750000000.0,10000000000.0,10000000000.0,2026-01-16T14:12:49.000Z,2026-08-23T00:00:00.000Z,defi;ethereum-ecosystem;polychain-capital-portfolio;governance;bnb-chain-ecosystem;binance-alpha;binance-alpha-airdrops;binance-ecosystem;binance-listing;amber-group-portfolio,ETH,0x2798b1cC5A993085E8A9D46e80499F1B63f42204,-1.40649362,2.06765819,4.09910723,2026-08-23,False,2802385575953.4033,178350987743.77,1.4624278748740555e-05,0.0005776998539420709,56.0,301-500,CMC:39379
2026-08-23 23:59:59,35976,497,YUSD,Aegis YUSD,aegis-yusd,0.99993741,40656686.36223859,7728.78,40659231.0674832,40659231.0674832,,2025-03-08T12:18:51.000Z,2026-08-23T00:00:00.000Z,stablecoin;asset-backed-stablecoin;dao;usd-stablecoin,ETH,0x4274cD7277C7bb0806Bd5FE84b9aDAE466a8DA0a,-0.08708964,0.05910195,0.11977916,2026-08-23,True,2802385575953.4033,178350987743.77,1.4507884536340695e-05,4.3334663282625836e-08,470.0,301-500,CMC:35976
2026-08-23 23:59:59,3783,498,ANKR,Ankr,ankr,0.00406265,40626533.82680409,5977782.51,10000000000.0,10000000000.0,10000000000.0,2019-03-06T00:00:00.000Z,2026-08-23T00:00:00.000Z,platform;enterprise-solutions;distributed-computing;defi;filesharing;staking;ethereum-ecosystem;substrate;polkadot;avalanche-ecosystem;solana-ecosystem;pantera-capital-portfolio;polygon-ecosystem;fantom-ecosystem;arbitrum-ecosystem;liquid-staking-derivatives;optimism-ecosystem;rollups-as-a-service;blast-ecosystem;depin;polygon-zkevm-ecosystem;made-in-america;binance-ecosystem;binance-listing,ETH,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,-0.2983808,1.58378891,21.5645214,2026-08-23,False,2802385575953.4033,178350987743.77,1.4497124940768538e-05,3.351695768900394e-05,262.0,301-500,CMC:3783
2026-08-23 23:59:59,39797,499,PRL,Perle,perle,0.23178852,40562991.39330045,5792382.69,175000000.0,1000000000.0,1000000000.0,2026-03-23T07:39:28.000Z,2026-08-23T00:00:00.000Z,ai-big-data;dapp;solana-ecosystem;bnb-chain-ecosystem;binance-alpha;binance-wallet-ido;binance-ecosystem;binance-listing,BNB,0xd20fB09A49a8e75Fef536A2dBc68222900287BAc,0.30007027,0.98136657,-41.58866031,2026-08-23,False,2802385575953.4033,178350987743.77,1.4474450532917999e-05,3.2477435439391535e-05,266.0,301-500,CMC:39797
2026-08-23 23:59:59,39521,500,AZTEC,Aztec,aztec,0.01401079,40345452.16354104,2264882.56,2879599600.0,10350000000.0,10350000000.0,2026-02-12T07:00:00.000Z,2026-08-23T00:00:00.000Z,platform;privacy;zero-knowledge-proofs;smart-contracts;ethereum-ecosystem;layer-2;hashkey-capital-portfolio;a16z-portfolio;paradigm-portfolio;binance-ecosystem;binance-listing;coinlist-launchpad,ETH,0xA27EC0006e59f245217Ff08CD52A7E8b169E62D2,0.27587869,2.46022183,21.6537559,2026-08-23,False,2802385575953.4033,178350987743.77,1.4396824087925538e-05,1.2699018876496887e-05,341.0,301-500,CMC:39521
