historical_date,btc_return_1d,eth_return_1d,eth_btc_relative_return_1d,btc_return_3d,eth_return_3d,eth_btc_relative_return_3d,btc_return_7d,eth_return_7d,eth_btc_relative_return_7d,btc_return_14d,eth_return_14d,eth_btc_relative_return_14d,btc_return_30d,eth_return_30d,eth_btc_relative_return_30d,btc_return_60d,eth_return_60d,eth_btc_relative_return_60d,btc_return_90d,eth_return_90d,eth_btc_relative_return_90d,btc_dominance,eth_share,total_alt_share,stablecoin_mcap_share,n_stablecoins_in_top500,top500_breadth_7d,top500_breadth_30d,top500_dispersion_7d,top500_dispersion_30d
2020-06-01 23:59:59,,,,,,,,,,,,,,,,,,,,,,0.646715198377098,0.09496762146827152,0.353284801622902,0.03463077451087935,7,0.0,0.0,,
2020-06-02 23:59:59,-0.06269766333837123,-0.03956690209804137,0.023130761240329867,,,,,,,,,,,,,,,,,,,0.637830376839564,0.09598186535491411,0.362169623160436,0.03772989227766049,7,0.0,0.0,,
2020-06-03 23:59:59,0.013317547198181012,0.029341076029506752,0.01602352883132574,,,,,,,,,,,,,,,,,,,0.6364554016503277,0.09729682153006912,0.36354459834967234,0.037299346105723115,7,0.0,0.0,,
2020-06-04 23:59:59,0.014903493460039607,0.0010118118352617778,-0.01389168162477783,-0.03605998211424433,-0.010386470976086248,0.02567351113815808,,,,,,,,,,,,,,,,0.6383873157161619,0.09626305160453735,0.3616126842838381,0.036946906010907214,7,0.0,0.0,,
2020-06-05 23:59:59,-0.01378520720832721,-0.013109860403068052,0.0006753468052591582,0.014242542474309783,0.01687440378602867,0.002631861311718886,,,,,,,,,,,,,,,,0.6367031092858675,0.09608085976693533,0.3632968907141325,0.03736963707970132,7,0.0,0.0,,
2026-08-19 23:59:59,0.07089398319234852,0.17480069093885953,0.103906707746511,0.10263726567440967,0.2014548912996108,0.09881762562520113,0.09248465236851189,0.19877326316732402,0.10628861079881213,0.0722734862445562,0.18092174492992608,0.10864825868536987,0.06187579095084583,0.1826381965903605,0.12076240563951468,0.07824618497315772,0.2944611330325906,0.21621494805943287,-0.10669425034018154,0.05632298194264118,0.16301723228282272,0.5522328865879377,0.10792602712800711,0.4477671134120623,0.12358254315054032,50,0.756,0.446,0.12434974539567077,0.2825737703881903
2026-08-20 23:59:59,0.05437827268587525,0.03327925567681622,-0.02109901700905903,0.1321810708861828,0.21659988594951596,0.08441881506333315,0.15189684754070454,0.23481718862277212,0.08292034108206758,0.13648240929304523,0.22308860023113075,0.08660619093808553,0.09815242066868035,0.2063910215397693,0.10823860087108894,0.15489570744507897,0.36478436880215015,0.20988866135707118,-0.03252799703466791,0.12677675906658226,0.15930475610125017,0.5574154694053749,0.106758882026876,0.4425845305946251,0.11852698502084394,49,0.794,0.532,0.13116630186296643,0.29843056891191755
2026-08-21 23:59:59,0.07260335217618707,0.08119762704430533,0.008594274868118257,0.21110577874321002,0.3124627542780354,0.10135697553482537,0.24389751168074358,0.33745345401842286,0.09355594233767928,0.20738216947672128,0.3146442409502672,0.10726207147354594,0.1850867922122008,0.30090236464945264,0.11581557243725182,0.22490388378482362,0.4568583651049314,0.23195448132010776,0.021674011005416105,0.1887237630117431,0.167049752006327,0.5596067791634798,0.10803724204787184,0.4403932208365202,0.11135788464792522,47,0.828,0.694,0.16801121616144654,0.35686729431415026
2026-08-22 23:59:59,-0.01597967482209861,-0.03619099988611063,-0.02021132506401202,0.11285778137542524,0.07674725137973826,-0.03611052999568698,0.22307411446331993,0.28887261760047656,0.06579850313715663,0.18764018034493213,0.2655753447374094,0.07793516439247727,0.18508161846825333,0.2914873626278889,0.10640574415963555,0.23002788554538545,0.4556249395010825,0.22559705395569707,0.0013287208777481574,0.15550915399956677,0.15418043312181862,0.5581908498285002,0.10555043121561639,0.4418091501714998,0.11285398277320424,48,0.818,0.65,0.16683146738676272,0.36978065052291176
2026-08-23 23:59:59,0.008715858969182255,0.016320385659178704,0.007604526689996449,0.06466277040316792,0.05907495555295683,-0.0055878148502110925,0.23777350395170904,0.31477633504711955,0.0770028310954105,0.19909629798065764,0.2908462564465151,0.09174995846585743,0.21305903392194403,0.32450635591652044,0.11144732199457641,0.27477813143076957,0.5209445176897827,0.2461663862590131,0.006150830774948046,0.16692742475555966,0.16077659398061162,0.5569062841986621,0.10610139689856436,0.44309371580133794,0.1116479068992805,46,0.832,0.716,0.20304142879364342,0.36951632967195636
