lag_d,variable,n_rev,n_con,med_rev,med_con,diff,ranksum_p,p_fdr
-14,top500_breadth_30d,369,437,0.298,0.312,-0.014000000000000012,0.9086141528118188,0.9380429512834566
-14,top500_breadth_7d,369,437,0.43,0.448,-0.018000000000000016,0.6635585539341708,0.7503655487947387
-14,breadth_vel,369,437,0.0,0.00399999999999999,-0.00399999999999999,0.6311561954345233,0.7185037046241225
-14,breadth_accel,369,437,0.006000000000000005,0.023999999999999997,-0.01799999999999999,0.4143506906031841,0.5546426567129236
-14,top500_dispersion_30d,347,421,0.34724826857437036,0.2925826181117645,0.05466565046260585,0.010957750702624105,0.04848068814495398
-14,top500_dispersion_7d,360,431,0.16056518610457898,0.14502537297379434,0.015539813130784647,0.01288953033511467,0.05428090662343461
-14,top3_share,369,437,0.7173832839393507,0.7128490848717842,0.004534199067566469,0.013091277479769525,0.05428090662343461
-14,top3_share_chg7,369,437,0.00019868815164103548,-0.00036031948213799403,0.0005590076337790295,0.27644131810734507,0.43099373503775906
-14,btc_return_30d,347,421,0.015008700150187071,0.002251667918427458,0.012757032231759613,0.11985485934953884,0.232926938266127
-14,btc_dominance,369,437,0.5308597775110605,0.5098551861684739,0.021004591342586587,0.01953235412553657,0.06583039598320292
-14,btc_dom_chg30,368,437,0.0006488964102883688,-0.0002051700706637849,0.0008540664809521537,0.7308637997038037,0.808547804444555
-14,eth_btc_relative_return_30d,347,421,-0.017995332382127582,-0.00841797523776977,-0.009577357144357812,0.2780332133871034,0.43099373503775906
-14,eth_btc_relative_return_7d,360,431,-0.00798484135217803,-0.00243247402038671,-0.005552367331791319,0.08808661058174937,0.19035665846056007
-14,med_ret30_11_50,347,421,-0.0216074737042673,-0.02093202298308794,-0.0006754507211793603,0.32926917074519957,0.4769823215042512
-14,med_ret30_51_200,347,421,-0.0416278068305046,-0.045918498558494725,0.004290691727990126,0.22593202167836812,0.36977649056093737
-14,med_ret30_201_500,347,421,-0.04319130446576458,-0.04498092475477372,0.0017896202890091417,0.35043143190398474,0.4937017410801995
-14,rb_spread,360,431,1.0,1.0,0.0,0.8038011773142333,0.864849367996327
-14,pos_ret_share,369,437,0.462,0.478,-0.01599999999999996,0.982314094208991,0.9881266036421802
