layer_a,layer_b,n_days,corr
R1_25,R26_100,2196,0.8850893455901918
R1_25,R101_250,2196,0.8600890032106918
R1_25,R251_500,2196,0.8405121186611437
R26_100,R101_250,2196,0.9312288659917926
R26_100,R251_500,2196,0.9425257554397997
R101_250,R251_500,2196,0.9417249911169923
