lag_d,variable,n_cont,n_gb,med_cont,med_gb,diff,ranksum_p,p_fdr
-14,top500_breadth_30d,41963,34920,0.392,0.359,0.03300000000000003,1.3343419800441433e-22,2.4217594655605447e-22
-14,top500_breadth_7d,41963,34920,0.474,0.438,0.035999999999999976,1.6590112032222725e-11,2.5032417563412987e-11
-14,breadth_vel,41963,34920,0.0020000000000000018,0.0,0.0020000000000000018,8.086548824597929e-06,1.0440860507708717e-05
-14,breadth_accel,41963,34920,2.7755575615628914e-17,0.006000000000000005,-0.005999999999999978,0.05067211614732959,0.056672761480565985
-14,top500_dispersion_30d,40544,33760,0.3486809499947283,0.3305346810127413,0.018146268981987013,8.842027496585238e-15,1.4453314177110485e-14
-14,top500_dispersion_7d,40971,34140,0.15830041612549964,0.15253818588356763,0.005762230241932009,1.6527209793598855e-14,2.658951733355021e-14
-14,top3_share,41963,34920,0.7207374869346252,0.7185966870766152,0.0021407998580100784,1.6639058535625113e-56,4.562322501703661e-56
-14,top3_share_chg7,41963,34920,0.0002821416499533269,0.0002578356350295685,2.430601492375839e-05,0.2933764380073127,0.3104190526633392
-14,btc_return_30d,40544,33760,0.04683024419964665,0.03423828347770863,0.012591960721938023,1.617657814670818e-51,4.1878451039701375e-51
-14,btc_dominance,41963,34920,0.5312832053965911,0.5098551861684739,0.021428019228117212,3.68264027573017e-50,9.297755151595974e-50
-14,btc_dom_chg30,41899,34855,0.0036103635727465777,0.0016865673360663136,0.0019237962366802641,1.528609152194244e-23,2.824603868185016e-23
-14,eth_btc_relative_return_30d,40544,33760,-0.01738385132569331,-0.015208677788178582,-0.0021751735375147296,2.0362561886319255e-09,2.8767054188428864e-09
-14,eth_btc_relative_return_7d,40971,34140,-0.006486826125780554,-0.005998784173193439,-0.0004880419525871149,0.03648524553060815,0.041166980576571144
-14,med_ret30_11_50,40544,33760,-3.3149837018575656e-05,-0.00113849604007904,0.0011053462030604644,5.801948852474888e-27,1.1293869903672493e-26
-14,med_ret30_51_200,40544,33760,-0.011369369431876164,-0.02242236089763927,0.011052991465763107,3.451731063675564e-27,6.770703240286684e-27
-14,med_ret30_201_500,40544,33760,-0.010948163821749568,-0.021678210689092314,0.010730046867342746,6.686802456347144e-31,1.3586730090585831e-30
-14,rb_spread,40971,34140,1.0,1.0,0.0,0.0068751272422180884,0.00807906657495674
-14,pos_ret_share,41963,34920,0.478,0.472,0.006000000000000005,0.2594457098219386,0.27508796675507
-14,pos_vel7_share,41963,34920,0.358,0.358,0.0,0.0601613234822943,0.06670059777384803
-14,leadership_width,41963,34920,0.0,0.0,0.0,0.1909196838071261,0.2054199129570344
-14,rank_depth_rel,40544,33760,-0.028484049368771247,-0.029832549763815552,0.0013485003950443053,0.6002620501575184,0.6209607415422604
