dimension,path,n_episodes,median_dwell_d,n_subperiods,p_7d_success,p_30d_success,p_7d_reentry
entry_order,BRD_FIRST,33,2.0,5,0.2727272727272727,0.12121212121212122,0.3333333333333333
entry_order,DISP_FIRST,23,3.0,5,0.2608695652173913,0.30434782608695654,0.2608695652173913
entry_order,FRESH,23,7.0,5,0.21739130434782608,0.2608695652173913,0.391304347826087
exit_order,BRD_FIRST_EXIT,28,3.5,5,0.14285714285714285,0.25,0.32142857142857145
exit_order,COUPLED_EXIT,19,7.0,4,0.3684210526315789,0.3684210526315789,0.42105263157894735
exit_order,DISP_FIRST_EXIT,31,2.0,5,0.2903225806451613,0.0967741935483871,0.25806451612903225
exit_order,STAYS_HH,1,3.0,1,0.0,0.0,1.0
