atom,sequence,n_days,n_subperiods,p_event_date,base_p,lift,p_value,p_fdr
BREADTH_EXPANDING,BREADTH_EXPANDING@0&@3&@7,180,5,0.4666666666666667,0.3697632058287796,1.2620689655172415,0.0035389370123507513,0.07785661427171653
CONC_FALLING,CONC_FALLING@0&@3&@7,458,5,0.4039301310043668,0.3697632058287796,1.0924021769526966,0.06492495438311396,0.3570872491071268
RISK_ON,RISK_ON@0&@3&@7,907,5,0.4013230429988975,0.3697632058287796,1.0853514808196785,0.024482023655940988,0.20999406991701666
BREADTH_EXPANDING,BREADTH_EXPANDING@0&@3,412,5,0.40048543689320387,0.3697632058287796,1.0830862308096991,0.0982171461917507,0.3601295360364193
RISK_ON,RISK_ON@0&@3,1037,5,0.3982642237222758,0.3697632058287796,1.0770791075050712,0.028635554988684087,0.20999406991701666
VOL_HIGH,VOL_HIGH@0&@3,586,5,0.39761092150170646,0.3697632058287796,1.075312295095748,0.08128986693335472,0.35767541450676077
BTC_SUPPORT,BTC_SUPPORT@0&@3,693,5,0.38961038961038963,0.3697632058287796,1.0536753886507582,0.13955733919368274,0.37309890915564603
ETH_STRONG,ETH_STRONG@0&@3&@7,659,5,0.3884673748103187,0.3697632058287796,1.0505841811372658,0.15995486818176252,0.37309890915564603
BTC_SUPPORT,BTC_SUPPORT@0&@3&@7,562,5,0.3879003558718861,0.3697632058287796,1.0490507161264309,0.18654945457782302,0.37309890915564603
BREADTH_HIGH,BREADTH_HIGH@0&@3&@7,810,5,0.38641975308641974,0.3697632058287796,1.0450465243568692,0.16304865471579877,0.37309890915564603
CONC_FALLING,CONC_FALLING@0&@3,742,5,0.38409703504043125,0.3697632058287796,1.0387648878679643,0.209310109866916,0.38373520142267936
BREADTH_HIGH,BREADTH_HIGH@0&@3,948,5,0.38396624472573837,0.3697632058287796,1.0384111741597555,0.1824991060894947,0.37309890915564603
ETH_STRONG,ETH_STRONG@0&@3,788,5,0.3819796954314721,0.3697632058287796,1.0330386837038334,0.2387316809331459,0.4040074600407084
VOL_HIGH,VOL_HIGH@0&@3&@7,511,5,0.3816046966731898,0.3697632058287796,1.0320245245004,0.2896176718037823,0.45511348426308645
CONC_REBUILD,CONC_REBUILD@0&@3&@7,359,5,0.3788300835654596,0.3697632058287796,1.0245207678691495,0.36096899810256877,0.5294211972171009
DISP_HI,DISP_HI@0&@3,900,5,0.36666666666666664,0.3697632058287796,0.9916256157635468,0.576299268229002,0.7546670179186558
DISP_HI,DISP_HI@0&@3&@7,792,5,0.3661616161616162,0.3697632058287796,0.9902597402597404,0.5831517865735067,0.7546670179186558
RANK_RECRUITING,RANK_RECRUITING@0&@3&@7,236,5,0.3559322033898305,0.3697632058287796,0.9625949736995909,0.6700840139704957,0.8189915726306057
CONC_REBUILD,CONC_REBUILD@0&@3,658,5,0.3495440729483283,0.3697632058287796,0.9453186997469568,0.8586759234261289,0.9575318786876909
RANK_RECRUITING,RANK_RECRUITING@0&@3,355,5,0.3408450704225352,0.3697632058287796,0.9217928259210435,0.8704835260797189,0.9575318786876909
BREADTH_FADING,BREADTH_FADING@0&@3,488,5,0.32172131147540983,0.3697632058287796,0.8700738916256158,0.9860414222503403,0.9860414222503403
BREADTH_FADING,BREADTH_FADING@0&@3&@7,253,5,0.308300395256917,0.3697632058287796,0.8337779162366868,0.9785744382918131,0.9860414222503403
