model,features,delta_logloss,delta_brier,delta_auc,cv_logloss,cv_brier,cv_auc,n
M0_level,breadth level,0.0,0.0,0.0,0.4047973232184776,0.125008028264587,0.8988580542264752,125
M+velocity,velocity:breadth_vel,0.011419872266564712,0.0025606680820833283,-0.01563317384370011,0.4162171954850423,0.12756869634667034,0.8832248803827751,125
M+acceleration,acceleration:breadth_accel,0.013111614011388162,0.0029997917425527154,-0.006181818181818177,0.4179089372298658,0.12800782000713973,0.8926762360446571,125
M+persistence,persistence:breadth_persistence,0.024016261253926863,0.011221194761259767,-0.04860606060606054,0.4288135844724045,0.13622922302584678,0.8502519936204147,125
M+divergence,divergence:breadth_divergence,0.01587242474560746,0.0066466409821240025,-0.02290590111642743,0.4206697479640851,0.13165466924671101,0.8759521531100478,125
M+oscillation,oscillation:breadth_oscillation,0.015681162748813926,0.005819535770226203,-0.026950558213715947,0.42047848596729154,0.13082756403481322,0.8719074960127593,125
M+depth,depth:rank_depth_rel+depth:med_ret30_201_500,-0.027553188623167635,-0.010772536396058047,-0.005023923444976153,0.37724413459531,0.11423549186852897,0.8938341307814991,125
M+composition,composition:pos_vel7_share+composition:pos_ret_share,-0.0019761973316832493,-0.0008180943354363646,-0.02018500797448164,0.40282112588679436,0.12418993392915065,0.8786730462519936,125
M_FULL,all breadth families,0.030654011442288076,0.012916698463539322,-0.05343859649122795,0.4354513346607657,0.13792472672812633,0.8454194577352473,125
