layer,n_days,med_breadth_7d,share_of_top500_breadth,corr_with_total_breadth,p_hi_layer_gt_brd
R1_25,2196,0.49149627774340565,0.2724704322029924,0.3534807353962947,0.6498178506375227
R26_100,2196,0.43999999999999995,0.25910719083525724,0.3863924254658852,0.6024590163934426
R101_250,2196,0.43337459649865856,0.25391117040381606,0.3975671620555613,0.6129326047358834
R251_500,2196,0.36750000000000005,0.21562613085054033,0.39021503243293554,0.4790528233151184
