family,n_events,n_dates,n_assets,reversal_rate,med_fwd7_sigma,subperiods
BAND_BROAD_UPSIDE,61128,2031,5377,0.5875539850804868,-0.21634216050678065,5
COORDINATED_DOWNSIDE,58851,1833,5206,0.5521401505496933,0.11456618792417882,5
ISOLATED_DOWNSIDE_EXTREME,1023,812,722,0.5581622678396871,0.15203297465206528,5
ISOLATED_UPSIDE,187,169,178,0.6737967914438503,-0.4728432899720069,5
LOCAL_CLUSTER_DOWNSIDE,10575,1791,3236,0.5541371158392435,0.1333181782273975,5
MULTI_BAND_UPSIDE,39317,608,4982,0.5253452704936796,-0.06252949657989991,5
OTHER,6785,1150,2527,0.6285924834193073,-0.3354007204622973,5
