age_bin,n,p_exit_within7d,n_exit
1-1,126,0.8333,105
2-2,82,0.7683,63
3-3,55,0.6909,38
4-4,49,0.6939,34
5-7,41,0.7561,31
8-14,20,0.65,13
15-30,7,0.2857,2
