model,n_features,logloss,brier,auc,base_logloss,delta_logloss,n,n_pos
M0,10,0.4386,0.1294,0.7719,0.5403,0.1017,125,27
M1,12,0.4844,0.1412,0.7778,0.5403,0.0558,125,27
M2,14,0.5181,0.1495,0.7238,0.5403,0.0222,125,27
M3,18,0.5303,0.1516,0.7182,0.5403,0.0099,125,27
