destination,horizon_d,n,pct_touch,pct_sustained_5d,pct_sustained_7d,median_run
BROAD_RISK_EXPANSION,1,18,0.1667,0.0,0.0,0.0
BROAD_RISK_EXPANSION,3,18,0.2222,0.0,0.0,0.0
BROAD_RISK_EXPANSION,5,18,0.4444,0.1667,0.0,0.0
BROAD_RISK_EXPANSION,7,18,0.6667,0.2222,0.1111,2.0
BROAD_RISK_EXPANSION,14,18,0.8889,0.7778,0.4444,6.0
BROAD_RISK_EXPANSION,30,18,1.0,1.0,0.6111,11.0
BTC_CONCENTRATION,1,52,0.6538,0.0,0.0,1.0
BTC_CONCENTRATION,3,52,0.8846,0.0,0.0,2.0
BTC_CONCENTRATION,5,52,1.0,0.3846,0.0,3.0
BTC_CONCENTRATION,7,52,1.0,0.5385,0.1923,5.0
BTC_CONCENTRATION,14,52,1.0,0.9231,0.4231,6.0
BTC_CONCENTRATION,30,52,1.0,1.0,0.5769,8.0
CAPITAL_EXIT,1,1,0.0,0.0,0.0,0.0
CAPITAL_EXIT,3,1,1.0,0.0,0.0,2.0
CAPITAL_EXIT,5,1,1.0,0.0,0.0,4.0
CAPITAL_EXIT,7,1,1.0,1.0,0.0,6.0
CAPITAL_EXIT,14,1,1.0,1.0,1.0,13.0
CAPITAL_EXIT,30,1,1.0,1.0,1.0,29.0
ETH_BROADENING,1,1,0.0,0.0,0.0,0.0
ETH_BROADENING,3,1,1.0,0.0,0.0,2.0
ETH_BROADENING,5,1,1.0,0.0,0.0,4.0
ETH_BROADENING,7,1,1.0,1.0,0.0,6.0
ETH_BROADENING,14,1,1.0,1.0,1.0,7.0
ETH_BROADENING,30,1,1.0,1.0,1.0,7.0
LARGE_ALT_ROTATION,1,4,0.25,0.0,0.0,0.0
LARGE_ALT_ROTATION,3,4,0.5,0.0,0.0,0.5
LARGE_ALT_ROTATION,5,4,0.75,0.25,0.0,2.5
LARGE_ALT_ROTATION,7,4,1.0,0.5,0.25,4.5
LARGE_ALT_ROTATION,14,4,1.0,1.0,0.75,8.0
LARGE_ALT_ROTATION,30,4,1.0,1.0,0.75,8.5
MID_CAP_ROTATION,1,4,0.5,0.0,0.0,0.5
MID_CAP_ROTATION,3,4,0.75,0.0,0.0,2.5
MID_CAP_ROTATION,5,4,1.0,0.5,0.0,4.5
MID_CAP_ROTATION,7,4,1.0,0.75,0.25,6.0
MID_CAP_ROTATION,14,4,1.0,1.0,0.75,7.5
MID_CAP_ROTATION,30,4,1.0,1.0,0.75,7.5
MIXED_NO_CLEAR_ROUTE,1,44,0.7955,0.0,0.0,1.0
MIXED_NO_CLEAR_ROUTE,3,44,0.9545,0.0,0.0,3.0
MIXED_NO_CLEAR_ROUTE,5,44,1.0,0.4545,0.0,4.0
MIXED_NO_CLEAR_ROUTE,7,44,1.0,0.6136,0.2727,5.0
MIXED_NO_CLEAR_ROUTE,14,44,1.0,0.8409,0.4318,6.0
MIXED_NO_CLEAR_ROUTE,30,44,1.0,1.0,0.5455,8.0
STABLECOIN_PARKING,1,1,0.0,0.0,0.0,0.0
STABLECOIN_PARKING,3,1,0.0,0.0,0.0,0.0
STABLECOIN_PARKING,5,1,1.0,0.0,0.0,1.0
STABLECOIN_PARKING,7,1,1.0,0.0,0.0,3.0
STABLECOIN_PARKING,14,1,1.0,1.0,1.0,8.0
STABLECOIN_PARKING,30,1,1.0,1.0,1.0,8.0
