chain,start,end,duration_d,first_native_impulse_idx_offset,in_conc_at_end,state_end_plus7,state_end_plus30,subperiod
Tron,2020-06-08 23:59:59,2020-06-14 23:59:59,7,,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-07-06 23:59:59,2020-07-12 23:59:59,7,6.0,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-07-13 23:59:59,2020-07-16 23:59:59,4,,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-07-31 23:59:59,2020-08-02 23:59:59,3,1.0,False,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,2020-2021
Tron,2020-08-09 23:59:59,2020-08-12 23:59:59,4,3.0,False,ETH_BROADENING,STABLECOIN_PARKING,2020-2021
Tron,2020-08-21 23:59:59,2020-08-27 23:59:59,7,1.0,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-08-31 23:59:59,2020-09-03 23:59:59,4,1.0,False,ETH_BROADENING,BTC_CONCENTRATION,2020-2021
Tron,2020-09-08 23:59:59,2020-09-12 23:59:59,5,,False,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-09-18 23:59:59,2020-09-21 23:59:59,4,1.0,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2020-2021
Tron,2020-09-23 23:59:59,2020-09-28 23:59:59,6,,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2020-2021
Tron,2020-10-16 23:59:59,2020-10-19 23:59:59,4,1.0,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-10-21 23:59:59,2020-10-23 23:59:59,3,,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-10-24 23:59:59,2020-11-16 23:59:59,5,1.0,True,BTC_CONCENTRATION,BTC_CONCENTRATION,2020-2021
Tron,2020-12-16 23:59:59,2020-12-23 23:59:59,8,5.0,True,BTC_CONCENTRATION,ETH_BROADENING,2020-2021
Tron,2021-01-05 23:59:59,2021-01-12 23:59:59,7,3.0,True,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-01-20 23:59:59,2021-01-23 23:59:59,4,1.0,False,BROAD_RISK_EXPANSION,LARGE_ALT_ROTATION,2020-2021
Tron,2021-01-30 23:59:59,2021-02-04 23:59:59,6,3.0,False,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-02-05 23:59:59,2021-02-07 23:59:59,3,,False,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-02-15 23:59:59,2021-02-19 23:59:59,5,1.0,False,LARGE_ALT_ROTATION,MID_CAP_ROTATION,2020-2021
Tron,2021-02-23 23:59:59,2021-03-01 23:59:59,7,,False,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-03-02 23:59:59,2021-03-05 23:59:59,4,1.0,False,MID_CAP_ROTATION,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-03-06 23:59:59,2021-03-14 23:59:59,9,,False,MID_CAP_ROTATION,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-04-09 23:59:59,2021-04-14 23:59:59,6,1.0,False,ETH_BROADENING,STABLECOIN_PARKING,2020-2021
Tron,2021-05-01 23:59:59,2021-05-06 23:59:59,6,5.0,False,STABLECOIN_PARKING,STABLECOIN_PARKING,2020-2021
Tron,2021-05-07 23:59:59,2021-05-09 23:59:59,3,1.0,False,STABLECOIN_PARKING,STABLECOIN_PARKING,2020-2021
Tron,2021-05-10 23:59:59,2021-05-14 23:59:59,5,1.0,False,STABLECOIN_PARKING,STABLECOIN_PARKING,2020-2021
Tron,2021-06-02 23:59:59,2021-06-04 23:59:59,3,,False,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2021-06-09 23:59:59,2021-06-12 23:59:59,4,1.0,False,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2021-06-30 23:59:59,2021-07-03 23:59:59,4,,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2020-2021
Tron,2021-07-04 23:59:59,2021-07-08 23:59:59,5,3.0,False,STABLECOIN_PARKING,BTC_CONCENTRATION,2020-2021
Tron,2021-07-25 23:59:59,2021-07-29 23:59:59,5,1.0,True,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-08-07 23:59:59,2021-08-11 23:59:59,5,1.0,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2021-08-19 23:59:59,2021-08-23 23:59:59,5,,False,BROAD_RISK_EXPANSION,STABLECOIN_PARKING,2020-2021
Tron,2021-08-26 23:59:59,2021-08-28 23:59:59,3,1.0,False,BROAD_RISK_EXPANSION,STABLECOIN_PARKING,2020-2021
Tron,2021-09-02 23:59:59,2021-09-05 23:59:59,4,2.0,False,ETH_BROADENING,BTC_CONCENTRATION,2020-2021
Tron,2021-09-19 23:59:59,2021-09-21 23:59:59,3,1.0,False,STABLECOIN_PARKING,BTC_CONCENTRATION,2020-2021
Tron,2021-10-03 23:59:59,2021-10-05 23:59:59,3,,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2021-10-06 23:59:59,2021-10-08 23:59:59,3,2.0,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2021-10-15 23:59:59,2021-10-18 23:59:59,4,,True,BTC_CONCENTRATION,ETH_BROADENING,2020-2021
Tron,2021-10-20 23:59:59,2021-10-23 23:59:59,4,1.0,True,BTC_CONCENTRATION,ETH_BROADENING,2020-2021
Tron,2021-10-24 23:59:59,2021-10-29 23:59:59,6,1.0,True,MID_CAP_ROTATION,ETH_BROADENING,2020-2021
Tron,2021-11-01 23:59:59,2021-11-18 23:59:59,18,2.0,False,ETH_BROADENING,STABLECOIN_PARKING,2020-2021
Tron,2021-12-26 23:59:59,2022-01-27 23:59:59,6,3.0,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-02-09 23:59:59,2022-02-13 23:59:59,5,,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-03-02 23:59:59,2022-03-04 23:59:59,3,2.0,True,STABLECOIN_PARKING,BROAD_RISK_EXPANSION,2022
Tron,2022-03-15 23:59:59,2022-03-18 23:59:59,4,1.0,False,BTC_CONCENTRATION,ETH_BROADENING,2022
Tron,2022-03-19 23:59:59,2022-03-25 23:59:59,7,2.0,True,BROAD_RISK_EXPANSION,MID_CAP_ROTATION,2022
Tron,2022-03-29 23:59:59,2022-03-31 23:59:59,3,,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-04-03 23:59:59,2022-04-05 23:59:59,3,2.0,False,MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-04-21 23:59:59,2022-04-26 23:59:59,6,1.0,False,MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,2022
Tron,2022-06-25 23:59:59,2022-06-27 23:59:59,3,1.0,False,CAPITAL_EXIT,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-07-09 23:59:59,2022-07-15 23:59:59,7,3.0,False,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,2022
Tron,2022-07-19 23:59:59,2022-07-24 23:59:59,6,,False,ETH_BROADENING,ETH_BROADENING,2022
Tron,2022-07-31 23:59:59,2022-08-06 23:59:59,7,6.0,False,BROAD_RISK_EXPANSION,NARROW_LEADERSHIP,2022
Tron,2022-09-11 23:59:59,2022-09-15 23:59:59,5,,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-10-29 23:59:59,2022-11-01 23:59:59,4,,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-12-02 23:59:59,2022-12-04 23:59:59,3,,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-12-05 23:59:59,2022-12-07 23:59:59,3,,False,BTC_CONCENTRATION,BTC_CONCENTRATION,2022
Tron,2022-12-08 23:59:59,2022-12-10 23:59:59,3,,False,BTC_CONCENTRATION,BTC_CONCENTRATION,2022
Tron,2022-12-12 23:59:59,2022-12-15 23:59:59,4,,True,BTC_CONCENTRATION,BTC_CONCENTRATION,2022
Tron,2023-01-12 23:59:59,2023-01-27 23:59:59,16,1.0,False,LARGE_ALT_ROTATION,MID_CAP_ROTATION,2023
Tron,2023-01-28 23:59:59,2023-02-05 23:59:59,9,1.0,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-02-17 23:59:59,2023-02-24 23:59:59,8,1.0,False,MID_CAP_ROTATION,BTC_CONCENTRATION,2023
Tron,2023-03-17 23:59:59,2023-03-20 23:59:59,4,1.0,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-03-22 23:59:59,2023-03-24 23:59:59,3,1.0,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-03-31 23:59:59,2023-04-05 23:59:59,6,2.0,True,BTC_CONCENTRATION,BTC_CONCENTRATION,2023
Tron,2023-04-06 23:59:59,2023-04-08 23:59:59,3,1.0,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-04-11 23:59:59,2023-04-19 23:59:59,9,1.0,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-04-30 23:59:59,2023-05-02 23:59:59,3,2.0,True,MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,2023
Tron,2023-05-17 23:59:59,2023-05-20 23:59:59,4,1.0,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2023
Tron,2023-05-28 23:59:59,2023-06-01 23:59:59,4,3.0,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2023
Tron,2023-06-20 23:59:59,2023-06-28 23:59:59,8,1.0,True,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-07-02 23:59:59,2023-07-04 23:59:59,3,2.0,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-07-13 23:59:59,2023-07-16 23:59:59,4,,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-07-17 23:59:59,2023-07-20 23:59:59,4,2.0,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-08-01 23:59:59,2023-08-05 23:59:59,5,3.0,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-09-08 23:59:59,2023-09-10 23:59:59,3,,False,BTC_CONCENTRATION,BTC_CONCENTRATION,2023
Tron,2023-10-06 23:59:59,2023-10-10 23:59:59,5,1.0,True,BTC_CONCENTRATION,LARGE_ALT_ROTATION,2023
Tron,2023-10-25 23:59:59,2023-10-30 23:59:59,6,1.0,True,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,2023
Tron,2023-11-03 23:59:59,2023-11-17 23:59:59,13,1.0,False,BROAD_RISK_EXPANSION,BTC_CONCENTRATION,2023
Tron,2023-11-25 23:59:59,2023-11-27 23:59:59,3,,False,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,2023
Tron,2023-12-05 23:59:59,2023-12-10 23:59:59,5,1.0,False,BTC_CONCENTRATION,NARROW_LEADERSHIP,2023
Tron,2023-12-15 23:59:59,2023-12-17 23:59:59,3,,False,LARGE_ALT_ROTATION,NARROW_LEADERSHIP,2023
Tron,2023-12-20 23:59:59,2023-12-27 23:59:59,8,1.0,False,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,2023
Tron,2024-01-29 23:59:59,2024-02-04 23:59:59,7,1.0,False,BTC_CONCENTRATION,BTC_CONCENTRATION,2024
Tron,2024-02-09 23:59:59,2024-02-21 23:59:59,13,1.0,True,BTC_CONCENTRATION,BTC_CONCENTRATION,2024
Tron,2024-02-28 23:59:59,2024-03-05 23:59:59,7,1.0,True,MID_CAP_ROTATION,BTC_CONCENTRATION,2024
Tron,2024-03-10 23:59:59,2024-03-16 23:59:59,7,,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-03-27 23:59:59,2024-04-01 23:59:59,6,3.0,True,BTC_CONCENTRATION,STABLECOIN_PARKING,2024
Tron,2024-05-06 23:59:59,2024-05-10 23:59:59,4,,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-05-17 23:59:59,2024-05-29 23:59:59,13,1.0,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-07-14 23:59:59,2024-07-24 23:59:59,11,6.0,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-08-12 23:59:59,2024-08-16 23:59:59,4,2.0,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-09-13 23:59:59,2024-09-18 23:59:59,6,1.0,True,LARGE_ALT_ROTATION,BTC_CONCENTRATION,2024
Tron,2024-09-19 23:59:59,2024-09-26 23:59:59,8,1.0,False,LARGE_ALT_ROTATION,BTC_CONCENTRATION,2024
Tron,2024-11-12 23:59:59,2024-11-14 23:59:59,3,1.0,True,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,2024
Tron,2024-11-21 23:59:59,2024-11-27 23:59:59,7,1.0,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2024
