state,n,HOME,PARKING_LOT,NEW_CLUB,STAYING_LATE
ETH_BROADENING,15,0.0667,0.1333,0.8,0.0
BROAD_RISK_EXPANSION,21,0.0952,0.2857,0.619,0.0
LARGE_ALT_ROTATION,9,0.0,0.3333,0.6667,0.0
MID_CAP_ROTATION,5,0.2,0.2,0.6,0.0
