class,base,boot_mean,ci95_lo,ci95_hi
FAILED_IGNITION,0.416,0.4172,0.3238,0.504
FULL_FAILURE,0.36,0.3614,0.28,0.456
IMMEDIATE_DELIVERY,0.112,0.1095,0.064,0.16
RETEST_RELOAD,0.112,0.1119,0.064,0.168
