role,level,escape_rate,n,prop_rate,reentry7
ACCESSIBILITY,VOL_HIGH,0.8519,27,,
ACCESSIBILITY,VOL_LOW,0.6071,56,,
PROPAGATION_DEPTH,VOL_HIGH,,27,0.3704,
PROPAGATION_DEPTH,VOL_LOW,,56,0.2321,
REENTRY,VOL_HIGH,,27,,0.1111
REENTRY,VOL_LOW,,56,,0.4286
