metric,vol_state,prob,n_days
P_ESCAPE_WITHIN_7D_GIVEN_CONC,VOL_HIGH,0.6078,102
P_ESCAPE_WITHIN_7D_GIVEN_CONC,VOL_LOW,0.4793,290
P_REENTRY_WITHIN_7D_GIVEN_ESCAPE,VOL_HIGH,0.4815,27
P_REENTRY_WITHIN_7D_GIVEN_ESCAPE,VOL_LOW,0.625,56
P_PROPAGATION_GIVEN_ESCAPE,VOL_HIGH,0.3704,27
P_PROPAGATION_GIVEN_ESCAPE,VOL_LOW,0.2321,56
P_ALT_DEPTH_GIVEN_PROPAGATION,VOL_HIGH,0.3,10
P_ALT_DEPTH_GIVEN_PROPAGATION,VOL_LOW,0.3846,13
P_BROAD_RISK_GIVEN_ESCAPE_DIRECTION_BIAS,VOL_HIGH,0.2593,27
P_BROAD_RISK_GIVEN_ESCAPE_DIRECTION_BIAS,VOL_LOW,0.1429,56
