route1,route2,n,prob,depth_mean
MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,26,0.5909,0.615
BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,22,0.4231,1.273
BTC_CONCENTRATION,BTC_CONCENTRATION,14,0.2692,1.071
BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,9,0.5,2.333
BTC_CONCENTRATION,LARGE_ALT_ROTATION,7,0.1346,1.714
MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,6,0.1364,0.5
MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,5,0.1136,0.2
BTC_CONCENTRATION,BROAD_RISK_EXPANSION,4,0.0769,3.0
BTC_CONCENTRATION,MID_CAP_ROTATION,4,0.0769,2.0
BROAD_RISK_EXPANSION,BTC_CONCENTRATION,3,0.1667,2.0
MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,3,0.0682,0.0
MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,3,0.0682,1.667
MID_CAP_ROTATION,BTC_CONCENTRATION,3,0.75,2.0
BROAD_RISK_EXPANSION,ETH_BROADENING,2,0.1111,3.0
BROAD_RISK_EXPANSION,MID_CAP_ROTATION,2,0.1111,3.0
BTC_CONCENTRATION,ETH_BROADENING,1,0.0192,3.0
BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,1,0.0556,2.0
BROAD_RISK_EXPANSION,LARGE_ALT_ROTATION,1,0.0556,2.0
ETH_BROADENING,BROAD_RISK_EXPANSION,1,1.0,4.0
LARGE_ALT_ROTATION,MID_CAP_ROTATION,1,0.25,3.0
LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,1,0.25,1.0
LARGE_ALT_ROTATION,CAPITAL_EXIT,1,0.25,2.0
LARGE_ALT_ROTATION,BTC_CONCENTRATION,1,0.25,3.0
CAPITAL_EXIT,ETH_BROADENING,1,1.0,2.0
MID_CAP_ROTATION,MID_CAP_ROTATION,1,0.25,2.0
MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,1,0.0227,0.0
STABLECOIN_PARKING,STABLECOIN_PARKING,1,1.0,1.0
