event_id,exit_date,first_destination,staged_pattern,state_tp1,state_tp3,state_tp5,state_tp7,state_tp14,state_tp30,alt_reached_30d,broad_risk_seen_30d
EXIT_000,2020-10-04 23:59:59,MIXED_NO_CLEAR_ROUTE,CONC_MIXED,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,False,False
EXIT_001,2020-10-12 23:59:59,BTC_CONCENTRATION,CONC_REENTRY,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,False
EXIT_002,2020-10-15 23:59:59,BTC_CONCENTRATION,CONC_REENTRY,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,False
EXIT_003,2020-11-17 23:59:59,BTC_CONCENTRATION,CONC_REENTRY,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,False
EXIT_004,2020-11-27 23:59:59,MIXED_NO_CLEAR_ROUTE,CONC_MIXED,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,False,False
EXIT_005,2020-12-18 23:59:59,BTC_CONCENTRATION,CONC_REENTRY,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,False,False
EXIT_006,2021-01-20 23:59:59,ETH_BROADENING,CONC_DIRECT_ALT,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,ETH_BROADENING,ETH_BROADENING,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,True,True
EXIT_007,2021-06-30 23:59:59,MIXED_NO_CLEAR_ROUTE,CONC_MIXED,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,STABLECOIN_PARKING,BTC_CONCENTRATION,True,False
EXIT_008,2021-07-08 23:59:59,STABLECOIN_PARKING,CONC_DEFENSIVE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,STABLECOIN_PARKING,ETH_BROADENING,BTC_CONCENTRATION,True,False
EXIT_009,2021-08-11 23:59:59,BROAD_RISK_EXPANSION,CONC_BROAD_RISK_ONLY,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,True,True
EXIT_010,2021-10-28 23:59:59,BTC_CONCENTRATION,CONC_REENTRY,BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,ETH_BROADENING,True,True
EXIT_011,2021-11-04 23:59:59,MIXED_NO_CLEAR_ROUTE,CONC_MIXED,MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,STABLECOIN_PARKING,STABLECOIN_PARKING,True,True
EXIT_012,2022-03-06 23:59:59,MIXED_NO_CLEAR_ROUTE,CONC_MIXED,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,STABLECOIN_PARKING,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,True,True
EXIT_013,2022-03-21 23:59:59,BROAD_RISK_EXPANSION,CONC_BROAD_RISK_ONLY,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,MID_CAP_ROTATION,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,True,True
EXIT_014,2022-03-23 23:59:59,BROAD_RISK_EXPANSION,CONC_BROAD_RISK_ONLY,MIXED_NO_CLEAR_ROUTE,MID_CAP_ROTATION,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,SMALL_CAP_ROTATION,True,True
EXIT_015,2022-03-26 23:59:59,BROAD_RISK_EXPANSION,CONC_BROAD_RISK_ONLY,BTC_CONCENTRATION,MID_CAP_ROTATION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,True,True
EXIT_016,2022-03-29 23:59:59,BROAD_RISK_EXPANSION,CONC_BROAD_RISK_ONLY,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,True,True
