target,feature,coef,perm_p,significant
INITIATION_G1,btc_ret30,-0.2936,0.54,False
INITIATION_G1,btc_ret7,0.2053,0.92,False
INITIATION_G1,top3_share,-0.342,0.07,False
INITIATION_G1,top3_share_chg7,-0.0347,0.34,False
INITIATION_G1,breadth30,0.5182,0.48,False
INITIATION_G1,disp30,0.2434,0.31,False
INITIATION_G1,sc_chg30,0.0311,1.0,False
INITIATION_G1,eth_rel30,0.2035,0.65,False
INITIATION_G1,vol_med,0.5821,0.99,False
INITIATION_G1,chain_tvl_med_chg7,-0.3386,0.94,False
ROUTE_G3,btc_ret30,-0.0821,0.95,False
ROUTE_G3,btc_ret7,0.3671,0.21,False
ROUTE_G3,top3_share,-0.2579,0.53,False
ROUTE_G3,top3_share_chg7,0.0979,0.71,False
ROUTE_G3,breadth30,1.74,0.0,True
ROUTE_G3,disp30,0.1178,0.9,False
ROUTE_G3,sc_chg30,0.21,0.95,False
ROUTE_G3,eth_rel30,-0.1154,0.91,False
ROUTE_G3,vol_med,0.2064,0.64,False
ROUTE_G3,chain_tvl_med_chg7,-0.1607,0.39,False
