state,n,med,p25,p75
BROAD_RISK_EXPANSION,9,11.0,6.0,12.0
BTC_CONCENTRATION,94,2.0,1.0,6.0
CAPITAL_EXIT,2,15.5,8.25,22.75
ETH_BROADENING,10,2.5,2.0,3.0
LARGE_ALT_ROTATION,18,3.0,1.25,4.0
MID_CAP_ROTATION,26,1.0,1.0,2.0
MIXED_NO_CLEAR_ROUTE,190,2.0,1.0,4.0
NARROW_LEADERSHIP,14,1.0,1.0,1.0
STABLECOIN_PARKING,9,3.0,1.0,4.0
