episode_start,episode_end,state,duration_d,disp30_chg_during,breadth_chg_during,top3_chg_during,vol_chg_during,eth_rel_chg_during,termination_style,post_termination_route,subperiod
2023-11-22 23:59:59,2023-12-03 23:59:59,BROAD_RISK_EXPANSION,11,0.2181,-0.018,0.0049,0.0032,-0.0109,BREADTH_DIVERGENCE,PARKING_LOT,2023
2023-12-26 23:59:59,2023-12-31 23:59:59,BROAD_RISK_EXPANSION,5,,-0.736,0.0149,0.0083,,BREADTH_DIVERGENCE,NEW_CLUB,
2024-01-16 23:59:59,2024-01-18 23:59:59,ETH_BROADENING,3,-0.1012,-0.288,-0.0331,-0.0008,-0.0243,BREADTH_DIVERGENCE,NEW_CLUB,2024
2024-03-09 23:59:59,2024-03-16 23:59:59,MID_CAP_ROTATION,8,-0.43,-0.246,-0.0054,0.0108,-0.197,BREADTH_DIVERGENCE,PARKING_LOT,2024
2024-09-08 23:59:59,2024-09-10 23:59:59,LARGE_ALT_ROTATION,3,0.0023,0.27,0.0016,-0.0019,-0.0972,LEADERSHIP_NARROWING,PARKING_LOT,2024
2024-09-26 23:59:59,2024-10-01 23:59:59,BROAD_RISK_EXPANSION,6,0.0407,-0.11,0.0032,0.0031,-0.0598,BREADTH_DIVERGENCE,HOME,2024
2024-10-03 23:59:59,2024-10-05 23:59:59,LARGE_ALT_ROTATION,3,0.0504,0.108,-0.0031,-0.0001,0.0163,VOLATILITY_EXHAUSTION,NEW_CLUB,2024
2024-11-24 23:59:59,2024-11-26 23:59:59,LARGE_ALT_ROTATION,3,0.0468,0.082,0.0237,0.0032,0.0949,LEADERSHIP_NARROWING,NEW_CLUB,2024
2024-11-27 23:59:59,2024-12-17 23:59:59,BROAD_RISK_EXPANSION,21,0.063,-0.18,-0.0044,0.0091,0.0412,ABRUPT_COLLAPSE,PARKING_LOT,2024
2025-05-09 23:59:59,2025-05-14 23:59:59,BROAD_RISK_EXPANSION,6,-0.0496,-0.15,0.0356,0.0008,0.1898,BREADTH_DIVERGENCE,NEW_CLUB,2025-2026
2025-07-15 23:59:59,2025-07-17 23:59:59,ETH_BROADENING,3,0.0868,0.196,-0.008,0.0001,0.3092,GRADUAL_DECAY,NEW_CLUB,2025-2026
2025-07-18 23:59:59,2025-07-28 23:59:59,BROAD_RISK_EXPANSION,11,0.0287,0.028,0.0376,-0.0001,0.1606,LEADERSHIP_NARROWING,NEW_CLUB,2025-2026
2025-08-07 23:59:59,2025-08-10 23:59:59,BROAD_RISK_EXPANSION,4,-0.0232,-0.144,-0.0432,0.0003,0.1311,BREADTH_DIVERGENCE,NEW_CLUB,2025-2026
2025-08-11 23:59:59,2025-08-13 23:59:59,ETH_BROADENING,3,-0.028,-0.128,-0.0061,0.0034,-0.1371,ABRUPT_COLLAPSE,NEW_CLUB,2025-2026
2025-08-28 23:59:59,2025-09-02 23:59:59,ETH_BROADENING,6,0.0292,-0.038,-0.001,-0.0019,-0.0266,BREADTH_DIVERGENCE,NEW_CLUB,2025-2026
2026-05-08 23:59:59,2026-05-14 23:59:59,MID_CAP_ROTATION,7,-0.2462,-0.464,-0.0006,0.0012,-0.0509,BREADTH_DIVERGENCE,HOME,2025-2026
2026-05-26 23:59:59,2026-06-04 23:59:59,LARGE_ALT_ROTATION,10,0.0769,-0.148,-0.012,0.0055,0.0325,ABRUPT_COLLAPSE,NEW_CLUB,2025-2026
2026-06-13 23:59:59,2026-06-29 23:59:59,LARGE_ALT_ROTATION,17,-0.2761,0.11,-0.0175,0.0004,0.0505,GRADUAL_DECAY,NEW_CLUB,2025-2026
