destination,tau,n,median,p10,p25,p75,p90
BROAD_RISK_EXPANSION,tau_release_d,18,1.5,1.0,1.0,2.75,4.6
BROAD_RISK_EXPANSION,tau_activate_d,18,2.0,1.0,1.0,3.0,5.0
BROAD_RISK_EXPANSION,tau_broaden_d,18,6.0,1.0,4.0,8.75,13.2
BROAD_RISK_EXPANSION,tau_peak_d,18,7.0,0.0,2.5,9.0,11.6
BROAD_RISK_EXPANSION,tau_hold_d,18,8.0,4.4,5.0,12.0,21.0
BROAD_RISK_EXPANSION,tau_decay_d,16,7.0,1.0,4.25,9.0,12.0
BROAD_RISK_EXPANSION,tau_reroute_d,18,1.0,1.0,1.0,1.0,1.0
BROAD_RISK_EXPANSION,tau_total_d,18,10.0,1.0,1.0,16.5,59.2
BTC_CONCENTRATION,tau_release_d,52,1.0,1.0,1.0,2.0,2.9
BTC_CONCENTRATION,tau_activate_d,42,23.5,8.1,13.25,32.5,42.0
BTC_CONCENTRATION,tau_broaden_d,34,33.0,16.0,21.25,47.75,64.1
BTC_CONCENTRATION,tau_peak_d,52,21.0,1.0,7.5,26.25,28.9
BTC_CONCENTRATION,tau_hold_d,52,5.0,1.0,2.0,7.25,11.0
BTC_CONCENTRATION,tau_decay_d,44,22.0,7.2,15.0,27.0,28.7
BTC_CONCENTRATION,tau_reroute_d,52,1.0,1.0,1.0,1.0,1.0
BTC_CONCENTRATION,tau_total_d,52,1.0,1.0,1.0,2.0,3.9
LARGE_ALT_ROTATION,tau_release_d,4,2.0,1.0,1.0,4.5,7.2
LARGE_ALT_ROTATION,tau_activate_d,4,1.0,1.0,1.0,1.5,2.4
LARGE_ALT_ROTATION,tau_broaden_d,2,16.5,13.7,14.75,18.25,19.3
LARGE_ALT_ROTATION,tau_peak_d,4,5.5,1.0,1.0,11.75,14.9
LARGE_ALT_ROTATION,tau_hold_d,4,8.5,5.9,7.25,9.25,9.7
LARGE_ALT_ROTATION,tau_decay_d,4,9.5,7.6,8.5,11.75,14.9
LARGE_ALT_ROTATION,tau_reroute_d,4,1.0,1.0,1.0,1.0,1.0
LARGE_ALT_ROTATION,tau_total_d,4,25.5,1.6,2.5,48.25,48.7
MID_CAP_ROTATION,tau_release_d,4,4.0,1.0,1.0,7.25,7.7
MID_CAP_ROTATION,tau_activate_d,4,1.5,1.0,1.0,2.75,4.1
MID_CAP_ROTATION,tau_broaden_d,3,22.0,20.4,21.0,24.5,26.0
MID_CAP_ROTATION,tau_peak_d,4,0.0,0.0,0.0,1.0,2.8
MID_CAP_ROTATION,tau_hold_d,4,6.5,2.5,4.75,7.25,7.7
MID_CAP_ROTATION,tau_decay_d,3,0.0,0.0,0.0,0.0,0.0
MID_CAP_ROTATION,tau_reroute_d,4,1.0,1.0,1.0,1.0,1.0
MID_CAP_ROTATION,tau_total_d,4,4.0,1.0,1.0,7.5,8.4
MIXED_NO_CLEAR_ROUTE,tau_release_d,44,4.0,1.0,2.0,7.25,15.4
MIXED_NO_CLEAR_ROUTE,tau_activate_d,25,20.0,1.4,6.0,35.0,47.8
MIXED_NO_CLEAR_ROUTE,tau_broaden_d,13,42.0,25.4,33.0,58.0,74.6
MIXED_NO_CLEAR_ROUTE,tau_peak_d,44,12.5,0.0,1.0,24.5,28.7
MIXED_NO_CLEAR_ROUTE,tau_hold_d,44,5.5,1.0,2.0,10.0,17.4
MIXED_NO_CLEAR_ROUTE,tau_decay_d,32,11.5,1.0,3.5,26.0,30.0
MIXED_NO_CLEAR_ROUTE,tau_reroute_d,44,1.0,1.0,1.0,1.0,1.0
MIXED_NO_CLEAR_ROUTE,tau_total_d,44,8.0,1.0,3.0,19.0,41.1
