chain,start,end,duration_d,brd_chg,disp_chg,rb_spread,has_opposing,classification,in_conc,state7,state30,subperiod
Tron,2020-06-08 23:59:59,2020-06-14 23:59:59,7,0.0,,0.00904,False,TRUE_STALL,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-07-06 23:59:59,2020-07-12 23:59:59,7,0.09,-0.01771,0.00898,False,GLOBAL_BREADTH_DISPERSION,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-07-13 23:59:59,2020-07-16 23:59:59,4,-0.008,0.05588,0.01061,False,RANK_BAND_REPRICING,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-07-31 23:59:59,2020-08-02 23:59:59,3,-0.012,-0.01649,0.02333,True,OFFSETTING_LOCAL_ROTATION,False,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,2020-2021
Tron,2020-08-09 23:59:59,2020-08-12 23:59:59,4,0.014,0.73497,0.01679,True,OFFSETTING_LOCAL_ROTATION,False,ETH_BROADENING,STABLECOIN_PARKING,2020-2021
Tron,2020-08-21 23:59:59,2020-08-27 23:59:59,7,-0.05,0.05524,0.00845,False,GLOBAL_BREADTH_DISPERSION,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-08-31 23:59:59,2020-09-03 23:59:59,4,-0.252,-0.24516,0.01659,False,RANK_BAND_REPRICING,False,ETH_BROADENING,BTC_CONCENTRATION,2020-2021
Tron,2020-09-08 23:59:59,2020-09-12 23:59:59,5,0.0,0.08905,0.00694,False,GLOBAL_BREADTH_DISPERSION,False,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-09-18 23:59:59,2020-09-21 23:59:59,4,-0.058,-0.04286,0.0107,False,RANK_BAND_REPRICING,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2020-2021
Tron,2020-09-23 23:59:59,2020-09-28 23:59:59,6,-0.002,0.04588,0.00699,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2020-2021
Tron,2020-10-16 23:59:59,2020-10-19 23:59:59,4,-0.018,-0.13966,0.00902,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-10-21 23:59:59,2020-10-23 23:59:59,3,0.174,0.05313,0.02283,False,RANK_BAND_REPRICING,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2020-10-24 23:59:59,2020-11-16 23:59:59,5,0.052,0.30677,0.01257,False,RANK_BAND_REPRICING,True,BTC_CONCENTRATION,BTC_CONCENTRATION,2020-2021
Tron,2020-12-16 23:59:59,2020-12-23 23:59:59,8,-0.348,-0.45615,0.02286,False,RANK_BAND_REPRICING,True,BTC_CONCENTRATION,ETH_BROADENING,2020-2021
Tron,2021-01-05 23:59:59,2021-01-12 23:59:59,7,0.022,-1.56899,0.00534,False,GLOBAL_BREADTH_DISPERSION,True,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-01-20 23:59:59,2021-01-23 23:59:59,4,-0.026,0.02617,0.01054,False,RANK_BAND_REPRICING,False,BROAD_RISK_EXPANSION,LARGE_ALT_ROTATION,2020-2021
Tron,2021-01-30 23:59:59,2021-02-04 23:59:59,6,-0.008,-0.21564,0.00939,False,GLOBAL_BREADTH_DISPERSION,False,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-02-05 23:59:59,2021-02-07 23:59:59,3,-0.682,,0.01742,False,RANK_BAND_REPRICING,False,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-02-15 23:59:59,2021-02-19 23:59:59,5,0.768,,0.01625,False,RANK_BAND_REPRICING,False,LARGE_ALT_ROTATION,MID_CAP_ROTATION,2020-2021
Tron,2021-02-23 23:59:59,2021-03-01 23:59:59,7,0.03,-0.23287,0.00993,False,GLOBAL_BREADTH_DISPERSION,False,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-03-02 23:59:59,2021-03-05 23:59:59,4,-0.044,-0.13009,0.00874,False,GLOBAL_BREADTH_DISPERSION,False,MID_CAP_ROTATION,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-03-06 23:59:59,2021-03-14 23:59:59,9,-0.128,0.46535,0.01266,False,RANK_BAND_REPRICING,False,MID_CAP_ROTATION,BROAD_RISK_EXPANSION,2020-2021
