episode_end,state,signal_found,latency_d,episode_dur_d
2020-07-23 23:59:59,ETH_BROADENING,True,14,3
2020-07-26 23:59:59,BROAD_RISK_EXPANSION,True,14,3
2020-08-04 23:59:59,ETH_BROADENING,True,14,4
2020-08-25 23:59:59,ETH_BROADENING,True,14,10
2020-08-30 23:59:59,BROAD_RISK_EXPANSION,True,3,3
2021-01-28 23:59:59,ETH_BROADENING,True,14,7
2021-02-06 23:59:59,BROAD_RISK_EXPANSION,True,14,9
2021-02-14 23:59:59,BROAD_RISK_EXPANSION,True,14,7
2021-02-21 23:59:59,BROAD_RISK_EXPANSION,True,14,6
2021-02-26 23:59:59,LARGE_ALT_ROTATION,True,13,5
2021-03-01 23:59:59,BROAD_RISK_EXPANSION,True,14,3
2021-03-11 23:59:59,BROAD_RISK_EXPANSION,True,6,8
2021-03-30 23:59:59,MID_CAP_ROTATION,True,14,19
2021-04-17 23:59:59,BROAD_RISK_EXPANSION,True,10,18
2021-04-24 23:59:59,ETH_BROADENING,True,2,7
2021-05-08 23:59:59,ETH_BROADENING,True,13,13
2021-09-09 23:59:59,BROAD_RISK_EXPANSION,True,14,26
2021-09-17 23:59:59,ETH_BROADENING,True,7,3
2021-11-29 23:59:59,ETH_BROADENING,True,11,11
2022-04-10 23:59:59,BROAD_RISK_EXPANSION,True,14,12
2022-08-03 23:59:59,ETH_BROADENING,True,14,6
2022-08-15 23:59:59,BROAD_RISK_EXPANSION,True,13,12
2022-08-23 23:59:59,ETH_BROADENING,True,4,8
2023-01-17 23:59:59,ETH_BROADENING,True,14,3
2023-01-30 23:59:59,LARGE_ALT_ROTATION,True,14,9
2023-02-08 23:59:59,BROAD_RISK_EXPANSION,True,1,5
2023-02-16 23:59:59,MID_CAP_ROTATION,True,3,4
2023-02-24 23:59:59,BROAD_RISK_EXPANSION,True,11,8
2023-02-28 23:59:59,MID_CAP_ROTATION,True,3,4
2023-07-19 23:59:59,LARGE_ALT_ROTATION,True,14,5
2023-11-15 23:59:59,LARGE_ALT_ROTATION,True,14,4
2023-11-20 23:59:59,BROAD_RISK_EXPANSION,True,13,3
2023-12-03 23:59:59,BROAD_RISK_EXPANSION,True,6,11
2023-12-31 23:59:59,BROAD_RISK_EXPANSION,True,14,5
2024-01-18 23:59:59,ETH_BROADENING,True,11,3
2024-03-16 23:59:59,MID_CAP_ROTATION,True,6,8
2024-09-10 23:59:59,LARGE_ALT_ROTATION,True,14,3
2024-10-01 23:59:59,BROAD_RISK_EXPANSION,True,14,6
2024-10-05 23:59:59,LARGE_ALT_ROTATION,True,14,3
2024-11-26 23:59:59,LARGE_ALT_ROTATION,True,14,3
2024-12-17 23:59:59,BROAD_RISK_EXPANSION,True,12,21
2025-05-14 23:59:59,BROAD_RISK_EXPANSION,True,14,6
2025-07-17 23:59:59,ETH_BROADENING,True,14,3
2025-07-28 23:59:59,BROAD_RISK_EXPANSION,True,14,11
2025-08-10 23:59:59,BROAD_RISK_EXPANSION,True,9,4
2025-08-13 23:59:59,ETH_BROADENING,True,12,3
2025-09-02 23:59:59,ETH_BROADENING,True,14,6
2026-05-14 23:59:59,MID_CAP_ROTATION,True,14,7
2026-06-04 23:59:59,LARGE_ALT_ROTATION,True,7,10
2026-06-29 23:59:59,LARGE_ALT_ROTATION,True,9,17
