gate,feature,coef,abs_coef_rank
G1,btc_ret30,-0.2936,5
G1,btc_ret7,0.2053,7
G1,top3_share,-0.342,3
G1,top3_share_chg7,-0.0347,9
G1,breadth30,0.5182,2
G1,disp30,0.2434,6
G1,sc_chg30,0.0311,10
G1,eth_rel30,0.2035,8
G1,vol_med,0.5821,1
G1,chain_tvl_med_chg7,-0.3386,4
G3,btc_ret30,-0.0821,10
G3,btc_ret7,0.3671,2
G3,top3_share,-0.2579,3
G3,top3_share_chg7,0.0979,9
G3,breadth30,1.74,1
G3,disp30,0.1178,7
G3,sc_chg30,0.21,4
G3,eth_rel30,-0.1154,8
G3,vol_med,0.2064,5
G3,chain_tvl_med_chg7,-0.1607,6
