chain,end,max_rb_move,disp_chg,brd_chg,moves_cancel
Tron,2024-08-16 23:59:59,,-0.00641,-0.11,False
Tron,2024-09-18 23:59:59,,-0.00757,-0.05,False
Tron,2024-09-26 23:59:59,,0.01169,0.224,False
Tron,2024-11-14 23:59:59,,0.09175,-0.224,False
Tron,2024-11-27 23:59:59,,0.04477,0.164,False
Tron,2024-12-01 23:59:59,,0.12698,-0.054,False
Tron,2024-12-08 23:59:59,,0.14185,-0.006,False
Tron,2024-12-11 23:59:59,,-0.2284,-0.026,False
Tron,2024-12-30 23:59:59,,-0.02244,-0.116,False
Tron,2025-01-08 23:59:59,,-0.09435,0.012,False
Tron,2025-02-15 23:59:59,,0.09845,-0.016,False
Tron,2025-02-18 23:59:59,,0.10152,0.066,False
Tron,2025-03-21 23:59:59,,0.05277,0.02,False
Tron,2025-03-27 23:59:59,,0.04762,0.088,False
Tron,2025-05-01 23:59:59,,0.04759,0.382,False
Tron,2025-05-16 23:59:59,,-0.00129,-0.044,False
Tron,2025-06-14 23:59:59,,-0.01048,0.006,False
Tron,2025-07-05 23:59:59,,0.00739,0.064,False
Tron,2025-07-25 23:59:59,,0.14381,0.25,False
Tron,2025-08-14 23:59:59,,-0.02998,-0.3,False
Tron,2025-09-19 23:59:59,,0.0479,0.018,False
Tron,2025-10-09 23:59:59,,-0.07718,-0.182,False
Tron,2025-12-14 23:59:59,,0.08375,0.062,False
Tron,2025-12-29 23:59:59,,-0.16007,-0.01,False
Tron,2026-01-08 23:59:59,,-0.02556,0.096,False
Tron,2026-04-22 23:59:59,,-1.46395,0.236,False
Tron,2026-05-13 23:59:59,,-0.24852,-0.13,False
Tron,2026-06-18 23:59:59,,-0.1494,-0.004,False
Tron,2026-08-23 23:59:59,,0.01265,0.022,False
Ethereum,2020-06-11 23:59:59,,,0.0,False
Ethereum,2020-06-15 23:59:59,,,0.0,False
Ethereum,2020-06-21 23:59:59,,,0.0,False
Ethereum,2020-08-03 23:59:59,,,0.682,False
Ethereum,2020-08-26 23:59:59,,0.32597,-0.042,False
Ethereum,2020-09-07 23:59:59,,-0.32687,-0.33,False
Ethereum,2020-09-17 23:59:59,,-0.07875,-0.018,False
Ethereum,2020-09-22 23:59:59,,-0.04835,-0.05,False
Ethereum,2020-10-04 23:59:59,,0.01715,0.066,False
Ethereum,2020-10-17 23:59:59,,0.06772,0.012,False
Ethereum,2020-11-28 23:59:59,,,-0.558,False
Ethereum,2020-12-10 23:59:59,,,0.0,False
Ethereum,2021-01-07 23:59:59,,,0.666,False
Ethereum,2021-01-12 23:59:59,,-0.09282,-0.178,False
Ethereum,2021-01-21 23:59:59,,-0.07727,-0.066,False
Ethereum,2021-02-04 23:59:59,,0.20507,0.026,False
Ethereum,2021-02-24 23:59:59,,0.78689,0.078,False
Ethereum,2021-03-08 23:59:59,,-0.14202,0.0,False
Ethereum,2021-03-25 23:59:59,,0.02733,-0.128,False
Ethereum,2021-04-23 23:59:59,,-0.79911,-0.216,False
Ethereum,2021-05-15 23:59:59,,-0.08969,-0.22,False
Ethereum,2021-06-08 23:59:59,,-0.05686,-0.014,False
Ethereum,2021-06-11 23:59:59,,0.0019,0.004,False
Ethereum,2021-07-08 23:59:59,,0.15069,0.076,False
Ethereum,2021-07-13 23:59:59,,0.0326,0.042,False
Ethereum,2021-08-03 23:59:59,,-0.31249,0.142,False
Ethereum,2021-08-19 23:59:59,,0.49771,0.218,False
Ethereum,2021-08-31 23:59:59,,-0.24168,-0.04,False
Ethereum,2021-09-09 23:59:59,,0.0424,-0.152,False
Ethereum,2021-09-21 23:59:59,,-0.16725,-0.412,False
Ethereum,2021-10-05 23:59:59,,-0.01282,0.008,False
Ethereum,2021-10-14 23:59:59,,-0.01797,0.182,False
Ethereum,2021-10-29 23:59:59,,0.35813,0.456,False
Ethereum,2021-11-01 23:59:59,,-0.00824,-0.106,False
Ethereum,2021-11-17 23:59:59,,0.35866,-0.13,False
Ethereum,2021-11-28 23:59:59,,-0.17643,-0.028,False
Ethereum,2021-12-04 23:59:59,,-0.34847,-0.206,False
Ethereum,2021-12-27 23:59:59,,-0.00426,0.024,False
Ethereum,2021-12-30 23:59:59,,0.02118,0.0,False
Ethereum,2022-02-14 23:59:59,,,0.0,False
Ethereum,2022-03-06 23:59:59,,-0.07507,-0.262,False
Ethereum,2022-03-28 23:59:59,,0.10017,0.644,False
Ethereum,2022-04-02 23:59:59,,0.0144,0.018,False
Ethereum,2022-04-07 23:59:59,,0.03692,-0.016,False
Ethereum,2022-04-22 23:59:59,,-0.02466,-0.208,False
Ethereum,2022-06-30 23:59:59,,0.00659,-0.07,False
Ethereum,2022-07-13 23:59:59,,0.06473,0.398,False
Ethereum,2022-07-27 23:59:59,,-0.06572,-0.108,False
Ethereum,2022-08-01 23:59:59,,0.0182,0.04,False
Ethereum,2022-08-05 23:59:59,,0.00247,0.008,False
Ethereum,2022-08-17 23:59:59,,0.03742,-0.184,False
Ethereum,2022-09-14 23:59:59,,-0.28612,0.004,False
Ethereum,2022-09-26 23:59:59,,0.13513,0.074,False
Ethereum,2022-09-29 23:59:59,,-0.01812,-0.042,False
Ethereum,2022-10-04 23:59:59,,0.2175,0.066,False
Ethereum,2022-10-08 23:59:59,,-0.00375,-0.148,False
Ethereum,2022-12-09 23:59:59,,0.05616,0.578,False
Ethereum,2022-12-17 23:59:59,,0.04415,-0.246,False
Ethereum,2023-02-01 23:59:59,,0.387,0.73,False
Ethereum,2023-02-07 23:59:59,,0.13768,-0.03,False
Ethereum,2023-02-10 23:59:59,,-0.10729,-0.008,False
Ethereum,2023-02-22 23:59:59,,0.10161,-0.122,False
Ethereum,2023-03-05 23:59:59,,-0.00966,-0.118,False
Ethereum,2023-03-26 23:59:59,,-0.04503,-0.096,False
Ethereum,2023-04-12 23:59:59,,-0.05056,-0.228,False
Ethereum,2023-05-10 23:59:59,,-0.01815,-0.086,False
Ethereum,2023-05-26 23:59:59,,0.00703,-0.024,False
Ethereum,2023-06-02 23:59:59,,-0.05487,0.012,False
Ethereum,2023-06-30 23:59:59,,,-0.198,False
Ethereum,2023-07-06 23:59:59,,2.42386,-0.004,False
Ethereum,2023-07-20 23:59:59,,-0.80945,-0.09,False
Ethereum,2023-08-14 23:59:59,,-0.0061,-0.086,False
Ethereum,2023-08-18 23:59:59,,0.46011,-0.072,False
Ethereum,2023-09-02 23:59:59,,0.01171,-0.03,False
Ethereum,2023-10-07 23:59:59,,0.14707,-0.136,False
Ethereum,2023-11-17 23:59:59,,1.05009,0.098,False
Ethereum,2023-11-29 23:59:59,,0.03709,-0.07,False
Ethereum,2023-12-13 23:59:59,,-0.12051,-0.054,False
Ethereum,2023-12-23 23:59:59,,,-0.676,False
