chain,start,end,duration_d,imp_share_chg_pre5,imp_share_chg_post3,imp_share_ctrl_med,release_trigger,state_at_end,in_conc_at_end,state_end_plus7,state_end_plus30,fwd7_propagation,subperiod
Tron,2021-07-04 23:59:59,2021-07-08 23:59:59,5,0.0,0.25,0.16667,tvl_chg7,MIXED_NO_CLEAR_ROUTE,False,STABLECOIN_PARKING,BTC_CONCENTRATION,False,2020-2021
Tron,2021-07-25 23:59:59,2021-07-29 23:59:59,5,0.5,0.25,0.16667,tvl_chg7,BTC_CONCENTRATION,True,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,False,2020-2021
Tron,2021-08-07 23:59:59,2021-08-11 23:59:59,5,0.0,0.25,0.0,imp_share,MIXED_NO_CLEAR_ROUTE,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,True,2020-2021
Tron,2021-08-19 23:59:59,2021-08-23 23:59:59,5,-0.5,0.25,0.14286,imp_share,BROAD_RISK_EXPANSION,False,BROAD_RISK_EXPANSION,STABLECOIN_PARKING,True,2020-2021
Tron,2021-08-26 23:59:59,2021-08-28 23:59:59,3,0.0,0.0,0.2,imp_share,BROAD_RISK_EXPANSION,False,BROAD_RISK_EXPANSION,STABLECOIN_PARKING,True,2020-2021
Tron,2021-09-02 23:59:59,2021-09-05 23:59:59,4,0.5,0.25,0.0,imp_share,BROAD_RISK_EXPANSION,False,ETH_BROADENING,BTC_CONCENTRATION,True,2020-2021
Tron,2021-09-19 23:59:59,2021-09-21 23:59:59,3,-0.25,0.0,0.0,vel7,STABLECOIN_PARKING,False,STABLECOIN_PARKING,BTC_CONCENTRATION,False,2020-2021
Tron,2021-10-03 23:59:59,2021-10-05 23:59:59,3,-0.25,0.5,0.25,tvl_chg7,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2020-2021
Tron,2021-10-06 23:59:59,2021-10-08 23:59:59,3,0.5,0.0,0.16667,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2020-2021
Tron,2021-10-15 23:59:59,2021-10-18 23:59:59,4,-0.2,0.4,0.4,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,ETH_BROADENING,False,2020-2021
