age_bin,n_at_risk,n_exited_in_bin,hazard
1-1,126,44,0.3492
2-2,82,27,0.3293
3-3,55,6,0.1091
4-4,49,8,0.1633
5-7,41,20,0.4878
8-14,20,13,0.65
15-30,7,6,0.8571
31-1000000,1,1,1.0
