group,n,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,ETH_BROADENING,LARGE_ALT_ROTATION,MID_CAP_ROTATION,SMALL_CAP_ROTATION
SHORT,44,0,37,1,0,2,2,0
LONG,82,0,62,2,1,4,10,0
