event_id,exit_date,first_destination,range_compression_ratio,activity_over_displacement,mean_reversion_ac1,adverse_perturb_min_1d,rapid_reclaim_max_1d,choppy_participation,absorption_like_score,stable_outcome,subperiod
EXIT_000,2020-10-04 23:59:59,MIXED_NO_CLEAR_ROUTE,1.2639,1.1518,-0.1637,-0.05184,0.05657,0.4111,0.6096,False,2020-2021
EXIT_001,2020-10-12 23:59:59,BTC_CONCENTRATION,1.1115,0.1903,0.2779,-0.02463,0.02226,0.4841,0.1265,False,2020-2021
EXIT_002,2020-10-15 23:59:59,BTC_CONCENTRATION,1.0477,0.2093,0.2682,-0.02463,0.02226,0.4567,0.1336,False,2020-2021
EXIT_003,2020-11-17 23:59:59,BTC_CONCENTRATION,0.9392,0.107,-0.0898,-0.01982,0.06363,0.4146,0.479,False,2020-2021
EXIT_004,2020-11-27 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8644,0.2106,0.1322,-0.08737,0.05183,0.4111,0.4873,False,2020-2021
EXIT_005,2020-12-18 23:59:59,BTC_CONCENTRATION,1.2546,0.1964,0.1871,-0.05174,0.08876,0.4766,0.4439,False,2020-2021
EXIT_006,2021-01-20 23:59:59,ETH_BROADENING,1.2049,0.2367,0.3548,-0.08232,0.09605,0.4419,0.6161,True,2020-2021
EXIT_007,2021-06-30 23:59:59,MIXED_NO_CLEAR_ROUTE,1.0977,0.4071,-0.0256,-0.13991,0.06668,0.4509,0.628,False,2020-2021
EXIT_008,2021-07-08 23:59:59,STABLECOIN_PARKING,0.9614,0.3412,-0.1601,-0.07865,0.06668,0.5666,0.6432,False,2020-2021
EXIT_009,2021-08-11 23:59:59,BROAD_RISK_EXPANSION,0.6337,0.1211,-0.247,-0.02947,0.05577,0.5954,0.6796,True,2020-2021
EXIT_010,2021-10-28 23:59:59,BTC_CONCENTRATION,0.7588,0.489,-0.0945,-0.04113,0.04004,0.4666,0.6657,False,2020-2021
EXIT_011,2021-11-04 23:59:59,MIXED_NO_CLEAR_ROUTE,0.6861,0.3808,-0.1029,-0.04113,0.05215,0.5206,0.6738,False,2020-2021
EXIT_012,2022-03-06 23:59:59,MIXED_NO_CLEAR_ROUTE,1.2128,3.1789,-0.0448,-0.06621,0.11565,0.418,0.6152,False,2022
EXIT_013,2022-03-21 23:59:59,BROAD_RISK_EXPANSION,0.8651,0.2673,-0.2764,-0.04381,0.06702,0.5076,0.8205,True,2022
EXIT_014,2022-03-23 23:59:59,BROAD_RISK_EXPANSION,0.8561,0.2087,-0.3828,-0.04381,0.06702,0.5444,0.8215,True,2022
EXIT_015,2022-03-26 23:59:59,BROAD_RISK_EXPANSION,0.8333,0.1179,-0.3213,-0.02294,0.04368,0.5863,0.6574,True,2022
EXIT_016,2022-03-29 23:59:59,BROAD_RISK_EXPANSION,0.8166,0.0895,-0.2788,-0.02207,0.04558,0.6329,0.6593,True,2022
EXIT_017,2022-06-11 23:59:59,CAPITAL_EXIT,1.5286,1.4968,-0.0477,-0.05647,0.07489,0.4796,0.5833,False,2022
EXIT_018,2022-10-09 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8139,0.7891,0.0743,-0.01493,0.02707,0.4207,0.1596,False,2022
EXIT_019,2022-10-22 23:59:59,BTC_CONCENTRATION,0.6505,0.2925,0.0459,-0.01977,0.01446,0.4063,0.1777,False,2022
EXIT_020,2022-10-29 23:59:59,MIXED_NO_CLEAR_ROUTE,0.5776,0.1782,-0.1226,-0.01996,0.04312,0.533,0.5192,False,2022
EXIT_021,2022-12-16 23:59:59,BTC_CONCENTRATION,1.1067,2.3356,-0.5175,-0.02276,0.0227,0.4311,0.2937,False,2022
EXIT_022,2022-12-19 23:59:59,BTC_CONCENTRATION,0.9602,0.2465,-0.0733,-0.05268,0.0227,0.3867,0.4766,False,2022
EXIT_023,2022-12-30 23:59:59,MIXED_NO_CLEAR_ROUTE,0.7968,0.2219,-0.5144,-0.05268,0.02853,0.3913,0.4948,False,2022
EXIT_024,2023-01-07 23:59:59,BTC_CONCENTRATION,0.7587,0.2951,-0.0873,-0.01464,0.01941,0.474,0.3324,False,2023
EXIT_025,2023-01-15 23:59:59,LARGE_ALT_ROTATION,0.7739,0.0743,0.6355,-0.00394,0.04944,0.7027,0.4973,True,2023
EXIT_026,2023-01-22 23:59:59,LARGE_ALT_ROTATION,0.7655,0.0928,0.0825,-0.02754,0.06277,0.6744,0.4983,True,2023
EXIT_027,2023-04-18 23:59:59,BTC_CONCENTRATION,1.0084,0.1568,0.1182,-0.02252,0.03201,0.5283,0.3046,False,2023
EXIT_028,2023-04-21 23:59:59,BTC_CONCENTRATION,0.9558,1.08,-0.0672,-0.05595,0.03201,0.477,0.6438,False,2023
EXIT_029,2023-05-01 23:59:59,BTC_CONCENTRATION,0.8688,0.2759,-0.2611,-0.05595,0.02495,0.3981,0.4868,False,2023
EXIT_030,2023-05-08 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8221,1.1709,-0.323,-0.02891,0.02742,0.4177,0.3253,False,2023
EXIT_031,2023-06-30 23:59:59,BTC_CONCENTRATION,1.1267,0.112,0.0129,-0.02017,0.04817,0.5484,0.2915,False,2023
EXIT_032,2023-07-05 23:59:59,BTC_CONCENTRATION,1.1747,0.0803,0.0708,-0.02017,0.44221,0.5424,0.2861,False,2023
EXIT_033,2023-07-12 23:59:59,LARGE_ALT_ROTATION,1.1105,0.0889,-0.0962,-0.02017,0.44221,0.4743,0.6266,True,2023
EXIT_034,2023-07-15 23:59:59,MIXED_NO_CLEAR_ROUTE,1.0597,0.0919,-0.1186,-0.02751,0.44221,0.466,0.4656,False,2023
EXIT_035,2023-09-28 23:59:59,BTC_CONCENTRATION,0.8789,0.0998,-0.1608,-0.02718,0.33344,0.3907,0.4857,False,2023
EXIT_036,2023-10-13 23:59:59,BTC_CONCENTRATION,0.8447,0.5576,-0.272,-0.02082,0.03155,0.4179,0.4895,False,2023
EXIT_037,2023-10-16 23:59:59,BTC_CONCENTRATION,0.8445,1.3387,-0.4398,-0.02082,0.03155,0.4237,0.4895,False,2023
EXIT_038,2023-10-25 23:59:59,BTC_CONCENTRATION,0.8754,0.0909,0.0879,-0.01917,0.07405,0.5344,0.3194,False,2023
EXIT_039,2023-11-08 23:59:59,BROAD_RISK_EXPANSION,1.0038,0.1145,-0.1116,-0.01143,0.02012,0.5789,0.4718,True,2023
EXIT_040,2023-11-11 23:59:59,BROAD_RISK_EXPANSION,1.0139,0.0962,-0.0581,-0.01143,0.0406,0.5894,0.6373,True,2023
EXIT_041,2023-11-22 23:59:59,BROAD_RISK_EXPANSION,1.181,1.8077,0.0275,-0.04503,0.0406,0.3829,0.6188,True,2023
EXIT_042,2023-12-09 23:59:59,BROAD_RISK_EXPANSION,1.4433,0.0917,0.2557,-0.01178,0.03506,0.4893,0.423,True,2023
EXIT_043,2023-12-14 23:59:59,BROAD_RISK_EXPANSION,1.4514,0.0775,-0.0883,-0.00653,0.03506,0.5266,0.5887,True,2023
EXIT_044,2023-12-17 23:59:59,BROAD_RISK_EXPANSION,1.4552,0.1015,-0.0543,-0.02932,0.03506,0.5207,0.5883,True,2023
EXIT_045,2023-12-21 23:59:59,BROAD_RISK_EXPANSION,1.4622,0.158,-0.4797,-0.02932,0.03296,0.4529,0.5875,True,2023
EXIT_046,2024-01-10 23:59:59,MIXED_NO_CLEAR_ROUTE,1.3639,0.3877,-0.2867,-0.01783,0.0387,0.3357,0.4318,False,2024
