state,band_a,band_b,corr,perm_p,n,edge,uncond_corr,uncond_edge,new_edge_vs_uncond,sign_flip,direction,fdr_q
BTC_DOWN,11-25,101-200,0.106,0.0697,931,False,0.0302,False,False,False,a_leads_b,0.1388
BTC_DOWN,11-25,201-300,-0.0491,0.2239,931,False,-0.0547,False,False,False,a_leads_b,0.3165
BTC_DOWN,11-25,301-500,-0.0158,0.607,931,False,-0.039,False,False,False,a_leads_b,0.6651
BTC_DOWN,26-50,1-10,0.0935,0.0398,931,True,0.0679,True,False,False,a_leads_b,0.0919
BTC_DOWN,26-50,11-25,0.1977,0.0199,931,True,0.0962,True,False,False,a_leads_b,0.0563
BTC_DOWN,26-50,51-100,0.3472,0.005,931,True,0.1352,True,False,False,a_leads_b,0.0248
BTC_DOWN,26-50,101-200,0.2748,0.005,931,True,0.0637,True,False,False,a_leads_b,0.0248
BTC_DOWN,26-50,201-300,-0.0731,0.1045,931,False,-0.0394,False,False,False,a_leads_b,0.1918
BTC_DOWN,26-50,301-500,-0.01,0.7214,931,False,0.0176,False,False,False,a_leads_b,0.7733
BTC_DOWN,51-100,1-10,0.0945,0.0249,931,True,0.077,True,False,False,a_leads_b,0.0641
BTC_DOWN,51-100,11-25,0.2225,0.005,931,True,0.0942,True,False,False,a_leads_b,0.0248
BTC_DOWN,51-100,26-50,0.345,0.005,931,True,0.1691,True,False,False,a_leads_b,0.0248
BTC_DOWN,51-100,101-200,0.6267,0.005,931,True,0.1333,True,False,False,a_leads_b,0.0248
BTC_DOWN,51-100,201-300,-0.1801,0.0249,931,True,-0.0447,False,True,False,a_leads_b,0.0641
BTC_DOWN,51-100,301-500,-0.0539,0.2239,931,False,0.0224,False,False,False,a_leads_b,0.3165
BTC_DOWN,101-200,1-10,0.11,0.005,931,True,0.0218,True,False,False,a_leads_b,0.0248
BTC_DOWN,101-200,11-25,0.1297,0.0149,931,True,0.0045,False,True,False,a_leads_b,0.0447
BTC_DOWN,101-200,26-50,0.2806,0.01,931,True,0.0683,True,False,False,a_leads_b,0.0346
BTC_DOWN,101-200,51-100,0.6395,0.005,931,True,0.1069,True,False,False,a_leads_b,0.0248
BTC_DOWN,101-200,201-300,-0.306,0.005,931,True,-0.0556,False,True,False,a_leads_b,0.0248
BTC_DOWN,101-200,301-500,-0.1578,0.01,931,True,-0.0117,False,True,False,a_leads_b,0.0346
BTC_DOWN,201-300,1-10,0.023,0.1841,931,False,0.014,False,False,False,a_leads_b,0.2753
BTC_DOWN,201-300,11-25,-0.0355,0.3582,931,False,-0.0406,False,False,False,a_leads_b,0.4319
BTC_DOWN,201-300,26-50,-0.0742,0.0945,931,False,-0.0447,False,False,False,a_leads_b,0.1754
BTC_DOWN,201-300,51-100,-0.1986,0.005,931,True,-0.0624,False,True,False,a_leads_b,0.0248
BTC_DOWN,201-300,101-200,-0.2842,0.005,931,True,-0.0536,False,True,False,a_leads_b,0.0248
BTC_DOWN,201-300,301-500,0.3373,0.005,931,True,0.2668,True,False,False,a_leads_b,0.0248
BTC_DOWN,301-500,1-10,0.0176,0.2388,931,False,0.016,False,False,False,a_leads_b,0.3264
BTC_DOWN,301-500,11-25,0.0036,0.9502,931,False,-0.0059,False,False,False,a_leads_b,0.958
BTC_DOWN,301-500,26-50,-0.0023,0.9652,931,False,0.0227,False,False,False,a_leads_b,0.9691
BTC_DOWN,301-500,51-100,-0.0718,0.1144,931,False,0.0148,False,False,False,a_leads_b,0.2017
BTC_DOWN,301-500,101-200,-0.1397,0.0249,931,True,0.0017,False,True,False,a_leads_b,0.0641
BTC_DOWN,301-500,201-300,0.3314,0.01,931,True,0.2666,True,False,False,a_leads_b,0.0346
VOL_HIGH,1-10,11-25,0.1254,0.0498,624,True,0.0402,False,True,False,a_leads_b,0.1065
VOL_HIGH,1-10,26-50,0.1045,0.0498,624,True,0.033,False,True,False,a_leads_b,0.1065
VOL_HIGH,1-10,51-100,0.1088,0.0149,624,True,0.0403,True,False,False,a_leads_b,0.0447
VOL_HIGH,1-10,101-200,0.0977,0.0249,624,True,0.0132,False,True,False,a_leads_b,0.0641
VOL_HIGH,1-10,201-300,0.0338,0.1891,624,False,0.0141,False,False,False,a_leads_b,0.2794
VOL_HIGH,1-10,301-500,0.0173,0.4677,624,False,0.014,False,False,False,a_leads_b,0.5339
VOL_HIGH,11-25,1-10,0.1262,0.0697,624,False,0.0385,False,False,False,a_leads_b,0.1388
VOL_HIGH,11-25,26-50,0.2045,0.01,624,True,0.1063,True,False,False,a_leads_b,0.0346
VOL_HIGH,11-25,51-100,0.1291,0.0746,624,False,0.0746,True,False,False,a_leads_b,0.1456
VOL_HIGH,11-25,101-200,0.1073,0.1244,624,False,0.0302,False,False,False,a_leads_b,0.214
VOL_HIGH,11-25,201-300,-0.0858,0.1343,624,False,-0.0547,False,False,False,a_leads_b,0.2217
VOL_HIGH,11-25,301-500,-0.076,0.1692,624,False,-0.039,False,False,False,a_leads_b,0.2577
VOL_HIGH,26-50,1-10,0.1276,0.0348,624,True,0.0679,True,False,False,a_leads_b,0.0827
VOL_HIGH,26-50,11-25,0.2029,0.01,624,True,0.0962,True,False,False,a_leads_b,0.0346
VOL_HIGH,26-50,51-100,0.4241,0.0149,624,True,0.1352,True,False,False,a_leads_b,0.0447
VOL_HIGH,26-50,101-200,0.3293,0.005,624,True,0.0637,True,False,False,a_leads_b,0.0248
VOL_HIGH,26-50,201-300,-0.0764,0.2438,624,False,-0.0394,False,False,False,a_leads_b,0.3286
VOL_HIGH,26-50,301-500,0.0222,0.7413,624,False,0.0176,False,False,False,a_leads_b,0.7929
VOL_HIGH,51-100,1-10,0.176,0.0249,624,True,0.077,True,False,False,a_leads_b,0.0641
VOL_HIGH,51-100,11-25,0.2002,0.005,624,True,0.0942,True,False,False,a_leads_b,0.0248
VOL_HIGH,51-100,26-50,0.483,0.005,624,True,0.1691,True,False,False,a_leads_b,0.0248
VOL_HIGH,51-100,101-200,0.6731,0.01,624,True,0.1333,True,False,False,a_leads_b,0.0346
VOL_HIGH,51-100,201-300,-0.2037,0.0149,624,True,-0.0447,False,True,False,a_leads_b,0.0447
VOL_HIGH,51-100,301-500,-0.0238,0.6468,624,False,0.0224,False,False,False,a_leads_b,0.704
VOL_HIGH,101-200,1-10,0.1245,0.0249,624,True,0.0218,True,False,False,a_leads_b,0.0641
VOL_HIGH,101-200,11-25,0.1351,0.0498,624,True,0.0045,False,True,False,a_leads_b,0.1065
VOL_HIGH,101-200,26-50,0.3777,0.005,624,True,0.0683,True,False,False,a_leads_b,0.0248
VOL_HIGH,101-200,51-100,0.6741,0.01,624,True,0.1069,True,False,False,a_leads_b,0.0346
VOL_HIGH,101-200,201-300,-0.312,0.01,624,True,-0.0556,False,True,False,a_leads_b,0.0346
VOL_HIGH,101-200,301-500,-0.1239,0.0746,624,False,-0.0117,False,False,False,a_leads_b,0.1456
VOL_HIGH,201-300,1-10,0.0444,0.194,624,False,0.014,False,False,False,a_leads_b,0.2849
VOL_HIGH,201-300,11-25,-0.0577,0.3085,624,False,-0.0406,False,False,False,a_leads_b,0.3862
VOL_HIGH,201-300,26-50,-0.1276,0.0299,624,True,-0.0447,False,True,False,a_leads_b,0.0751
VOL_HIGH,201-300,51-100,-0.1975,0.0149,624,True,-0.0624,False,True,False,a_leads_b,0.0447
VOL_HIGH,201-300,101-200,-0.2878,0.005,624,True,-0.0536,False,True,False,a_leads_b,0.0248
VOL_HIGH,201-300,301-500,0.4414,0.005,624,True,0.2668,True,False,False,a_leads_b,0.0248
VOL_HIGH,301-500,1-10,0.0272,0.2786,624,False,0.016,False,False,False,a_leads_b,0.3579
VOL_HIGH,301-500,11-25,-0.0442,0.4279,624,False,-0.0059,False,False,False,a_leads_b,0.4977
VOL_HIGH,301-500,26-50,-0.0179,0.801,624,False,0.0227,False,False,False,a_leads_b,0.8439
VOL_HIGH,301-500,51-100,-0.0187,0.7612,624,False,0.0148,False,False,False,a_leads_b,0.8106
VOL_HIGH,301-500,101-200,-0.102,0.0846,624,False,0.0017,False,False,False,a_leads_b,0.1626
VOL_HIGH,301-500,201-300,0.446,0.005,624,True,0.2666,True,False,False,a_leads_b,0.0248
VOL_LOW,11-25,26-50,0.2289,0.005,843,True,0.1063,True,False,False,a_leads_b,0.0248
VOL_LOW,11-25,51-100,0.1656,0.005,843,True,0.0746,True,False,False,a_leads_b,0.0248
VOL_LOW,11-25,101-200,0.156,0.0299,843,True,0.0302,False,True,False,a_leads_b,0.0751
VOL_LOW,11-25,201-300,-0.0301,0.3035,843,False,-0.0547,False,False,False,a_leads_b,0.3829
VOL_LOW,11-25,301-500,-0.0114,0.7164,843,False,-0.039,False,False,False,a_leads_b,0.7713
VOL_LOW,26-50,11-25,0.2296,0.005,843,True,0.0962,True,False,False,a_leads_b,0.0248
