event_id,exit_date,first_destination,tau_release_d,tau_release_censor,tau_activate_d,tau_activate_censor,tau_broaden_d,tau_broaden_censor,tau_peak_d,tau_peak_censor,tau_hold_d,tau_hold_censor,tau_decay_d,tau_decay_censor,tau_reroute_d,tau_reroute_censor,tau_total_d,tau_total_censor,subperiod
EXIT_000,2020-10-04 23:59:59,MIXED_NO_CLEAR_ROUTE,6,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,30,OBSERVED,5,OBSERVED,30.0,OBSERVED,1,OBSERVED,6.0,OBSERVED,2020-2021
EXIT_001,2020-10-12 23:59:59,BTC_CONCENTRATION,1,OBSERVED,,RIGHT_CENSORED,87.0,OBSERVED,24,OBSERVED,2,OBSERVED,25.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2020-2021
EXIT_002,2020-10-15 23:59:59,BTC_CONCENTRATION,2,OBSERVED,,RIGHT_CENSORED,84.0,OBSERVED,21,OBSERVED,12,OBSERVED,21.0,OBSERVED,1,OBSERVED,2.0,OBSERVED,2020-2021
EXIT_003,2020-11-17 23:59:59,BTC_CONCENTRATION,1,OBSERVED,,RIGHT_CENSORED,70.0,OBSERVED,28,OBSERVED,8,OBSERVED,28.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2020-2021
EXIT_004,2020-11-27 23:59:59,MIXED_NO_CLEAR_ROUTE,19,OBSERVED,54.0,OBSERVED,61.0,OBSERVED,22,OBSERVED,18,OBSERVED,,NOT_REACHED,1,OBSERVED,19.0,OBSERVED,2020-2021
EXIT_005,2020-12-18 23:59:59,BTC_CONCENTRATION,1,OBSERVED,33.0,OBSERVED,40.0,OBSERVED,21,OBSERVED,30,OBSERVED,21.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2020-2021
EXIT_006,2021-01-20 23:59:59,ETH_BROADENING,2,OBSERVED,2.0,OBSERVED,9.0,OBSERVED,22,OBSERVED,7,OBSERVED,22.0,OBSERVED,1,OBSERVED,,RIGHT_CENSORED,2020-2021
EXIT_007,2021-06-30 23:59:59,MIXED_NO_CLEAR_ROUTE,3,OBSERVED,22.0,OBSERVED,46.0,OBSERVED,26,OBSERVED,2,OBSERVED,26.0,OBSERVED,1,OBSERVED,7.0,OBSERVED,2020-2021
EXIT_008,2021-07-08 23:59:59,STABLECOIN_PARKING,5,OBSERVED,14.0,OBSERVED,38.0,OBSERVED,30,OBSERVED,8,OBSERVED,30.0,OBSERVED,1,OBSERVED,18.0,OBSERVED,2020-2021
EXIT_009,2021-08-11 23:59:59,BROAD_RISK_EXPANSION,2,OBSERVED,2.0,OBSERVED,4.0,OBSERVED,9,OBSERVED,26,OBSERVED,9.0,OBSERVED,1,OBSERVED,55.0,OBSERVED,2020-2021
