destination,tau,n,median,p25,p75
BROAD_RISK_EXPANSION,tau_release_d,18,0.5,0.0,1.75
BROAD_RISK_EXPANSION,tau_activate_d,18,2.0,1.0,3.0
BROAD_RISK_EXPANSION,tau_broaden_d,18,6.0,4.0,8.75
BROAD_RISK_EXPANSION,tau_peak_d,18,3.0,1.0,9.75
BROAD_RISK_EXPANSION,tau_hold_d,18,2.0,1.0,2.75
BROAD_RISK_EXPANSION,tau_decay_d,17,3.0,1.0,3.0
BROAD_RISK_EXPANSION,tau_total_d,18,6.0,4.0,9.75
BTC_CONCENTRATION,tau_release_d,52,0.0,0.0,1.0
BTC_CONCENTRATION,tau_activate_d,30,18.0,12.25,24.75
BTC_CONCENTRATION,tau_broaden_d,30,29.0,19.5,43.5
BTC_CONCENTRATION,tau_peak_d,52,10.0,4.0,14.0
BTC_CONCENTRATION,tau_hold_d,52,2.5,1.0,6.0
BTC_CONCENTRATION,tau_decay_d,46,2.0,1.0,3.0
BTC_CONCENTRATION,tau_total_d,52,3.0,1.0,5.25
CAPITAL_EXIT,tau_release_d,1,1.0,1.0,1.0
CAPITAL_EXIT,tau_broaden_d,1,35.0,35.0,35.0
CAPITAL_EXIT,tau_peak_d,1,0.0,0.0,0.0
CAPITAL_EXIT,tau_hold_d,1,1.0,1.0,1.0
CAPITAL_EXIT,tau_decay_d,1,1.0,1.0,1.0
CAPITAL_EXIT,tau_total_d,1,2.0,2.0,2.0
ETH_BROADENING,tau_release_d,1,1.0,1.0,1.0
ETH_BROADENING,tau_activate_d,1,2.0,2.0,2.0
ETH_BROADENING,tau_broaden_d,1,9.0,9.0,9.0
ETH_BROADENING,tau_peak_d,1,0.0,0.0,0.0
ETH_BROADENING,tau_hold_d,1,1.0,1.0,1.0
ETH_BROADENING,tau_decay_d,1,2.0,2.0,2.0
ETH_BROADENING,tau_total_d,1,2.0,2.0,2.0
LARGE_ALT_ROTATION,tau_release_d,4,1.0,0.0,3.5
LARGE_ALT_ROTATION,tau_activate_d,4,1.0,1.0,1.5
LARGE_ALT_ROTATION,tau_broaden_d,2,16.5,14.75,18.25
LARGE_ALT_ROTATION,tau_peak_d,4,2.5,1.5,3.75
LARGE_ALT_ROTATION,tau_hold_d,4,2.0,1.75,3.5
LARGE_ALT_ROTATION,tau_decay_d,4,1.5,0.75,2.25
LARGE_ALT_ROTATION,tau_total_d,4,3.5,2.5,4.75
MID_CAP_ROTATION,tau_release_d,4,3.0,0.0,6.25
MID_CAP_ROTATION,tau_activate_d,4,1.5,1.0,2.75
MID_CAP_ROTATION,tau_broaden_d,3,22.0,21.0,24.5
MID_CAP_ROTATION,tau_peak_d,4,1.5,0.75,2.25
MID_CAP_ROTATION,tau_hold_d,4,5.0,3.25,6.25
MID_CAP_ROTATION,tau_decay_d,4,1.5,0.75,2.0
MID_CAP_ROTATION,tau_total_d,4,1.5,1.0,3.25
MIXED_NO_CLEAR_ROUTE,tau_release_d,44,3.0,1.0,6.25
MIXED_NO_CLEAR_ROUTE,tau_activate_d,18,11.0,5.25,21.5
MIXED_NO_CLEAR_ROUTE,tau_broaden_d,10,38.5,31.5,45.0
MIXED_NO_CLEAR_ROUTE,tau_peak_d,42,8.5,2.25,13.0
MIXED_NO_CLEAR_ROUTE,tau_hold_d,44,3.5,1.0,7.25
MIXED_NO_CLEAR_ROUTE,tau_decay_d,33,1.0,0.0,3.0
MIXED_NO_CLEAR_ROUTE,tau_total_d,44,2.0,1.0,7.25
STABLECOIN_PARKING,tau_release_d,1,4.0,4.0,4.0
STABLECOIN_PARKING,tau_activate_d,1,14.0,14.0,14.0
STABLECOIN_PARKING,tau_broaden_d,1,38.0,38.0,38.0
STABLECOIN_PARKING,tau_peak_d,1,12.0,12.0,12.0
STABLECOIN_PARKING,tau_hold_d,1,4.0,4.0,4.0
STABLECOIN_PARKING,tau_decay_d,1,2.0,2.0,2.0
STABLECOIN_PARKING,tau_total_d,1,5.0,5.0,5.0
