state,state_days,n_edges,n_new_edges,n_sign_flips
BTC_UP,1127,20,6,0
BTC_DOWN,962,25,9,0
VOL_HIGH,656,24,9,0
VOL_LOW,864,16,4,0
CONC_RISING,1112,10,1,0
CONC_FALLING,1077,16,6,1
BREADTH_EXPANDING,715,19,5,0
BREADTH_CONTRACTING,1481,15,5,0
ETH_STRONG,947,28,14,0
ETH_WEAK,1142,22,10,0
RISK_ON,1197,10,1,0
RISK_OFF,969,25,10,0
