gate,n,n_positive,base_logloss,logloss,delta_logloss,brier,auc,perm_p,classification
G1_ESCAPE_VS_SNAPBACK,125,73,0.6816,0.828,-0.1464,0.276,0.5605,0.85,NOT_SUPPORTED
G2_MIXED_VS_PROPAGATION,73,27,0.7045,0.4818,0.2227,0.138,0.8611,0.0,SUPPORTED
G3_PROPAGATION_VS_NOT,125,27,0.5403,0.4386,0.1017,0.1294,0.7719,0.0,SUPPORTED
G4_BROAD_RISK_VS_ALT_DEPTH,27,18,0.6589,0.7243,-0.0654,0.2425,0.5667,0.165,EXPLORATORY_N9
