candidate,metric,primary,control
USD_CHF_JPY,break_even_cost_multiple,-0.2217,-0.1821
USD_CHF_JPY,cost_bps,4.8005,4.8005
USD_CHF_JPY,events,478,534
USD_CHF_JPY,events_per_week,6.108,6.824
USD_CHF_JPY,gross_edge_cost_ratio,-0.2217,-0.1821
USD_CHF_JPY,gross_ev_bps,-1.0644482249032485,-0.8742980013770961
USD_CHF_JPY,hard_exits,73,47
USD_CHF_JPY,hold_median_min,10.0,10.0
USD_CHF_JPY,hold_p90_min,105.0,83.49999999999994
USD_CHF_JPY,long_count,460,492
USD_CHF_JPY,longest_losing_streak,45,56
USD_CHF_JPY,mae_bps,,
USD_CHF_JPY,max_dd_bps,2796.463,3026.352
USD_CHF_JPY,median_net_bps,-5.0234816582634645,-4.611817911745555
USD_CHF_JPY,mfe_bps,,
USD_CHF_JPY,net_ev_bps,-5.864991178460801,-5.674840954934649
USD_CHF_JPY,p5_bps,-22.9258786273174,-22.672756713334653
USD_CHF_JPY,payoff_ratio,0.7608,0.7724
USD_CHF_JPY,pf_gross,0.7369,0.7657
USD_CHF_JPY,pf_net,0.2064,0.2027
USD_CHF_JPY,short_count,18,42
USD_CHF_JPY,win_rate,21.338912133891213,20.786516853932586
USD_CHF_JPY,worst_bps,-57.67970170850353,-57.67970170850353
USD_CHF_JPY,z6_exits,316,328
USD_CHF_JPY,status,FAIL_R2,
CAD_CHF_JPY,break_even_cost_multiple,-0.0506,-0.1244
CAD_CHF_JPY,cost_bps,5.4866,5.4866
CAD_CHF_JPY,events,783,877
CAD_CHF_JPY,events_per_week,6.518,7.3
CAD_CHF_JPY,gross_edge_cost_ratio,-0.0506,-0.1244
CAD_CHF_JPY,gross_ev_bps,-0.27758004933411745,-0.682682055443631
CAD_CHF_JPY,hard_exits,99,64
CAD_CHF_JPY,hold_median_min,10.0,10.0
CAD_CHF_JPY,hold_p90_min,95.0,65.0
CAD_CHF_JPY,long_count,750,815
CAD_CHF_JPY,longest_losing_streak,71,81
CAD_CHF_JPY,mae_bps,,
CAD_CHF_JPY,max_dd_bps,4462.787,5405.758
CAD_CHF_JPY,median_net_bps,-5.932918815978141,-5.641866299312639
CAD_CHF_JPY,mfe_bps,,
CAD_CHF_JPY,net_ev_bps,-5.764147042156592,-6.1692490482661055
CAD_CHF_JPY,p5_bps,-22.50042676515264,-22.58550788910675
CAD_CHF_JPY,payoff_ratio,0.8242,0.8129
CAD_CHF_JPY,pf_gross,0.9264,0.8171
CAD_CHF_JPY,pf_net,0.2425,0.1998
CAD_CHF_JPY,short_count,33,62
CAD_CHF_JPY,win_rate,22.7330779054917,19.726339794754846
CAD_CHF_JPY,worst_bps,-50.540467639197075,-50.540467639197075
CAD_CHF_JPY,z6_exits,529,556
CAD_CHF_JPY,status,FAIL_R2,
