event_id,triangle,entry_timestamp,exit_timestamp,direction,entry_z,exit_z,exit_reason,hold_minutes,entry_est_hour,entry_utc_hour,gross_bps,cost_bps,net_bps,mfe_bps,mae_bps,z6_stop,hard_exit,rollover_zone_entry
USD_CHF_JPY-DEV-00001,USD_CHF_JPY,2023-07-03T19:45:00,2023-07-03T19:55:00,LONG,-3.7646,-10.302,SL_HIT,10.0,14,19,-2.2021,4.8005,-7.0026,0.314,-2.2021,1,0,0
USD_CHF_JPY-DEV-00002,USD_CHF_JPY,2023-07-04T19:15:00,2023-07-04T19:45:00,LONG,-3.2424,1.6421,TP_HIT,30.0,14,19,0.9038,4.8005,-3.8968,0.9038,-0.3704,0,0,0
USD_CHF_JPY-DEV-00003,USD_CHF_JPY,2023-07-04T19:55:00,2023-07-04T20:05:00,LONG,-24.1696,-52.6352,SL_HIT,10.0,14,19,-16.8011,4.8005,-21.6016,0.0,-16.8011,1,0,0
USD_CHF_JPY-DEV-00004,USD_CHF_JPY,2023-07-05T19:50:00,2023-07-05T20:05:00,LONG,-3.3589,-33.3202,SL_HIT,15.0,14,19,-6.1465,4.8005,-10.947,0.0,-6.1465,1,0,0
USD_CHF_JPY-DEV-00005,USD_CHF_JPY,2023-07-10T19:55:00,2023-07-10T20:05:00,LONG,-3.1077,-155.8929,SL_HIT,10.0,14,19,-26.6316,4.8005,-31.4321,0.0,-26.6316,1,0,0
USD_CHF_JPY-DEV-00006,USD_CHF_JPY,2023-07-11T19:55:00,2023-07-11T20:05:00,LONG,-9.5399,-25.5129,SL_HIT,10.0,14,19,-3.781,4.8005,-8.5816,0.0,-3.781,1,0,0
USD_CHF_JPY-DEV-00007,USD_CHF_JPY,2023-07-14T19:35:00,2023-07-17T00:00:00,LONG,-3.187,-3.4029,TIMEOUT,3145.0,14,19,-0.2135,4.8005,-5.0141,0.5095,-0.562,0,1,0
USD_CHF_JPY-DEV-00008,USD_CHF_JPY,2023-07-17T19:55:00,2023-07-17T20:05:00,LONG,-5.3495,-109.8222,SL_HIT,10.0,14,19,-18.0284,4.8005,-22.8289,0.0,-18.0284,1,0,0
USD_CHF_JPY-DEV-00009,USD_CHF_JPY,2023-07-18T19:50:00,2023-07-18T19:55:00,LONG,-3.3399,-14.0892,SL_HIT,5.0,14,19,-2.8573,4.8005,-7.6578,0.0,-2.8573,1,0,0
USD_CHF_JPY-DEV-00010,USD_CHF_JPY,2023-07-19T19:55:00,2023-07-19T20:05:00,LONG,-14.3893,-123.9131,SL_HIT,10.0,14,19,-29.4374,4.8005,-34.2379,0.0,-29.4374,1,0,0
USD_CHF_JPY-DEV-00011,USD_CHF_JPY,2023-07-21T18:25:00,2023-07-21T18:45:00,LONG,-3.0363,0.355,TP_HIT,20.0,13,18,0.5921,4.8005,-4.2084,0.5921,0.0,0,0,0
USD_CHF_JPY-DEV-00012,USD_CHF_JPY,2023-07-21T19:35:00,2023-07-24T00:00:00,LONG,-3.9385,0.3334,TIMEOUT,3145.0,14,19,0.7568,4.8005,-4.0438,0.7568,-0.0047,0,1,0
USD_CHF_JPY-DEV-00013,USD_CHF_JPY,2023-07-25T19:55:00,2023-07-25T20:05:00,LONG,-13.1818,-66.5524,SL_HIT,10.0,14,19,-20.9659,4.8005,-25.7665,0.0,-20.9659,1,0,0
USD_CHF_JPY-DEV-00014,USD_CHF_JPY,2023-07-27T19:55:00,2023-07-27T20:05:00,LONG,-8.4481,-40.6358,SL_HIT,10.0,14,19,-17.7358,4.8005,-22.5364,0.0,-17.7358,1,0,0
USD_CHF_JPY-DEV-00015,USD_CHF_JPY,2023-08-02T19:55:00,2023-08-02T20:05:00,LONG,-3.0306,-47.0631,SL_HIT,10.0,14,19,-19.086,4.8005,-23.8866,0.0,-19.086,1,0,0
USD_CHF_JPY-DEV-00016,USD_CHF_JPY,2023-08-03T19:55:00,2023-08-03T20:05:00,LONG,-5.5503,-26.6789,SL_HIT,10.0,14,19,-8.6024,4.8005,-13.403,0.0,-8.6024,1,0,0
USD_CHF_JPY-DEV-00017,USD_CHF_JPY,2023-08-07T19:55:00,2023-08-07T20:05:00,SHORT,4.5631,-25.0519,TP_HIT,10.0,14,19,5.9007,4.8005,1.1002,5.9007,0.0,0,0,0
USD_CHF_JPY-DEV-00018,USD_CHF_JPY,2023-08-08T19:50:00,2023-08-08T20:05:00,LONG,-6.6144,-25.6216,SL_HIT,15.0,14,19,-5.0067,4.8005,-9.8072,1.0439,-5.0067,1,0,0
USD_CHF_JPY-DEV-00019,USD_CHF_JPY,2023-08-09T19:45:00,2023-08-09T19:55:00,LONG,-3.7208,-8.3018,SL_HIT,10.0,14,19,-1.0346,4.8005,-5.8351,0.1404,-1.0346,1,0,0
USD_CHF_JPY-DEV-00020,USD_CHF_JPY,2023-08-11T19:40:00,2023-08-11T19:50:00,LONG,-3.2122,-6.5422,SL_HIT,10.0,14,19,-1.0193,4.8005,-5.8198,0.3283,-1.0193,1,0,0
USD_CHF_JPY-DEV-00021,USD_CHF_JPY,2023-08-14T19:50:00,2023-08-14T20:05:00,LONG,-4.3178,-23.273,SL_HIT,15.0,14,19,-3.9676,4.8005,-8.7681,0.4413,-3.9676,1,0,0
USD_CHF_JPY-DEV-00022,USD_CHF_JPY,2023-08-17T19:55:00,2023-08-17T20:05:00,LONG,-3.229,-45.6412,SL_HIT,10.0,14,19,-8.0711,4.8005,-12.8716,0.0,-8.0711,1,0,0
USD_CHF_JPY-DEV-00023,USD_CHF_JPY,2023-08-18T19:30:00,2023-08-18T19:40:00,SHORT,5.6109,-0.7195,TP_HIT,10.0,14,19,1.154,4.8005,-3.6465,1.154,0.0,0,0,0
USD_CHF_JPY-DEV-00024,USD_CHF_JPY,2023-08-18T19:50:00,2023-08-21T00:00:00,LONG,-7.4305,-0.5552,TIMEOUT,3130.0,14,19,1.3902,4.8005,-3.4103,1.3902,0.0,0,1,0
USD_CHF_JPY-DEV-00025,USD_CHF_JPY,2023-08-25T19:40:00,2023-08-28T00:00:00,LONG,-3.0241,-0.8615,TIMEOUT,3140.0,14,19,0.4902,4.8005,-4.3103,0.5762,-0.1799,0,1,0
USD_CHF_JPY-DEV-00026,USD_CHF_JPY,2023-08-28T19:50:00,2023-08-28T20:05:00,LONG,-3.1457,-43.3777,SL_HIT,15.0,14,19,-8.0027,4.8005,-12.8032,0.5328,-8.0027,1,0,0
USD_CHF_JPY-DEV-00027,USD_CHF_JPY,2023-08-31T19:55:00,2023-08-31T20:05:00,LONG,-6.5018,-32.109,SL_HIT,10.0,14,19,-7.2133,4.8005,-12.0138,0.0,-7.2133,1,0,0
USD_CHF_JPY-DEV-00028,USD_CHF_JPY,2023-09-01T19:50:00,2023-09-04T00:00:00,LONG,-4.3176,-1.7949,TIMEOUT,3130.0,14,19,0.7201,4.8005,-4.0805,0.7201,0.0,0,1,0
USD_CHF_JPY-DEV-00029,USD_CHF_JPY,2023-09-04T19:50:00,2023-09-04T19:55:00,LONG,-3.1632,-101.9924,SL_HIT,5.0,14,19,-21.3758,4.8005,-26.1764,0.0,-21.3758,1,0,0
USD_CHF_JPY-DEV-00030,USD_CHF_JPY,2023-09-05T19:55:00,2023-09-05T20:05:00,LONG,-9.3994,-34.6799,SL_HIT,10.0,14,19,-5.8892,4.8005,-10.6897,0.0,-5.8892,1,0,0
USD_CHF_JPY-DEV-00031,USD_CHF_JPY,2023-09-07T19:55:00,2023-09-07T20:05:00,LONG,-7.8463,-29.0102,SL_HIT,10.0,14,19,-7.2197,4.8005,-12.0202,0.0,-7.2197,1,0,0
USD_CHF_JPY-DEV-00032,USD_CHF_JPY,2023-09-08T19:45:00,2023-09-11T00:00:00,LONG,-3.0382,-1.0857,TIMEOUT,3135.0,14,19,0.4405,4.8005,-4.3601,0.4405,0.0,0,1,0
USD_CHF_JPY-DEV-00033,USD_CHF_JPY,2023-09-11T19:55:00,2023-09-11T20:05:00,LONG,-10.208,-28.589,SL_HIT,10.0,14,19,-4.8499,4.8005,-9.6504,0.0,-4.8499,1,0,0
USD_CHF_JPY-DEV-00034,USD_CHF_JPY,2023-09-12T19:55:00,2023-09-12T20:05:00,LONG,-4.8692,-44.0849,SL_HIT,10.0,14,19,-7.7249,4.8005,-12.5255,0.0,-7.7249,1,0,0
USD_CHF_JPY-DEV-00035,USD_CHF_JPY,2023-09-13T19:55:00,2023-09-13T20:05:00,LONG,-3.836,-47.72,SL_HIT,10.0,14,19,-11.3761,4.8005,-16.1766,0.0,-11.3761,1,0,0
USD_CHF_JPY-DEV-00036,USD_CHF_JPY,2023-09-15T19:50:00,2023-09-18T00:00:00,LONG,-4.3701,-2.9683,TIMEOUT,3130.0,14,19,0.4159,4.8005,-4.3846,0.4159,0.0,0,1,0
USD_CHF_JPY-DEV-00037,USD_CHF_JPY,2023-09-18T19:55:00,2023-09-18T20:05:00,LONG,-3.3308,-51.4379,SL_HIT,10.0,14,19,-7.3441,4.8005,-12.1446,0.0,-7.3441,1,0,0
USD_CHF_JPY-DEV-00038,USD_CHF_JPY,2023-09-19T19:55:00,2023-09-19T20:05:00,LONG,-3.6512,-11.1015,SL_HIT,10.0,14,19,-1.3288,4.8005,-6.1294,0.0,-1.3288,1,0,0
USD_CHF_JPY-DEV-00039,USD_CHF_JPY,2023-09-22T19:45:00,2023-09-25T00:00:00,LONG,-4.5271,0.5885,TIMEOUT,3135.0,14,19,1.3906,4.8005,-3.4099,1.3906,-0.0714,0,1,0
USD_CHF_JPY-DEV-00040,USD_CHF_JPY,2023-09-26T19:55:00,2023-09-26T20:05:00,LONG,-4.7602,-113.1567,SL_HIT,10.0,14,19,-26.0403,4.8005,-30.8408,0.0,-26.0403,1,0,0
USD_CHF_JPY-DEV-00041,USD_CHF_JPY,2023-09-29T19:50:00,2023-10-02T00:00:00,LONG,-3.4671,-0.828,TIMEOUT,3130.0,14,19,0.8859,4.8005,-3.9146,0.8859,0.0,0,1,0
USD_CHF_JPY-DEV-00042,USD_CHF_JPY,2023-10-03T19:55:00,2023-10-03T20:05:00,LONG,-10.0435,-89.3232,SL_HIT,10.0,14,19,-20.6659,4.8005,-25.4665,0.0,-20.6659,1,0,0
USD_CHF_JPY-DEV-00043,USD_CHF_JPY,2023-10-09T19:05:00,2023-10-09T19:25:00,SHORT,4.2355,-0.3608,TP_HIT,20.0,14,19,0.7706,4.8005,-4.03,0.7706,0.0,0,0,0
USD_CHF_JPY-DEV-00044,USD_CHF_JPY,2023-10-09T19:55:00,2023-10-09T20:05:00,LONG,-3.0157,-87.3632,SL_HIT,10.0,14,19,-15.8082,4.8005,-20.6087,0.0,-15.8082,1,0,0
USD_CHF_JPY-DEV-00045,USD_CHF_JPY,2023-10-10T19:55:00,2023-10-10T20:05:00,LONG,-15.5775,-22.4051,SL_HIT,10.0,14,19,-3.6359,4.8005,-8.4365,0.0,-3.6359,1,0,0
USD_CHF_JPY-DEV-00046,USD_CHF_JPY,2023-10-13T19:50:00,2023-10-16T00:00:00,LONG,-5.1283,-1.1137,TIMEOUT,3130.0,14,19,0.7699,4.8005,-4.0307,0.7699,0.0,0,1,0
USD_CHF_JPY-DEV-00047,USD_CHF_JPY,2023-10-16T19:25:00,2023-10-16T19:55:00,SHORT,3.5261,-3.8754,TP_HIT,30.0,14,19,1.5117,4.8005,-3.2888,1.5117,0.0,0,0,0
USD_CHF_JPY-DEV-00048,USD_CHF_JPY,2023-10-17T19:55:00,2023-10-17T20:05:00,LONG,-4.1503,-112.298,SL_HIT,10.0,14,19,-27.7678,4.8005,-32.5683,0.0,-27.7678,1,0,0
USD_CHF_JPY-DEV-00049,USD_CHF_JPY,2023-10-18T19:55:00,2023-10-18T20:05:00,LONG,-10.1104,-8.316,SL_HIT,10.0,14,19,-0.0267,4.8005,-4.8272,0.0,-0.0267,1,0,0
USD_CHF_JPY-DEV-00050,USD_CHF_JPY,2023-10-19T19:40:00,2023-10-19T19:55:00,SHORT,3.0315,-4.8741,TP_HIT,15.0,14,19,2.1022,4.8005,-2.6983,2.1022,0.0,0,0,0
USD_CHF_JPY-DEV-00051,USD_CHF_JPY,2023-10-23T19:55:00,2023-10-23T20:05:00,LONG,-3.7804,-79.6358,SL_HIT,10.0,14,19,-17.6799,4.8005,-22.4805,0.0,-17.6799,1,0,0
USD_CHF_JPY-DEV-00052,USD_CHF_JPY,2023-10-26T19:55:00,2023-10-26T20:05:00,LONG,-3.5915,-57.1782,SL_HIT,10.0,14,19,-25.044,4.8005,-29.8445,0.0,-25.044,1,0,0
USD_CHF_JPY-DEV-00053,USD_CHF_JPY,2023-10-27T19:50:00,2023-10-30T00:00:00,LONG,-3.3238,-0.8823,TIMEOUT,3130.0,14,19,0.8557,4.8005,-3.9448,0.8557,0.0,0,1,0
USD_CHF_JPY-DEV-00054,USD_CHF_JPY,2023-11-06T18:55:00,2023-11-06T19:00:00,LONG,-4.2644,-52.4809,SL_HIT,5.0,13,18,-11.6929,4.8005,-16.4935,0.0,-11.6929,1,0,0
USD_CHF_JPY-DEV-00055,USD_CHF_JPY,2023-11-06T19:05:00,2023-11-06T19:50:00,LONG,-3.1954,-7.8705,SL_HIT,45.0,14,19,-7.472,4.8005,-12.2725,1.5699,-7.472,1,0,0
USD_CHF_JPY-DEV-00056,USD_CHF_JPY,2023-11-06T19:55:00,2023-11-06T21:00:00,LONG,-6.2598,-0.0198,TIMEOUT,65.0,14,19,9.2235,4.8005,4.4229,9.3933,0.0,0,1,0
