candidate,dimension,key,events,net_ev_bps,pf_net
USD_CHF_JPY,year,2023,172,-6.5791,0.1972
USD_CHF_JPY,year,2024,306,-5.4636,0.2125
USD_CHF_JPY,quarter_2023Q3,,41,-11.7496,0.0023
USD_CHF_JPY,quarter_2023Q4,,131,-4.9608,0.2988
USD_CHF_JPY,quarter_2024Q1,,131,-4.2863,0.2867
USD_CHF_JPY,quarter_2024Q2,,33,-10.0492,0.0
USD_CHF_JPY,quarter_2024Q3,,27,-8.9949,0.1041
USD_CHF_JPY,quarter_2024Q4,,115,-4.6598,0.2691
USD_CHF_JPY,entry_est_hour,13,92,-11.3739,0.0152
USD_CHF_JPY,entry_est_hour,14,386,-4.552,0.2886
USD_CHF_JPY,direction,LONG,460,-5.946,0.2102
USD_CHF_JPY,direction,SHORT,18,-3.7954,0.0158
CAD_CHF_JPY,year,2022,120,-5.2381,0.3101
CAD_CHF_JPY,year,2023,344,-5.3408,0.2926
CAD_CHF_JPY,year,2024,319,-6.4186,0.1642
CAD_CHF_JPY,quarter_2022Q4,,119,-4.8574,0.3283
CAD_CHF_JPY,quarter_2023Q1,,146,-4.3639,0.3612
CAD_CHF_JPY,quarter_2023Q2,,37,-6.8533,0.2067
CAD_CHF_JPY,quarter_2023Q3,,38,-10.4342,0.0124
CAD_CHF_JPY,quarter_2023Q4,,123,-4.4718,0.374
CAD_CHF_JPY,quarter_2024Q1,,144,-4.5757,0.2566
CAD_CHF_JPY,quarter_2024Q2,,30,-11.846,0.0
CAD_CHF_JPY,quarter_2024Q3,,36,-12.5192,0.0
CAD_CHF_JPY,quarter_2024Q4,,109,-5.3446,0.2309
CAD_CHF_JPY,entry_est_hour,13,153,-11.0243,0.0459
CAD_CHF_JPY,entry_est_hour,14,630,-4.4867,0.3254
CAD_CHF_JPY,direction,LONG,750,-6.0327,0.2268
CAD_CHF_JPY,direction,SHORT,33,0.3402,1.1057
