leg,file,bars,duplicate_ts,m5_delta_frac,daily_delta_count,bad_ohlc,first_ts,last_ts
AUDNZD,AUDNZD_PRO_M5.csv,279540,0,0.992,1566,0,2015-10-11T20:00:00,2026-06-03T21:00:00
AUDJPY,AUDJPY_M5_fetched.csv,345344,0,0.9976,374,0,2020-01-01T19:00:00,2026-06-08T00:00:00
NZDJPY,NZDJPY_M5_fetched.csv,327092,0,0.9972,425,0,2020-01-01T19:00:00,2026-06-08T00:00:00
USDCHF,USDCHFPRO_M5.csv,217190,0,0.9991,0,0,2023-07-02T20:00:00,2026-05-29T19:50:00
USDJPY,USDJPY_M5_fetched.csv,345412,0,0.9975,374,0,2020-01-01T19:00:00,2026-06-08T00:00:00
CHFJPY,CHFJPY_M5_fetched.csv,345204,0,0.9975,374,0,2020-01-01T19:00:00,2026-06-08T00:00:00
AUDCAD,AUDCAD_PRO_M5.csv,277615,0,0.9919,1571,0,2015-10-11T20:00:00,2026-06-03T21:00:00
AUDJPY,AUDJPY_M5_fetched.csv,345344,0,0.9976,374,0,2020-01-01T19:00:00,2026-06-08T00:00:00
CADJPY,CADJPY_M5_fetched.csv,327229,0,0.9973,425,0,2020-01-01T19:00:00,2026-06-08T00:00:00
CADCHF,CADCHF_PRO_M5.csv,279576,0,0.9919,1566,0,2015-10-11T20:00:00,2026-06-03T21:00:00
CADJPY,CADJPY_M5_fetched.csv,327229,0,0.9973,425,0,2020-01-01T19:00:00,2026-06-08T00:00:00
CHFJPY,CHFJPY_M5_fetched.csv,345204,0,0.9975,374,0,2020-01-01T19:00:00,2026-06-08T00:00:00
