candidate,entry_ts,direction,entry_z,peak_disp_bps,resolution_min,entry_est_hour,rollover_zone
AUD_NZD_JPY,2022-09-13T20:00:00,LONG,-19.917,14.84,65,15,0
AUD_NZD_JPY,2022-09-13T20:45:00,LONG,-3.683,4.79,20,15,0
AUD_NZD_JPY,2022-09-14T18:00:00,LONG,-9.571,3.28,195,13,0
AUD_NZD_JPY,2022-09-14T19:25:00,LONG,-3.079,2.68,110,14,0
AUD_NZD_JPY,2022-09-14T20:30:00,LONG,-9.54,8.66,45,15,0
AUD_NZD_JPY,2022-09-14T21:40:00,LONG,-3.084,3.8,5,16,1
AUD_NZD_JPY,2022-09-15T00:25:00,LONG,-4.69,5.85,5,19,0
AUD_NZD_JPY,2022-09-15T11:25:00,LONG,-6.222,7.9,5,6,0
AUD_NZD_JPY,2022-09-15T20:30:00,LONG,-10.054,7.8,35,15,0
AUD_NZD_JPY,2022-09-18T20:00:00,LONG,-22.846,8.72,65,15,0
AUD_NZD_JPY,2022-09-19T16:15:00,SHORT,3.759,1.05,10,11,0
AUD_NZD_JPY,2022-09-19T20:00:00,LONG,-49.355,15.45,60,15,0
AUD_NZD_JPY,2022-09-20T18:00:00,LONG,-9.559,3.6,350,13,0
AUD_NZD_JPY,2022-09-20T20:00:00,LONG,-4.829,9.54,230,15,0
AUD_NZD_JPY,2022-09-21T16:55:00,LONG,-42.31,13.91,5,11,0
AUD_NZD_JPY,2022-09-21T20:00:00,LONG,-22.828,24.25,60,15,0
AUD_NZD_JPY,2022-09-22T18:00:00,LONG,-3.057,1.29,30,13,0
AUD_NZD_JPY,2022-09-22T20:00:00,LONG,-4.472,9.05,120,15,0
AUD_NZD_JPY,2022-09-25T20:00:00,LONG,-13.501,7.32,85,15,0
AUD_NZD_JPY,2022-09-26T14:35:00,SHORT,5.391,3.39,20,9,0
AUD_NZD_JPY,2022-09-26T20:00:00,LONG,-64.95,49.66,75,15,0
AUD_NZD_JPY,2022-09-27T20:00:00,LONG,-21.339,11.94,45,15,0
AUD_NZD_JPY,2022-09-28T14:35:00,SHORT,3.117,1.4,10,9,0
AUD_NZD_JPY,2022-09-28T17:00:00,LONG,-4.412,2.24,210,12,0
AUD_NZD_JPY,2022-09-28T17:40:00,LONG,-4.132,2.28,170,12,0
AUD_NZD_JPY,2022-09-28T18:00:00,LONG,-3.8,2.35,150,13,0
AUD_NZD_JPY,2022-09-28T18:25:00,LONG,-3.121,2.12,125,13,0
AUD_NZD_JPY,2022-09-28T18:35:00,LONG,-3.042,2.15,115,13,0
AUD_NZD_JPY,2022-09-28T18:50:00,LONG,-3.335,2.5,100,13,0
AUD_NZD_JPY,2022-09-28T20:00:00,LONG,-4.217,3.59,30,15,0
AUD_NZD_JPY,2022-09-28T20:40:00,LONG,-6.685,5.93,20,15,0
AUD_NZD_JPY,2022-09-29T16:10:00,SHORT,3.005,1.31,15,11,0
AUD_NZD_JPY,2022-09-29T20:30:00,LONG,-9.535,11.37,50,15,0
AUD_NZD_JPY,2022-09-30T11:25:00,LONG,-3.837,4.3,5,6,0
AUD_NZD_JPY,2022-10-02T20:00:00,LONG,-23.478,12.25,115,15,0
AUD_NZD_JPY,2022-10-03T18:40:00,LONG,-3.602,1.73,170,13,0
