candidate,lens,bars,n_events,events_per_week,basis_change_std_bps,median_disp_bps,median_resolution_min,cost_ratio,rollover_frac
AUD_NZD_JPY,ASIA_CORE,64497,20,0.167,0.6473,6.25,5.0,1.043,0.0
AUD_NZD_JPY,TOKYO_CORE,35818,6,0.05,0.7153,5.97,5.0,0.997,0.0
AUD_NZD_JPY,ASIA_LONDON_TRANSITION,35800,105,0.875,1.0485,6.37,5,1.064,0.0
USD_CHF_JPY,ASIA_CORE,41998,4,0.051,0.5756,9.19,5.0,1.913,0.0
USD_CHF_JPY,TOKYO_CORE,23315,3,0.038,0.7148,10.43,5,2.173,0.0
USD_CHF_JPY,ASIA_LONDON_TRANSITION,23320,39,0.499,0.7939,9.94,5,2.071,0.0
AUD_CAD_JPY,ASIA_CORE,63728,8,0.067,0.3953,4.41,5.0,0.829,0.0
AUD_CAD_JPY,TOKYO_CORE,35394,2,0.017,0.3873,6.98,17.5,1.312,0.0
AUD_CAD_JPY,ASIA_LONDON_TRANSITION,35380,150,1.25,0.8131,5.28,5.0,0.991,0.0
CAD_CHF_JPY,ASIA_CORE,64490,10,0.083,0.5382,12.09,967.5,2.203,0.0
CAD_CHF_JPY,TOKYO_CORE,35809,5,0.042,0.6519,10.41,5,1.897,0.0
CAD_CHF_JPY,ASIA_LONDON_TRANSITION,35800,79,0.658,1.1258,10.82,5,1.972,0.0
