candidate,hour_est,hour_utc,bars,events,events_per_week,median_disp_bps,p75_disp_bps,p90_disp_bps,median_resolution_min,modeled_cost_bps,gross_cost_ratio,rollover_frac
USD_CHF_JPY,0,5,4656,1,0.013,10.43,10.43,10.43,5,4.801,2.173,0.0
USD_CHF_JPY,1,6,4656,1,0.013,7.94,7.94,7.94,5,4.801,1.653,0.0
USD_CHF_JPY,2,7,4656,1,0.013,5.57,5.57,5.57,5,4.801,1.16,0.0
USD_CHF_JPY,3,8,4668,0,0.0,,,,,4.801,,
USD_CHF_JPY,4,9,4664,0,0.0,,,,,4.801,,
USD_CHF_JPY,5,10,4665,13,0.166,10.49,12.95,15.91,5,4.801,2.185,0.0
USD_CHF_JPY,6,11,4667,25,0.319,9.94,11.78,13.26,5,4.801,2.07,0.0
USD_CHF_JPY,7,12,4668,15,0.192,6.41,10.34,13.25,5,4.801,1.336,0.0
USD_CHF_JPY,8,13,4668,6,0.077,0.62,0.75,0.8,12.5,4.801,0.128,0.0
USD_CHF_JPY,9,14,4668,7,0.089,0.52,0.58,1.53,15,4.801,0.108,0.0
USD_CHF_JPY,10,15,4677,16,0.204,1.23,10.94,17.05,10.0,4.801,0.255,0.0
USD_CHF_JPY,11,16,4680,22,0.281,3.16,11.75,15.72,10.0,4.801,0.658,0.0
USD_CHF_JPY,12,17,4680,14,0.179,0.97,11.39,13.79,30.0,4.801,0.201,0.0
USD_CHF_JPY,13,18,4655,102,1.303,13.16,20.53,26.03,67.5,4.801,2.741,0.0
USD_CHF_JPY,14,19,4609,283,3.615,12.73,19.98,28.71,65,4.801,2.653,0.0
USD_CHF_JPY,15,20,4648,289,3.692,11.98,18.52,26.87,55,4.801,2.495,0.0
USD_CHF_JPY,16,21,4679,7,0.089,7.73,11.09,13.23,710,4.801,1.61,1.0
USD_CHF_JPY,17,22,4680,1,0.013,3.24,3.24,3.24,690,4.801,0.675,1.0
USD_CHF_JPY,18,23,4679,0,0.0,,,,,4.801,,
USD_CHF_JPY,19,0,4679,0,0.0,,,,,4.801,,
USD_CHF_JPY,20,1,4680,0,0.0,,,,,4.801,,
USD_CHF_JPY,21,2,4678,1,0.013,28.89,28.89,28.89,1030,4.801,6.017,0.0
USD_CHF_JPY,22,3,4668,0,0.0,,,,,4.801,,
USD_CHF_JPY,23,4,4657,0,0.0,,,,,4.801,,
CAD_CHF_JPY,0,5,7152,1,0.008,10.41,10.41,10.41,5,5.487,1.897,0.0
CAD_CHF_JPY,1,6,7152,2,0.016,5.92,7.18,7.93,5.0,5.487,1.079,0.0
CAD_CHF_JPY,2,7,7152,1,0.008,5.91,5.91,5.91,5,5.487,1.078,0.0
CAD_CHF_JPY,3,8,7164,0,0.0,,,,,5.487,,
CAD_CHF_JPY,4,9,7160,0,0.0,,,,,5.487,,
CAD_CHF_JPY,5,10,7161,24,0.197,10.36,19.75,31.69,5.0,5.487,1.889,0.0
CAD_CHF_JPY,6,11,7163,54,0.444,11.11,13.5,19.21,5.0,5.487,2.025,0.0
CAD_CHF_JPY,7,12,7164,19,0.156,9.08,10.9,15.61,5,5.487,1.656,0.0
CAD_CHF_JPY,8,13,7164,7,0.058,0.98,1.08,1.2,15,5.487,0.178,0.0
CAD_CHF_JPY,9,14,7164,17,0.14,0.73,0.99,2.05,15,5.487,0.133,0.0
CAD_CHF_JPY,10,15,7174,35,0.288,1.32,9.01,17.06,15,5.487,0.241,0.0
CAD_CHF_JPY,11,16,7176,56,0.46,1.0,13.19,18.84,15.0,5.487,0.182,0.0
CAD_CHF_JPY,12,17,7173,22,0.181,1.04,12.47,15.9,35.0,5.487,0.19,0.0
CAD_CHF_JPY,13,18,7133,163,1.339,15.77,21.48,26.78,70,5.487,2.875,0.0
CAD_CHF_JPY,14,19,6965,430,3.533,13.43,21.66,29.54,65.0,5.487,2.448,0.0
CAD_CHF_JPY,15,20,7045,435,3.574,12.06,18.8,27.32,50,5.487,2.199,0.0
CAD_CHF_JPY,16,21,7185,18,0.148,8.56,12.07,25.14,45.0,5.487,1.56,1.0
CAD_CHF_JPY,17,22,7183,1,0.008,4.12,4.12,4.12,665,5.487,0.751,1.0
CAD_CHF_JPY,18,23,7182,0,0.0,,,,,5.487,,
CAD_CHF_JPY,19,0,7183,2,0.016,12.09,12.86,13.33,1135.0,5.487,2.203,0.0
CAD_CHF_JPY,20,1,7182,2,0.016,14.75,15.24,15.54,1047.5,5.487,2.689,0.0
CAD_CHF_JPY,21,2,7184,1,0.008,31.08,31.08,31.08,1010,5.487,5.665,0.0
CAD_CHF_JPY,22,3,7168,1,0.008,28.0,28.0,28.0,925,5.487,5.104,0.0
CAD_CHF_JPY,23,4,7153,0,0.0,,,,,5.487,,
