state_1,state_2,state_3,occurrences,subperiods_with_ge3,classification,subperiod_counts
MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,459,5,RECURRING,"{""2025-2026"": 118, ""2022"": 91, ""2023"": 87, ""2020-2021"": 85, ""2024"": 77}"
BTC_CONCENTRATION,BTC_CONCENTRATION,BTC_CONCENTRATION,364,5,RECURRING,"{""2025-2026"": 100, ""2023"": 97, ""2020-2021"": 82, ""2024"": 63, ""2022"": 22}"
BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,145,5,RECURRING,"{""2020-2021"": 65, ""2024"": 23, ""2023"": 21, ""2022"": 20, ""2025-2026"": 15}"
STABLECOIN_PARKING,STABLECOIN_PARKING,STABLECOIN_PARKING,99,3,RECURRING,"{""2020-2021"": 70, ""2025-2026"": 22, ""2022"": 5, ""2024"": 2}"
MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,BTC_CONCENTRATION,73,5,RECURRING,"{""2024"": 21, ""2025-2026"": 20, ""2023"": 15, ""2020-2021"": 9, ""2022"": 8}"
CAPITAL_EXIT,CAPITAL_EXIT,CAPITAL_EXIT,69,2,RECURRING,"{""2022"": 47, ""2025-2026"": 22}"
BTC_CONCENTRATION,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,62,5,RECURRING,"{""2024"": 19, ""2025-2026"": 16, ""2023"": 10, ""2020-2021"": 9, ""2022"": 8}"
ETH_BROADENING,ETH_BROADENING,ETH_BROADENING,60,3,RECURRING,"{""2020-2021"": 42, ""2022"": 10, ""2025-2026"": 6, ""2023"": 1, ""2024"": 1}"
MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,56,5,RECURRING,"{""2025-2026"": 26, ""2023"": 9, ""2024"": 8, ""2020-2021"": 7, ""2022"": 6}"
BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,55,5,RECURRING,"{""2025-2026"": 25, ""2024"": 12, ""2020-2021"": 7, ""2023"": 5, ""2022"": 5}"
BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,42,5,RECURRING,"{""2024"": 14, ""2025-2026"": 12, ""2023"": 8, ""2020-2021"": 4, ""2022"": 4}"
LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,41,4,RECURRING,"{""2025-2026"": 23, ""2023"": 12, ""2020-2021"": 3, ""2024"": 3}"
MID_CAP_ROTATION,MID_CAP_ROTATION,MID_CAP_ROTATION,32,4,RECURRING,"{""2020-2021"": 17, ""2024"": 6, ""2025-2026"": 5, ""2023"": 4}"
MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,30,4,RECURRING,"{""2025-2026"": 17, ""2024"": 5, ""2020-2021"": 3, ""2023"": 3, ""2022"": 2}"
NARROW_LEADERSHIP,NARROW_LEADERSHIP,NARROW_LEADERSHIP,25,2,RECURRING,"{""2025-2026"": 16, ""2024"": 3, ""2020-2021"": 2, ""2023"": 2, ""2022"": 2}"
NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,16,3,RECURRING,"{""2022"": 6, ""2025-2026"": 6, ""2023"": 3, ""2024"": 1}"
STABLECOIN_PARKING,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,16,3,RECURRING,"{""2025-2026"": 6, ""2020-2021"": 4, ""2024"": 4, ""2022"": 2}"
MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,15,4,RECURRING,"{""2022"": 6, ""2023"": 3, ""2024"": 3, ""2025-2026"": 3}"
MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,STABLECOIN_PARKING,13,2,RECURRING,"{""2025-2026"": 6, ""2024"": 4, ""2020-2021"": 2, ""2022"": 1}"
MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,13,3,RECURRING,"{""2024"": 6, ""2020-2021"": 3, ""2025-2026"": 3, ""2022"": 1}"
STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,13,2,RECURRING,"{""2024"": 5, ""2020-2021"": 4, ""2022"": 2, ""2025-2026"": 2}"
MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,11,1,PARTIALLY_RECURRING,"{""2020-2021"": 5, ""2022"": 2, ""2025-2026"": 2, ""2023"": 1, ""2024"": 1}"
ETH_BROADENING,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,11,3,RECURRING,"{""2020-2021"": 5, ""2022"": 3, ""2025-2026"": 3}"
ETH_BROADENING,ETH_BROADENING,BROAD_RISK_EXPANSION,11,2,RECURRING,"{""2020-2021"": 5, ""2022"": 4, ""2025-2026"": 2}"
MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,ETH_BROADENING,11,2,RECURRING,"{""2020-2021"": 6, ""2022"": 3, ""2025-2026"": 2}"
BTC_CONCENTRATION,BTC_CONCENTRATION,MID_CAP_ROTATION,10,2,RECURRING,"{""2023"": 4, ""2024"": 3, ""2025-2026"": 2, ""2022"": 1}"
BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,ETH_BROADENING,10,3,RECURRING,"{""2025-2026"": 4, ""2020-2021"": 3, ""2022"": 3}"
MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,NARROW_LEADERSHIP,10,2,RECURRING,"{""2022"": 4, ""2025-2026"": 3, ""2024"": 2, ""2023"": 1}"
NARROW_LEADERSHIP,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,10,2,RECURRING,"{""2022"": 5, ""2025-2026"": 3, ""2023"": 1, ""2024"": 1}"
BROAD_RISK_EXPANSION,ETH_BROADENING,ETH_BROADENING,10,2,RECURRING,"{""2020-2021"": 5, ""2025-2026"": 3, ""2022"": 2}"
MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,9,2,RECURRING,"{""2022"": 4, ""2024"": 3, ""2023"": 2}"
MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,8,2,RECURRING,"{""2020-2021"": 5, ""2024"": 3}"
MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,8,1,PARTIALLY_RECURRING,"{""2020-2021"": 5, ""2024"": 2, ""2023"": 1}"
ETH_BROADENING,ETH_BROADENING,NARROW_LEADERSHIP,8,1,PARTIALLY_RECURRING,"{""2025-2026"": 5, ""2020-2021"": 1, ""2022"": 1, ""2024"": 1}"
STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,8,2,RECURRING,"{""2020-2021"": 4, ""2025-2026"": 3, ""2024"": 1}"
MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,7,1,PARTIALLY_RECURRING,"{""2025-2026"": 3, ""2023"": 2, ""2022"": 1, ""2020-2021"": 1}"
BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,7,1,PARTIALLY_RECURRING,"{""2020-2021"": 4, ""2022"": 1, ""2023"": 1, ""2024"": 1}"
LARGE_ALT_ROTATION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,7,1,PARTIALLY_RECURRING,"{""2023"": 3, ""2020-2021"": 2, ""2024"": 2}"
