sector,episode_start,episode_end,leader_symbol,leader_rank,n_peers,n_days,same_day_corr,delay1_corr,delay3_corr,delay7_corr,delay14_corr
1confirmation-portfolio,2021-08-03 23:59:59,2021-08-07 23:59:59,BTC,1,40,5,0.3343,,,,
1confirmation-portfolio,2021-12-25 23:59:59,2021-12-30 23:59:59,BTC,1,48,6,-0.6165,-0.4139,,,
1confirmation-portfolio,2022-02-25 23:59:59,2022-03-02 23:59:59,BTC,1,48,6,-0.8666,0.0471,,,
1confirmation-portfolio,2022-04-17 23:59:59,2022-04-21 23:59:59,BTC,1,40,5,-0.505,,,,
1confirmation-portfolio,2022-05-14 23:59:59,2022-05-18 23:59:59,BTC,1,40,5,-0.9482,,,,
1confirmation-portfolio,2023-01-06 23:59:59,2023-01-15 23:59:59,BTC,1,80,10,-0.8135,-0.5375,-0.2801,,
1confirmation-portfolio,2023-02-09 23:59:59,2023-02-13 23:59:59,BTC,1,40,5,-0.2854,,,,
1confirmation-portfolio,2024-06-12 23:59:59,2024-06-17 23:59:59,BTC,1,48,6,-0.9575,0.0356,,,
1confirmation-portfolio,2024-06-25 23:59:59,2024-07-02 23:59:59,BTC,1,64,8,-0.4335,-0.0097,-0.0001,,
1confirmation-portfolio,2024-11-19 23:59:59,2024-11-29 23:59:59,BTC,1,77,11,-0.8214,-0.4657,0.878,,
2017-2018-alt-season,2025-02-09 23:59:59,2025-02-13 23:59:59,BTC,1,90,5,-0.5414,,,,
2017-2018-alt-season,2025-02-27 23:59:59,2025-03-03 23:59:59,BTC,1,90,5,-0.214,,,,
2017-2018-alt-season,2025-05-31 23:59:59,2025-06-04 23:59:59,BTC,1,90,5,-0.1726,,,,
2017-2018-alt-season,2025-06-16 23:59:59,2025-06-23 23:59:59,BTC,1,144,8,-0.8187,-0.2531,0.8866,,
2017-2018-alt-season,2025-10-01 23:59:59,2025-10-06 23:59:59,BTC,1,108,6,-0.3512,0.3544,,,
2017-2018-alt-season,2025-10-17 23:59:59,2025-10-23 23:59:59,BTC,1,126,7,-0.597,-0.3004,,,
2017-2018-alt-season,2025-11-06 23:59:59,2025-11-10 23:59:59,BTC,1,90,5,-0.9223,,,,
2017-2018-alt-season,2026-04-04 23:59:59,2026-04-09 23:59:59,BTC,1,108,6,-0.3527,-0.1747,,,
2017-2018-alt-season,2026-08-04 23:59:59,2026-08-08 23:59:59,BTC,1,85,5,-0.8934,,,,
a16z-portfolio,2021-08-31 23:59:59,2021-09-05 23:59:59,BTC,1,84,6,-0.6278,0.4415,,,
a16z-portfolio,2021-10-15 23:59:59,2021-10-20 23:59:59,BTC,1,84,6,-0.7329,0.5438,,,
a16z-portfolio,2021-12-21 23:59:59,2021-12-28 23:59:59,BTC,1,120,8,-0.536,0.1436,0.3236,,
a16z-portfolio,2022-02-27 23:59:59,2022-03-05 23:59:59,BTC,1,105,7,-0.4455,-0.3999,,,
a16z-portfolio,2022-06-21 23:59:59,2022-07-01 23:59:59,BTC,1,165,11,-0.5159,0.2133,-0.2443,,
a16z-portfolio,2023-01-12 23:59:59,2023-01-17 23:59:59,BTC,1,96,6,-0.1039,0.7709,,,
a16z-portfolio,2023-01-29 23:59:59,2023-02-03 23:59:59,BTC,1,96,6,-0.3247,-0.7677,,,
a16z-portfolio,2023-09-14 23:59:59,2023-09-19 23:59:59,BTC,1,90,5,,,,,
a16z-portfolio,2023-12-26 23:59:59,2024-01-01 23:59:59,BTC,1,97,6,0.2766,,,,
a16z-portfolio,2024-07-13 23:59:59,2024-07-21 23:59:59,BTC,1,171,9,-0.2393,0.3636,0.3284,,
a16z-portfolio,2024-09-23 23:59:59,2024-09-30 23:59:59,BTC,1,136,8,-0.6507,0.0134,0.0102,,
a16z-portfolio,2024-11-24 23:59:59,2024-11-30 23:59:59,BTC,1,122,7,-0.3731,0.2104,,,
a16z-portfolio,2025-02-10 23:59:59,2025-02-15 23:59:59,BTC,1,108,6,-0.7633,0.3549,,,
a16z-portfolio,2025-07-09 23:59:59,2025-07-13 23:59:59,BTC,1,88,5,-0.7619,,,,
a16z-portfolio,2026-04-07 23:59:59,2026-04-13 23:59:59,BTC,1,119,7,0.64,-0.3288,,,
a16z-portfolio,2026-05-08 23:59:59,2026-05-12 23:59:59,BTC,1,89,5,-0.8707,,,,
a16z-portfolio,2026-06-14 23:59:59,2026-06-22 23:59:59,BTC,1,133,9,-0.4711,-0.1464,0.5735,,
a16z-portfolio,2026-07-02 23:59:59,2026-07-09 23:59:59,BTC,1,120,8,-0.0055,-0.9096,0.4601,,
aave-tokens,2026-01-21 23:59:59,2026-01-30 23:59:59,AETHWETH,207,10,10,-0.7383,-0.1359,0.344,,
aave-tokens,2026-04-30 23:59:59,2026-05-13 23:59:59,AETHWETH,210,14,14,-0.3094,-0.5823,0.3487,-0.7641,
aave-tokens,2026-07-07 23:59:59,2026-07-11 23:59:59,AETHWETH,211,5,5,-0.4199,,,,
aave-tokens,2026-08-05 23:59:59,2026-08-09 23:59:59,AETHWETH,211,5,5,-0.4475,,,,
aave-tokens,2026-08-19 23:59:59,2026-08-23 23:59:59,AETHWETH,210,5,5,-0.3509,,,,
abstract-chain-ecosystem,2026-02-14 23:59:59,2026-02-20 23:59:59,ETH,2,7,7,0.4947,-0.5376,,,
abstract-chain-ecosystem,2026-03-12 23:59:59,2026-03-18 23:59:59,ETH,2,7,7,0.9376,0.0857,,,
abstract-chain-ecosystem,2026-04-21 23:59:59,2026-05-03 23:59:59,ETH,2,13,13,-0.3359,0.4365,-0.172,-0.5887,
abstract-chain-ecosystem,2026-07-01 23:59:59,2026-07-09 23:59:59,ETH,2,9,9,0.5051,0.4256,0.8274,,
abstract-chain-ecosystem,2026-07-22 23:59:59,2026-07-28 23:59:59,ETH,2,7,7,0.6067,-0.6789,,,
abstract-chain-ecosystem,2026-08-03 23:59:59,2026-08-13 23:59:59,ETH,2,11,11,-0.1291,-0.2447,0.7561,,
account-abstraction,2024-06-08 23:59:59,2024-06-12 23:59:59,NEAR,17,15,5,0.283,,,,
account-abstraction,2024-08-25 23:59:59,2024-08-29 23:59:59,NEAR,18,15,5,0.3536,,,,
account-abstraction,2024-09-22 23:59:59,2024-09-30 23:59:59,NEAR,20,27,9,-0.1436,0.6276,-0.1014,,
account-abstraction,2024-11-26 23:59:59,2024-12-03 23:59:59,NEAR,19,32,8,0.5701,-0.1338,-0.7769,,
account-abstraction,2025-02-03 23:59:59,2025-02-09 23:59:59,NEAR,30,28,7,0.6903,0.5337,,,
account-abstraction,2025-08-28 23:59:59,2025-09-01 23:59:59,NEAR,36,15,5,0.1469,,,,
account-abstraction,2025-12-19 23:59:59,2025-12-30 23:59:59,NEAR,38,12,12,0.1202,-0.1254,0.0852,-0.3781,
account-abstraction,2026-01-01 23:59:59,2026-01-10 23:59:59,NEAR,38,10,10,0.6526,-0.2112,0.3195,,
account-abstraction,2026-01-15 23:59:59,2026-01-24 23:59:59,NEAR,40,10,10,-0.1912,-0.2906,-0.7706,,
account-abstraction,2026-02-12 23:59:59,2026-02-20 23:59:59,NEAR,48,9,9,0.7561,0.1275,0.7043,,
account-abstraction,2026-03-12 23:59:59,2026-03-19 23:59:59,NEAR,41,8,8,0.2307,0.7356,-0.4961,,
account-abstraction,2026-04-01 23:59:59,2026-04-14 23:59:59,NEAR,44,14,14,-0.342,0.2372,-0.4199,0.0002,
account-abstraction,2026-05-20 23:59:59,2026-05-26 23:59:59,NEAR,35,7,7,0.5727,-0.4518,,,
account-abstraction,2026-07-03 23:59:59,2026-07-13 23:59:59,NEAR,30,11,11,-0.0519,0.2924,-0.3517,,
ai-agent-launchpad,2025-03-16 23:59:59,2025-03-20 23:59:59,VIRTUAL,107,15,5,0.3706,,,,
ai-agent-launchpad,2025-04-23 23:59:59,2025-04-30 23:59:59,VIRTUAL,114,36,8,0.5191,-0.1912,-0.0979,,
ai-agents,2025-02-04 23:59:59,2025-02-09 23:59:59,FET,50,78,6,0.675,0.717,,,
ai-agents,2025-04-10 23:59:59,2025-04-14 23:59:59,FET,62,57,5,0.422,,,,
ai-agents,2025-04-23 23:59:59,2025-04-30 23:59:59,FET,53,121,8,0.2374,0.5161,-0.6366,,
ai-agents,2025-09-08 23:59:59,2025-09-14 23:59:59,FET,65,86,7,0.8914,0.0254,,,
ai-agents,2025-11-21 23:59:59,2025-11-25 23:59:59,FET,77,32,5,-0.545,,,,
ai-agents,2026-01-06 23:59:59,2026-01-11 23:59:59,VIRTUAL,76,36,6,0.8519,-0.7111,,,
ai-agents,2026-01-31 23:59:59,2026-02-20 23:59:59,FET,90,128,21,0.5636,-0.0716,-0.1564,-0.3662,-0.0876
ai-agents,2026-03-17 23:59:59,2026-03-22 23:59:59,FET,78,40,6,0.4755,0.0687,,,
ai-applications,2025-12-13 23:59:59,2025-12-19 23:59:59,ALCH,301,23,7,-0.0511,-0.8437,,,
ai-applications,2026-05-08 23:59:59,2026-05-12 23:59:59,VVV,78,19,5,-0.6936,,,,
ai-applications,2026-06-14 23:59:59,2026-06-19 23:59:59,VVV,66,42,6,0.2421,-0.619,,,
ai-applications,2026-07-10 23:59:59,2026-07-15 23:59:59,VVV,76,33,6,0.338,0.0243,,,
ai-applications,2026-07-24 23:59:59,2026-08-05 23:59:59,VVV,70,78,13,0.0391,0.1513,0.2245,0.6841,
ai-big-data,2020-09-10 23:59:59,2020-09-16 23:59:59,OCEAN,92,86,7,0.4824,0.2327,,,
ai-big-data,2020-10-13 23:59:59,2020-10-19 23:59:59,OCEAN,70,99,7,0.5852,-0.498,,,
ai-big-data,2021-01-17 23:59:59,2021-01-22 23:59:59,GRT,52,66,6,0.6861,,,,
ai-big-data,2021-02-26 23:59:59,2021-03-03 23:59:59,GRT,35,62,6,0.5262,0.0087,,,
ai-big-data,2021-03-11 23:59:59,2021-03-18 23:59:59,GRT,43,100,8,0.1485,-0.2947,-0.6474,,
ai-big-data,2021-03-27 23:59:59,2021-04-01 23:59:59,GRT,56,79,6,0.8829,-0.0692,,,
ai-big-data,2021-04-08 23:59:59,2021-04-12 23:59:59,GRT,57,70,5,-0.7168,,,,
ai-big-data,2021-08-15 23:59:59,2021-08-19 23:59:59,GRT,33,60,5,0.515,,,,
ai-big-data,2021-12-21 23:59:59,2021-12-28 23:59:59,GRT,47,69,8,0.2626,0.1865,-0.3294,,
ai-big-data,2022-03-23 23:59:59,2022-03-30 23:59:59,GRT,55,64,8,0.4367,0.2328,0.6555,,
ai-big-data,2022-07-27 23:59:59,2022-08-13 23:59:59,GRT,59,108,18,-0.1491,0.1035,-0.1693,0.5119,
