claim,highest_level,evidence
BAND_LEAD_LAG_STRUCTURAL,L3,"A: {'STRUCTURAL_LEAD_LAG': 110, 'AMBIGUOUS': 10, 'COMMON_FIELD_EFFECT': 6}"
STATE_CONDITIONED_LEAD_LAG,L2,B: 151 state-conditioned cells
RANK_MIGRATION_PRECURSORS,L1,C: 37485 event-date rows
LEADER_FIRST_SECTOR_PROPAGATION,L1,D: 6783 episodes; same-day corr med 0.2901
CHAIN_FLOW_HIERARCHY,L3,E: 77 FDR-significant chain links
PROPAGATION_FAILURE_SIGNATURES,L1,F: 8 pattern-outcome rows
RECURRING_MORPHISMS,L1,G: n/a recurring motifs
HIERARCHY_GLOBAL_DOMINANCE,L0,H: 169 clusters
INFORMATION_FLOW,L2,J: 3 pairs
