workstream,test,classification,count
A,band lead-lag,WEAK,0
A,band lead-lag,COMMON_FIELD_EFFECT,6
B,state=BREADTH_CONTRACTING,NOT_STATE_CONDITIONED,51
B,state=BREADTH_EXPANDING,NOT_STATE_CONDITIONED,62
B,state=BTC_DOWN,NOT_STATE_CONDITIONED,51
B,state=BTC_UP,NOT_STATE_CONDITIONED,61
B,state=CONC_FALLING,NOT_STATE_CONDITIONED,53
B,state=CONC_RISING,NOT_STATE_CONDITIONED,55
B,state=SC_INFLOW,NOT_STATE_CONDITIONED,56
B,state=SC_OUTFLOW,NOT_STATE_CONDITIONED,57
B,state=VOL_HIGH,NOT_STATE_CONDITIONED,54
B,state=VOL_LOW,NOT_STATE_CONDITIONED,57
E,link=NATIVE_LEADS_VELOCITY,NOT_SIGNIFICANT,25
E,link=STABLECOIN_LEADS_TVL,NOT_SIGNIFICANT,37
E,link=TVL_LEADS_DEX,NOT_SIGNIFICANT,33
E,link=TVL_LEADS_NATIVE,NOT_SIGNIFICANT,37
E,link=TVL_LEADS_STABLECOIN,NOT_SIGNIFICANT,25
E,link=VELOCITY_LEADS_NATIVE,NOT_SIGNIFICANT,24
